Callsign,Code,Number,AirlineCode,AirportCodes
GBB101,GBB,101,GBB,FAOR-FACT
GBB102,GBB,102,GBB,FACT-FAOR
GBB103,GBB,103,GBB,FAOR-FACT
GBB104,GBB,104,GBB,FACT-FAOR
GBB111,GBB,111,GBB,FAOR-FACT
GBB113,GBB,113,GBB,FAOR-FACT
GBB122,GBB,122,GBB,FACT-FAOR
GBB123,GBB,123,GBB,FAOR-FACT
GBB124,GBB,124,GBB,FACT-FAOR
GBB125,GBB,125,GBB,FAOR-FACT
GBB126,GBB,126,GBB,FACT-FAOR
GBB130,GBB,130,GBB,FACT-FAOR
GBB131,GBB,131,GBB,FAOR-FACT
GBB132,GBB,132,GBB,FACT-FAOR
GBB133,GBB,133,GBB,FAOR-FACT
GBB134,GBB,134,GBB,FACT-FAOR
GBB140,GBB,140,GBB,FACT-FAOR
GBB141,GBB,141,GBB,FAOR-FACT
GBB201,GBB,201,GBB,FAOR-FALE
GBB202,GBB,202,GBB,FALE-FAOR
GBB203,GBB,203,GBB,FAOR-FALE
GBB209,GBB,209,GBB,FAOR-FALE
GBB211,GBB,211,GBB,FAOR-FALE
GBB212,GBB,212,GBB,FALE-FAOR
GBB213,GBB,213,GBB,FAOR-FALE
GBB372,GBB,372,GBB,FACT-FALE
GBB374,GBB,374,GBB,FACT-FALE
GBB931,GBB,931,GBB,FAOR-HTZA
