Callsign,Code,Number,AirlineCode,AirportCodes
GCR6401,GCR,6401,GCR,ZYTL-ZSYT-ZSHC
GCR6405,GCR,6405,GCR,ZYTL-ZSNB
GCR6406,GCR,6406,GCR,ZSNB-ZYTL
GCR6407,GCR,6407,GCR,ZYTL-ZSWH-ZSAM
GCR6408,GCR,6408,GCR,ZSAM-ZSWH-ZYTL
GCR6409,GCR,6409,GCR,ZYTL-ZSYT-ZSAM
GCR6410,GCR,6410,GCR,ZSAM-ZSYT-ZYTL
GCR6411,GCR,6411,GCR,ZYTL-ZSYT
GCR6412,GCR,6412,GCR,ZSYT-ZYTL
GCR6413,GCR,6413,GCR,ZBHH-ZBTJ-ZYTL
GCR6414,GCR,6414,GCR,ZYTL-ZBTJ-ZBHH
GCR6415,GCR,6415,GCR,ZYTL-ZHCC-ZSWZ
GCR6416,GCR,6416,GCR,ZSWZ-ZHCC-ZYTL
GCR6417,GCR,6417,GCR,ZYTL-ZBSN-ZLIC
GCR6418,GCR,6418,GCR,ZLIC-ZBSN-ZYTL
GCR6419,GCR,6419,GCR,ZYTL-ZSNT-ZHHH
GCR6420,GCR,6420,GCR,ZHHH-ZSNT-ZYTL
GCR6423,GCR,6423,GCR,ZYTL-ZLYA-ZLLL
GCR6424,GCR,6424,GCR,ZLLL-ZLYA-ZYTL
GCR6425,GCR,6425,GCR,ZYTL-ZBLL-ZLXY
GCR6426,GCR,6426,GCR,ZLXY-ZBLL-ZYTL
GCR6428,GCR,6428,GCR,ZGHA-ZSFY-ZYTL
GCR6429,GCR,6429,GCR,ZYTL-ZSWH-ZSPD
GCR6430,GCR,6430,GCR,ZSPD-ZSWH-ZYTL
GCR6431,GCR,6431,GCR,ZYTL-ZSYT-ZSNB
GCR6432,GCR,6432,GCR,ZSNB-ZSYT-ZYTL
GCR6433,GCR,6433,GCR,ZGHZ-ZGHA-ZBTJ
GCR6434,GCR,6434,GCR,ZBTJ-ZGHA-ZGHZ
GCR6435,GCR,6435,GCR,ZGHZ-ZGHA
GCR6436,GCR,6436,GCR,ZGHA-ZGHZ
GCR6449,GCR,6449,GCR,ZUCK-ZGSZ
GCR6450,GCR,6450,GCR,ZGSZ-ZUCK
GCR6451,GCR,6451,GCR,ZUGY-ZGZJ
GCR6452,GCR,6452,GCR,ZGZJ-ZUGY
GCR6453,GCR,6453,GCR,ZLXN-ZUGY-ZJHK
GCR6454,GCR,6454,GCR,ZJHK-ZUGY-ZLXN
GCR6455,GCR,6455,GCR,ZUGY-ZJHK
GCR6456,GCR,6456,GCR,ZJHK-ZUGY
GCR6457,GCR,6457,GCR,ZUGY-ZGHY-ZSNJ
GCR6458,GCR,6458,GCR,ZSNJ-ZGHY-ZUGY
GCR6459,GCR,6459,GCR,ZUGY-ZGOW
GCR6460,GCR,6460,GCR,ZGOW-ZUGY
GCR6461,GCR,6461,GCR,ZUGY-ZSAM
GCR6462,GCR,6462,GCR,ZSAM-ZUGY
GCR6463,GCR,6463,GCR,ZUGY-ZHCC-ZBHH
GCR6464,GCR,6464,GCR,ZBHH-ZHCC-ZUGY
GCR6467,GCR,6467,GCR,ZUGY-ZSQZ
GCR6468,GCR,6468,GCR,ZSQZ-ZUGY
GCR6471,GCR,6471,GCR,ZUGY-ZHYC-ZSXZ
GCR6472,GCR,6472,GCR,ZSXZ-ZHYC-ZUGY
GCR6473,GCR,6473,GCR,ZUGY-ZHYC-ZSYA
GCR6474,GCR,6474,GCR,ZSYA-ZHYC-ZUGY
GCR6481,GCR,6481,GCR,ZUGY-ZGSD
GCR6482,GCR,6482,GCR,ZGSD-ZUGY
GCR6483,GCR,6483,GCR,ZUGY-ZLXY
GCR6484,GCR,6484,GCR,ZLXY-ZUGY
GCR6485,GCR,6485,GCR,ZUGY-ZJSY
GCR6487,GCR,6487,GCR,ZUGY-ZGHY-ZSHC
GCR6488,GCR,6488,GCR,ZSHC-ZGHY-ZUGY
GCR6489,GCR,6489,GCR,ZUGY-ZSJH-ZSQD
GCR6490,GCR,6490,GCR,ZSQD-ZSJH-ZUGY
GCR6491,GCR,6491,GCR,ZUGY-ZHNY-ZBTJ
GCR6493,GCR,6493,GCR,ZUGY-ZUYI
GCR6494,GCR,6494,GCR,ZUYI-ZUGY
GCR6495,GCR,6495,GCR,ZLYL-ZSYA-ZSWZ
GCR6496,GCR,6496,GCR,ZSWZ-ZSYA-ZLYL
GCR6497,GCR,6497,GCR,ZLYL-ZLHZ-ZGNN
GCR6498,GCR,6498,GCR,ZGNN-ZLHZ-ZLYL
GCR6501,GCR,6501,GCR,ZJHK-ZHCC
GCR6502,GCR,6502,GCR,ZHCC-ZJHK
GCR6503,GCR,6503,GCR,ZBTJ-ZLYL
GCR6504,GCR,6504,GCR,ZLYL-ZBTJ
GCR6507,GCR,6507,GCR,ZLYL-ZLIC
GCR6508,GCR,6508,GCR,ZLIC-ZLYL
GCR6509,GCR,6509,GCR,ZLYL-ZLAK-ZGHA
GCR6510,GCR,6510,GCR,ZGHA-ZLAK-ZLYL
GCR6511,GCR,6511,GCR,ZLYL-ZSQD
GCR6512,GCR,6512,GCR,ZSQD-ZLYL
GCR6513,GCR,6513,GCR,ZLYL-ZUGY-ZGZJ
GCR6514,GCR,6514,GCR,ZGZJ-ZUGY-ZLYL
GCR6515,GCR,6515,GCR,ZUCK-ZJSY
GCR6516,GCR,6516,GCR,ZJSY-ZUCK
GCR6517,GCR,6517,GCR,ZLYL-ZSOF-ZSQZ
GCR6518,GCR,6518,GCR,ZSQZ-ZSOF-ZLYL
