Callsign,Code,Number,AirlineCode,AirportCodes
GLP1019,GLP,1019,GLP,UUDD-URSS
GLP1023,GLP,1023,GLP,UUDD-URSS
GLP1025,GLP,1025,GLP,UUDD-URSS
GLP1026,GLP,1026,GLP,URSS-UUDD
GLP1027,GLP,1027,GLP,UUDD-URSS
GLP1028,GLP,1028,GLP,URSS-UUDD
GLP1029,GLP,1029,GLP,UUDD-URSS
GLP1030,GLP,1030,GLP,URSS-UUDD
GLP1031,GLP,1031,GLP,UUDD-URSS
GLP1032,GLP,1032,GLP,URSS-UUDD
GLP1045,GLP,1045,GLP,UUDD-URSS
GLP1046,GLP,1046,GLP,URSS-UUDD
GLP107,GLP,107,GLP,UUDD-UEEE
GLP108,GLP,108,GLP,UEEE-UUDD
GLP109,GLP,109,GLP,UUDD-UEEE
GLP110,GLP,110,GLP,UEEE-UUDD
GLP1123,GLP,1123,GLP,UUDD-URKA
GLP1124,GLP,1124,GLP,URKA-UUDD
GLP1125,GLP,1125,GLP,UUDD-URKA
GLP1126,GLP,1126,GLP,URKA-UUDD
GLP1127,GLP,1127,GLP,UUDD-URKA
GLP1128,GLP,1128,GLP,URKA-UUDD
GLP113,GLP,113,GLP,UUDD-UIUU
GLP1139,GLP,1139,GLP,UUDD-URKK
GLP114,GLP,114,GLP,UIUU-UUDD
GLP1141,GLP,1141,GLP,UUDD-URKK
GLP1142,GLP,1142,GLP,URKK-UUDD
GLP1143,GLP,1143,GLP,UUDD-URKK
GLP1144,GLP,1144,GLP,URKK-UUDD
GLP1145,GLP,1145,GLP,UUDD-URKK
GLP1146,GLP,1146,GLP,URKK-UUDD
GLP1147,GLP,1147,GLP,UUDD-URKK
GLP1148,GLP,1148,GLP,URKK-UUDD
GLP1149,GLP,1149,GLP,UUDD-URKK
GLP115,GLP,115,GLP,UUDD-UIUU
GLP1150,GLP,1150,GLP,URKK-UUDD
GLP1156,GLP,1156,GLP,URRR-UUDD
GLP116,GLP,116,GLP,UIUU-UUDD
GLP117,GLP,117,GLP,UUDD-UIAA
GLP1175,GLP,1175,GLP,UUDD-URWA
GLP1176,GLP,1176,GLP,URWA-UUDD
GLP118,GLP,118,GLP,UIAA-UUDD
GLP119,GLP,119,GLP,UUDD-UIAA
GLP120,GLP,120,GLP,UIAA-UUDD
GLP121,GLP,121,GLP,UUDD-UIBB
GLP1213,GLP,1213,GLP,UUDD-URMM
GLP1214,GLP,1214,GLP,URMM-UUDD
GLP1215,GLP,1215,GLP,URMM-UUDD
GLP1216,GLP,1216,GLP,URMM-UUDD
GLP122,GLP,122,GLP,UIBB-UUDD
GLP123,GLP,123,GLP,UUDD-UNAA
GLP124,GLP,124,GLP,UNAA-UUDD
GLP144,GLP,144,GLP,URKK-UUDD
GLP157,GLP,157,GLP,UUDD-LUKK
GLP158,GLP,158,GLP,LUKK-UUDD
GLP161,GLP,161,GLP,UUDD-UKFF
GLP162,GLP,162,GLP,UKFF-UUDD
GLP163,GLP,163,GLP,UUDD-UKFF
GLP164,GLP,164,GLP,UKFF-UUDD
GLP165,GLP,165,GLP,UUDD-UKFF
GLP166,GLP,166,GLP,UKFF-UUDD
GLP171,GLP,171,GLP,UUDD-UNEE
GLP172,GLP,172,GLP,UNEE-UUDD
GLP174,GLP,174,GLP,UNNT-UUDD
GLP176,GLP,176,GLP,UNNT-UUDD
GLP177,GLP,177,GLP,UUDD-UNNT
GLP178,GLP,178,GLP,UNNT-UUDD
GLP179,GLP,179,GLP,UUDD-UNNT
GLP180,GLP,180,GLP,UNNT-UUDD
GLP181,GLP,181,GLP,UUDD-UNNT
GLP182,GLP,182,GLP,UNNT-UUDD
GLP183,GLP,183,GLP,UUDD-UNNT
GLP184,GLP,184,GLP,UNNT-UUDD
GLP185,GLP,185,GLP,UUDD-UNNT
GLP186,GLP,186,GLP,UNNT-UUDD
GLP187,GLP,187,GLP,UUDD-UNNT
GLP203,GLP,203,GLP,UUDD-USTR
GLP2048,GLP,2048,GLP,URSS-UUDD
GLP2076,GLP,2076,GLP,URKK-UUDD
GLP2104,GLP,2104,GLP,URKA-UUDD
GLP2108,GLP,2108,GLP,URKA-UUDD
GLP215,GLP,215,GLP,UUDD-UNBG
GLP216,GLP,216,GLP,UNBG-UUDD
GLP217,GLP,217,GLP,UUDD-UNBB
GLP218,GLP,218,GLP,UNBB-UUDD
GLP2251,GLP,2251,GLP,UUDD-UOOO
GLP2252,GLP,2252,GLP,UOOO-UUDD
GLP2254,GLP,2254,GLP,UOOO-UUDD
GLP2505,GLP,2505,GLP,UUDD-UNNT
GLP2507,GLP,2507,GLP,UUDD-UNNT
GLP2509,GLP,2509,GLP,UUDD-UNNT
GLP2511,GLP,2511,GLP,UUDD-UNNT
GLP2543,GLP,2543,GLP,UUDD-UNKL
GLP2547,GLP,2547,GLP,UUDD-UNKL
GLP2548,GLP,2548,GLP,UNKL-UUDD
GLP2593,GLP,2593,GLP,UUDD-UNAA
GLP2594,GLP,2594,GLP,UNAA-UUDD
GLP2605,GLP,2605,GLP,UUDD-UNEE
GLP2606,GLP,2606,GLP,UNEE-UUDD
GLP261,GLP,261,GLP,UUDD-UKFF
GLP262,GLP,262,GLP,UKFF-UUDD
GLP2629,GLP,2629,GLP,UUDD-UNBG
GLP263,GLP,263,GLP,UUDD-UKFF
GLP2630,GLP,2630,GLP,UNBG-UUDD
GLP264,GLP,264,GLP,UKFF-UUDD
GLP265,GLP,265,GLP,UUDD-UKFF
GLP267,GLP,267,GLP,UUDD-UKFF
GLP269,GLP,269,GLP,UUDD-UKFF
GLP270,GLP,270,GLP,UKFF-UUDD
GLP3001,GLP,3001,GLP,UNNT-UECT
GLP3002,GLP,3002,GLP,UECT-UNNT
GLP3005,GLP,3005,GLP,UNNT-UNOO
GLP3006,GLP,3006,GLP,UNOO-UNNT
GLP3013,GLP,3013,GLP,UNNT-UNKL
GLP3014,GLP,3014,GLP,UNKL-UNNT
GLP3017,GLP,3017,GLP,UNNT-USMU
GLP303,GLP,303,GLP,UUDD-USPP
GLP3033,GLP,3033,GLP,UNNT-UNAA
GLP3034,GLP,3034,GLP,UNAA-UNNT
GLP3041,GLP,3041,GLP,UUDD-UIBB
GLP3045,GLP,3045,GLP,UUDD-UIAA
GLP3046,GLP,3046,GLP,UIAA-UUDD
GLP3051,GLP,3051,GLP,UNNT-USNN
GLP3053,GLP,3053,GLP,UNNT-USSS
GLP3054,GLP,3054,GLP,USSS-UNNT
GLP3228,GLP,3228,GLP,UKFF-UNNT
GLP3236,GLP,3236,GLP,UHHH-UNNT
GLP3241,GLP,3241,GLP,UNNT-UIUU
GLP3243,GLP,3243,GLP,UNNT-UEEE
GLP3244,GLP,3244,GLP,UEEE-UNNT
GLP3251,GLP,3251,GLP,UNNT-UEEE
GLP3252,GLP,3252,GLP,UEEE-UNNT
GLP3253,GLP,3253,GLP,UNNT-USSS
GLP3254,GLP,3254,GLP,USSS-UNNT
GLP3255,GLP,3255,GLP,UNNT-UERR
GLP3256,GLP,3256,GLP,UERR-UNNT
GLP3257,GLP,3257,GLP,UNNT-UELL
GLP326,GLP,326,GLP,UNNT-UEEE
GLP3261,GLP,3261,GLP,UNNT-UEEE
GLP3262,GLP,3262,GLP,UEEE-UNNT
GLP3263,GLP,3263,GLP,UNNT-UIII
GLP3264,GLP,3264,GLP,UIII-UNNT
GLP3265,GLP,3265,GLP,UNNT-UIAA
GLP3266,GLP,3266,GLP,UIAA-UNNT
GLP3267,GLP,3267,GLP,UNNT-UHBB
GLP3268,GLP,3268,GLP,UHBB-UNNT
GLP3269,GLP,3269,GLP,UNNT-UHSS
GLP3270,GLP,3270,GLP,UHSS-UNNT
GLP3275,GLP,3275,GLP,UNNT-UIII
GLP3276,GLP,3276,GLP,UIII-UNNT
GLP3277,GLP,3277,GLP,UNNT-UOOO
GLP3278,GLP,3278,GLP,UOOO-UNNT
GLP3291,GLP,3291,GLP,UNNT-UTDL
GLP3292,GLP,3292,GLP,UTDL-UNNT
GLP3309,GLP,3309,GLP,UNNT-URKK
GLP3310,GLP,3310,GLP,URKK-UNNT
GLP3311,GLP,3311,GLP,UNNT-URSS
GLP3312,GLP,3312,GLP,URSS-UNNT
GLP3313,GLP,3313,GLP,UNNT-URSS
GLP3314,GLP,3314,GLP,URSS-UNNT
GLP3315,GLP,3315,GLP,UNNT-URSS
GLP3316,GLP,3316,GLP,URSS-UNNT
GLP3317,GLP,3317,GLP,UNNT-URMM
GLP3318,GLP,3318,GLP,URMM-UNNT
GLP3319,GLP,3319,GLP,UNNT-URKK
GLP3320,GLP,3320,GLP,URKK-UNNT
GLP3327,GLP,3327,GLP,UNNT-UKFF
GLP3328,GLP,3328,GLP,UKFF-UNNT
GLP3329,GLP,3329,GLP,UNNT-UKFF
GLP3330,GLP,3330,GLP,UKFF-UNNT
GLP3332,GLP,3332,GLP,UKFF-UNNT
GLP3333,GLP,3333,GLP,UNNT-ULLI
