Callsign,Code,Number,AirlineCode,AirportCodes
GPX111,GPX,111,GPX,LFSB-BKPR
GPX12B,GPX,12B,GPX,BKPR-LFSB
GPX13B,GPX,13B,GPX,LFSB-BKPR
GPX17B,GPX,17B,GPX,LFSB-BKPR
GPX18B,GPX,18B,GPX,BKPR-LFSB
GPX210,GPX,210,GPX,BKPR-LFSB
GPX211,GPX,211,GPX,LFSB-BKPR
GPX22D,GPX,22D,GPX,BKPR-EDDL
GPX231,GPX,231,GPX,EDDS-BKPR
GPX23B,GPX,23B,GPX,LFSB-BKPR
GPX241,GPX,241,GPX,EDDG-BKPR
GPX27D,GPX,27D,GPX,EDDL-BKPR
GPX29B,GPX,29B,GPX,LFSB-BKPR
GPX310,GPX,310,GPX,BKPR-LFSB
GPX311,GPX,311,GPX,LFSB-BKPR
GPX32D,GPX,32D,GPX,BKPR-EDDL
GPX33B,GPX,33B,GPX,LFSB-BKPR
GPX39B,GPX,39B,GPX,LFSB-BKPR
GPX410,GPX,410,GPX,BKPR-LFSB
GPX411,GPX,411,GPX,LFSB-BKPR
GPX412,GPX,412,GPX,BKPR-LFSB
GPX47D,GPX,47D,GPX,EDDL-SKPP
GPX511,GPX,511,GPX,LFSB-BKPR
GPX521,GPX,521,GPX,EDDL-BKPR
GPX57F,GPX,57F,GPX,EDDG-BKPR
GPX611,GPX,611,GPX,LFSB-BKPR
GPX621,GPX,621,GPX,EDDL-BKPR
GPX710,GPX,710,GPX,BKPR-LFSB
GPX720,GPX,720,GPX,BKPR-EDDL
GPX721,GPX,721,GPX,EDDL-BKPR
GPX740,GPX,740,GPX,BKPR-EDDG
GPX741,GPX,741,GPX,EDDG-BKPR
GPX811,GPX,811,GPX,LFSB-BKPR
GPX812,GPX,812,GPX,BKPR-LFSB
GPX813,GPX,813,GPX,LFSB-BKPR
GPX815,GPX,815,GPX,LFSB-BKPR
GPX823,GPX,823,GPX,EDDL-BKPR
