Callsign,Code,Number,AirlineCode,AirportCodes
GTI100,GTI,100,GTI,KIAH-FNLU
GTI106,GTI,106,GTI,KDOV-LTAG
GTI1070,GTI,1070,GTI,KSDF-KEWR
GTI1084,GTI,1084,GTI,KSDF-KEWR
GTI109,GTI,109,GTI,KMIA-KCVG
GTI1096,GTI,1096,GTI,KSDF-KEWR
GTI110,GTI,110,GTI,EDFH-LTAG
GTI118,GTI,118,GTI,OKKK-ETAR
GTI119,GTI,119,GTI,LIPA-OTBH
GTI1190,GTI,1190,GTI,KSDF-KPHL
GTI1195,GTI,1195,GTI,KPHL-KSDF
GTI120,GTI,120,GTI,KNGU-LERT
GTI1207,GTI,1207,GTI,KBWI-KSDF
GTI121,GTI,121,GTI,KNGU-LPLA
GTI1214,GTI,1214,GTI,KSDF-KBWI
GTI1230,GTI,1230,GTI,KSDF-KBWI
GTI129,GTI,129,GTI,KELP-KCVG
GTI1305,GTI,1305,GTI,KATL-KSDF
GTI1306,GTI,1306,GTI,KSDF-KATL
GTI1335,GTI,1335,GTI,KMCO-KSDF
GTI1336,GTI,1336,GTI,KSDF-KMCO
GTI1502,GTI,1502,GTI,KCVG-KDFW
GTI1515,GTI,1515,GTI,KCVG-KAUS
GTI1525,GTI,1525,GTI,KCVG-KLRD-KAUS
GTI18,GTI,18,GTI,OKKK-ETAR
GTI189,GTI,189,GTI,OKKK-ETAR
GTI2004,GTI,2004,GTI,KCVG-CYMX
GTI2016,GTI,2016,GTI,KRIV-KNKT
GTI202,GTI,202,GTI,KCVG-PHNL
GTI2028,GTI,2028,GTI,PHNG-KRIV
GTI2040,GTI,2040,GTI,KDOV-EDFH
GTI2041,GTI,2041,GTI,ETAR-KDOV-KJFK
GTI2042,GTI,2042,GTI,KWRI-ETAR
GTI2043,GTI,2043,GTI,ETAR-KDOV
GTI2047,GTI,2047,GTI,EDFH-KDOV
GTI205,GTI,205,GTI,KCVG-OBBI
GTI2051,GTI,2051,GTI,KBOS-KSVN
GTI2053,GTI,2053,GTI,KONT-KNKT
GTI206,GTI,206,GTI,VHHH-KCVG
GTI2070,GTI,2070,GTI,KJFK-KORD
GTI2074,GTI,2074,GTI,KSDF-KEWR
GTI2075,GTI,2075,GTI,KEWR-KSDF
GTI2076,GTI,2076,GTI,KSDF-KEWR
GTI2080,GTI,2080,GTI,EHAM-KMIA
GTI2093,GTI,2093,GTI,EBOS-OAKN
GTI21,GTI,21,GTI,KMIA-SBKP
GTI2103,GTI,2103,GTI,KORD-KSEA-RJAA
GTI2108,GTI,2108,GTI,RJAA-KLAX
GTI211,GTI,211,GTI,RJAA-RKSI
GTI212,GTI,212,GTI,RKSI-ZSPD
GTI213,GTI,213,GTI,KLAX-PANC
GTI2133,GTI,2133,GTI,KORD-KLAX-PANC-RJAA
GTI2134,GTI,2134,GTI,EDFH-UCFM
GTI214,GTI,214,GTI,RJAA-KLAX
GTI2145,GTI,2145,GTI,KVCV-PHNG
GTI2147,GTI,2147,GTI,KPSM-KPOB
GTI2148,GTI,2148,GTI,KIND-EDFH
GTI2152,GTI,2152,GTI,KORD-EDFH
GTI2154,GTI,2154,GTI,NWWW-VHHH
GTI2165,GTI,2165,GTI,KORD-EDFH
GTI2168,GTI,2168,GTI,KRIV-KPSM
GTI217,GTI,217,GTI,KLAX-RJAA
GTI2172,GTI,2172,GTI,KRIV-KPSM
GTI219,GTI,219,GTI,KCVG-KJFK
GTI2191,GTI,2191,GTI,KPHL-KSDF
GTI22,GTI,22,GTI,SCEL-KMIA
GTI2275,GTI,2275,GTI,KONT-KMEM
GTI2307,GTI,2307,GTI,KATL-KDFW
GTI2308,GTI,2308,GTI,KDFW-KATL
GTI2326,GTI,2326,GTI,KSDF-KMCO
GTI237,GTI,237,GTI,KCVG-RKSI-VHHH
GTI238,GTI,238,GTI,VHHH-PANC-KCVG
GTI240,GTI,240,GTI,YSSY-RJAA
GTI241,GTI,241,GTI,RJAA-YSSY
GTI2418,GTI,2418,GTI,KSEA-RKSI
GTI242,GTI,242,GTI,YSSY-YMML
GTI2428,GTI,2428,GTI,RKSI-PANC-KORD-KDFW-KSEA
GTI243,GTI,243,GTI,PANC-KCVG
GTI245,GTI,245,GTI,YSSY-ZSPD
GTI246,GTI,246,GTI,RJAA-YSSY
GTI2475,GTI,2475,GTI,KMEM-KONT
GTI2478,GTI,2478,GTI,KATL-PANC-RKSI
GTI2488,GTI,2488,GTI,RKSI-PANC-KORD-KATL
GTI2525,GTI,2525,GTI,EDFH-KDOV
