Callsign,Code,Number,AirlineCode,AirportCodes
GZP132,GZP,132,GZP,EFHK-UUWW
GZP205,GZP,205,GZP,USMU-UWUU
GZP206,GZP,206,GZP,UWUU-USMU
GZP218,GZP,218,GZP,UECT-USMU-UWUU-UUWW
GZP247,GZP,247,GZP,UUWW-UWUU-USMQ
GZP248,GZP,248,GZP,USMQ-UWUU-UUWW
GZP291,GZP,291,GZP,UUWW-USRO-UECT
GZP292,GZP,292,GZP,UECT-USRO-UUWW
GZP310,GZP,310,GZP,USSS-UUEE
GZP312,GZP,312,GZP,USMM-USSS
GZP314,GZP,314,GZP,USMQ-USSS
GZP407,GZP,407,GZP,USSS-USHQ
GZP410,GZP,410,GZP,USSS-UUWW
GZP412,GZP,412,GZP,USMM-USSS
GZP420,GZP,420,GZP,USMU-USSS
GZP421,GZP,421,GZP,UUWW-UWUU
GZP427,GZP,427,GZP,UUWW-USTR
GZP429,GZP,429,GZP,USMQ-USTR
GZP430,GZP,430,GZP,UWUU-USMQ
GZP452,GZP,452,GZP,UWUU-UUWW
GZP454,GZP,454,GZP,USTR-UUWW
GZP455,GZP,455,GZP,USMU-UWUU
GZP456,GZP,456,GZP,UWUU-USMU-UUWW
GZP527,GZP,527,GZP,UUWW-USTR
GZP530,GZP,530,GZP,UWUU-USMQ
GZP554,GZP,554,GZP,USMM-UWUU
GZP590,GZP,590,GZP,USDB-UWUU
GZP601,GZP,601,GZP,UUWW-UTNN
GZP602,GZP,602,GZP,UTNN-UUWW
GZP706,GZP,706,GZP,USMU-UUWW
GZP899,GZP,899,GZP,USDB-UWUU
GZP911,GZP,911,GZP,UUWW-USMM
GZP913,GZP,913,GZP,UUWW-USMM
GZP939,GZP,939,GZP,UUWW-URKA
GZP941,GZP,941,GZP,UUWW-URKK
GZP942,GZP,942,GZP,URKA-UUWW
GZP945,GZP,945,GZP,UUWW-USMU
GZP947,GZP,947,GZP,UUWW-USMU
GZP955,GZP,955,GZP,USHS-URKA
GZP956,GZP,956,GZP,URKG-USHS
GZP9605,GZP,9605,GZP,UUWW-LBBG
GZP9606,GZP,9606,GZP,LBBG-UUWW
GZP9608,GZP,9608,GZP,UERR-UUWW
GZP9609,GZP,9609,GZP,UUWW-EDDE
GZP9610,GZP,9610,GZP,LSGG-UUMO
GZP9615,GZP,9615,GZP,UUMO-ULLI
GZP9620,GZP,9620,GZP,ULLI-UUMO
GZP9624,GZP,9624,GZP,USPP-UUMO
GZP9635,GZP,9635,GZP,USMM-USDA
GZP9640,GZP,9640,GZP,LBBG-UUWW
GZP9641,GZP,9641,GZP,UUOB-USRO-UERR
GZP9642,GZP,9642,GZP,USMM-UWUU
GZP9643,GZP,9643,GZP,URKA-USMU
GZP9644,GZP,9644,GZP,UWUU-UUDD
GZP9650,GZP,9650,GZP,LBBG-UUWW
GZP9652,GZP,9652,GZP,USMM-UUWW
GZP9653,GZP,9653,GZP,UUWW-UWKD
GZP9655,GZP,9655,GZP,UUWW-USTR-USMU
GZP9656,GZP,9656,GZP,USMU-USTR-UUWW
GZP9657,GZP,9657,GZP,UUWW-UWUU
GZP9658,GZP,9658,GZP,USMM-UWUU
GZP9663,GZP,9663,GZP,UUWW-USMU
GZP9664,GZP,9664,GZP,USMU-UUWW
GZP9665,GZP,9665,GZP,USTR-USMM-USDB
GZP9666,GZP,9666,GZP,USDB-USMM-USTR
GZP9667,GZP,9667,GZP,USMM-UKFF
GZP9671,GZP,9671,GZP,UUWW-ULWC
GZP9674,GZP,9674,GZP,USMU-UWUU-UUWW
GZP9675,GZP,9675,GZP,UUWW-UUOB
GZP9678,GZP,9678,GZP,UWUU-USMU
GZP9682,GZP,9682,GZP,UKFF-UUWW
GZP9698,GZP,9698,GZP,URSS-UUEE
