Callsign,Code,Number,AirlineCode,AirportCodes
HAT211P,HAT,211P,HAT,LEBL-LIRI
HAT4211,HAT,4211,HAT,LICD-LIMC
HAT4564,HAT,4564,HAT,LCLK-LZIB
HAT5061,HAT,5061,HAT,LIEO-LPPR
HAT6030,HAT,6030,HAT,LZIB-LCLK
HAT6031,HAT,6031,HAT,LCLK-LZKZ
HAT6050,HAT,6050,HAT,LZIB-LCLK
HAT6053,HAT,6053,HAT,LCLK-LZIB
HAT6060,HAT,6060,HAT,LZIB-LGKO
HAT6110,HAT,6110,HAT,LZIB-LGRP
HAT6111,HAT,6111,HAT,LGRP-LZIB
HAT6130,HAT,6130,HAT,LZIB-LCLK
HAT6131,HAT,6131,HAT,LCLK-LZKZ
HAT6141,HAT,6141,HAT,LGRP-LZIB
HAT6150,HAT,6150,HAT,LZIB-LEBL
HAT6153,HAT,6153,HAT,LCLK-LZIB
HAT6160,HAT,6160,HAT,LZIB-LCLK
