Callsign,Code,Number,AirlineCode,AirportCodes
HHI1214,HHI,1214,HHI,EDDM-UAUU-UATT
HHI1215,HHI,1215,HHI,UAUU-UATT-EDDM
HHI135F,HHI,135F,HHI,EDSB-GBYD
HHI147P,HHI,147P,HHI,LEPA-ETNL
HHI1638,HHI,1638,HHI,EDDW-UKFF
HHI1639,HHI,1639,HHI,UKFF-EDDW
HHI1744,HHI,1744,HHI,EDDT-OMDB
HHI1745,HHI,1745,HHI,OMDB-EDDT
HHI174F,HHI,174F,HHI,EDDT-EDDR
HHI2007,HHI,2007,HHI,EDDB-EDDS
HHI202P,HHI,202P,HHI,EDDB-EDLV
HHI2030,HHI,2030,HHI,EDDC-LHSM
HHI2031,HHI,2031,HHI,LHSM-EDDP
HHI2044,HHI,2044,HHI,EDDB-LIBP
HHI2045,HHI,2045,HHI,LIBP-EDDB
HHI204F,HHI,204F,HHI,EDDP-EDDH
HHI2132,HHI,2132,HHI,EDDP-LHDC
HHI2133,HHI,2133,HHI,LHDC-EDDP
HHI213F,HHI,213F,HHI,LIEO-EDDH
HHI214F,HHI,214F,HHI,EDDB-EDDN
HHI2210,HHI,2210,HHI,EDDR-LEPA
HHI2211,HHI,2211,HHI,LEPA-EDDR
HHI2234,HHI,2234,HHI,EDDS-LEPA
HHI2282,HHI,2282,HHI,EDDR-LEPA
HHI2283,HHI,2283,HHI,LEPA-EDDR
HHI2296,HHI,2296,HHI,EDDG-LEPA
HHI2297,HHI,2297,HHI,LEPA-EDDG
HHI229F,HHI,229F,HHI,EDDG-EDDF
HHI2308,HHI,2308,HHI,EDLV-LEPA
HHI2309,HHI,2309,HHI,LEPA-EDLV
HHI231F,HHI,231F,HHI,EDDH-EDLV
HHI2338,HHI,2338,HHI,EDNY-LEPA
HHI2339,HHI,2339,HHI,LEPA-EDNY
HHI2352,HHI,2352,HHI,EDLV-LEPA
HHI2353,HHI,2353,HHI,LEPA-EDLV
HHI2364,HHI,2364,HHI,EDDR-LEPA
HHI2365,HHI,2365,HHI,LEPA-EDDR
HHI239,HHI,239,HHI,EDDK-EDNY
HHI2402,HHI,2402,HHI,EDDL-LEPA
HHI2403,HHI,2403,HHI,LEPA-EDDL
HHI2456,HHI,2456,HHI,EDDH-EDRZ-LEPA
HHI2457,HHI,2457,HHI,LEPA-EDDH
HHI2478,HHI,2478,HHI,EDNY-LEPA
HHI2479,HHI,2479,HHI,LEPA-EDNY
HHI2488,HHI,2488,HHI,EDDL-LEPA
HHI2489,HHI,2489,HHI,LEPA-EDDL
HHI2530,HHI,2530,HHI,EDDR-LEPA
HHI2531,HHI,2531,HHI,LEPA-EDDR
HHI2558,HHI,2558,HHI,EDNY-LEPA
HHI2559,HHI,2559,HHI,LEPA-EDNY
HHI2568,HHI,2568,HHI,EDNY-LEPA
HHI2569,HHI,2569,HHI,LEPA-EDNY
HHI2576,HHI,2576,HHI,EDDS-LEPA
HHI2577,HHI,2577,HHI,LEPA-EDDS
HHI2584,HHI,2584,HHI,EDDW-LEPA
HHI2585,HHI,2585,HHI,LEPA-EDDW
HHI258F,HHI,258F,HHI,EDDV-EDLV
HHI2590,HHI,2590,HHI,EDLV-LEPA
HHI2591,HHI,2591,HHI,LEPA-EDLV
HHI2592,HHI,2592,HHI,EDSB-EDDW-LEPA
HHI2593,HHI,2593,HHI,LEPA-EDDW
HHI259F,HHI,259F,HHI,EDDG-EDDM
HHI2608,HHI,2608,HHI,EDDC-EDDV-LEPA
HHI2609,HHI,2609,HHI,LEPA-EDDL
HHI2690,HHI,2690,HHI,EDDR-LEIB
HHI2691,HHI,2691,HHI,LEIB-EDDR
HHI2692,HHI,2692,HHI,EDDP-LEIB
HHI2693,HHI,2693,HHI,LEIB-EDDP
HHI2702,HHI,2702,HHI,LOWS-LEMG
HHI2703,HHI,2703,HHI,LPMA-LOWK
HHI2704,HHI,2704,HHI,LOWL-LEMG
HHI2705,HHI,2705,HHI,LEMG-LOWS
HHI2790,HHI,2790,HHI,EDDM-LEMG
HHI2791,HHI,2791,HHI,LEMG-EDDM
HHI2792,HHI,2792,HHI,LOWW-LEBB
HHI2793,HHI,2793,HHI,LEST-LOWW
HHI2808,HHI,2808,HHI,EDDK-GCFV
HHI2809,HHI,2809,HHI,GCFV-EDDK
HHI2810,HHI,2810,HHI,EDDS-LEMH
HHI2827,HHI,2827,HHI,GCTS-EDDH
HHI2868,HHI,2868,HHI,EDDR-GCFV
HHI2869,HHI,2869,HHI,GCFV-GCTS-EDDR
HHI2872,HHI,2872,HHI,EDDM-LEMH
HHI2873,HHI,2873,HHI,LEMH-EDDM
HHI2884,HHI,2884,HHI,EDSB-GCRR
