Callsign,Code,Number,AirlineCode,AirportCodes
HHN2011,HHN,2011,HHN,ESGG-ORER
HHN2322,HHN,2322,HHN,LEIB-LFBD
HHN2875,HHN,2875,HHN,LFLL-EGCC
HHN3299,HHN,3299,HHN,LGRP-LFRS
HHN330,HHN,330,HHN,EDDL-ELLX
HHN331,HHN,331,HHN,ELLX-EDDL
HHN3760,HHN,3760,HHN,LFPG-LGKO
HHN3873,HHN,3873,HHN,LGKO-LFPG
HHN4650,HHN,4650,HHN,LFPG-LGIR
HHN5231,HHN,5231,HHN,LGIR-LFPG
HHN6312,HHN,6312,HHN,LGIR-LFBD
HHN6321,HHN,6321,HHN,LGKR-LFRS
HHN6424,HHN,6424,HHN,LFPG-LGIR
HHN6425,HHN,6425,HHN,LGIR-LFPG
HHN6666,HHN,6666,HHN,LFBD-LEPA
HHN6904,HHN,6904,HHN,LFRS-LGIR
HHN6905,HHN,6905,HHN,LGIR-LFRS
HHN808,HHN,808,HHN,EDXW-EDDL
HHN910,HHN,910,HHN,LEPA-EDLP-EDDL
