Callsign,Code,Number,AirlineCode,AirportCodes
HKC316,HKC,316,HKC,EBLG-VHHH
HKC317,HKC,317,HKC,VHHH-VVNB
HKC318,HKC,318,HKC,VVNB-VHHH
HKC319,HKC,319,HKC,VHHH-VVTS
HKC320,HKC,320,HKC,VVTS-VHHH
HKC324,HKC,324,HKC,VTBS-VHHH
HKC325,HKC,325,HKC,VHHH-UAAA-EBLG
HKC326,HKC,326,HKC,EBLG-VHHH
HKC327,HKC,327,HKC,VHHH-WMKK
HKC328,HKC,328,HKC,WMKK-VHHH
HKC331,HKC,331,HKC,VHHH-VTBS
HKC332,HKC,332,HKC,VTBS-VHHH
HKC334,HKC,334,HKC,VTBS-VHHH
HKC335,HKC,335,HKC,VHHH-VTBS
HKC3458,HKC,3458,HKC,WIII-VHHH
HKC351,HKC,351,HKC,VHHH-RPLL
HKC352,HKC,352,HKC,RPLL-VHHH
HKC353,HKC,353,HKC,VHHH-RPLL
HKC354,HKC,354,HKC,RPLL-VHHH
HKC357,HKC,357,HKC,VHHH-WSSS
HKC358,HKC,358,HKC,VHHH-UAAA-LIMC
HKC359,HKC,359,HKC,LIMC-VHHH
HKC363,HKC,363,HKC,VHHH-VTBS
HKC364,HKC,364,HKC,VHHH-UTTT-EGSS
HKC365,HKC,365,HKC,EGSS-VHHH
HKC371,HKC,371,HKC,VHHH-WSSS
HKC372,HKC,372,HKC,WSSS-VHHH
HKC375,HKC,375,HKC,VHHH-UTTT-EBLG
HKC376,HKC,376,HKC,EBLG-VHHH
HKC384,HKC,384,HKC,VHHH-UTTT-EGNX
HKC385,HKC,385,HKC,EGNX-VHHH
HKC386,HKC,386,HKC,VHHH-VGHS-OERK
HKC392,HKC,392,HKC,VHHH-UAAA-LHBP
HKC393,HKC,393,HKC,LHBP-VHHH
HKC394,HKC,394,HKC,VHHH-UAAA-EGBB
HKC395,HKC,395,HKC,EGBB-VHHH
HKC4568,HKC,4568,HKC,VHHH-RCTP
HKC4569,HKC,4569,HKC,RCTP-VHHH
HKC568,HKC,568,HKC,VHHH-RCTP
HKC569,HKC,569,HKC,RCTP-VHHH
HKC570,HKC,570,HKC,VHHH-RCTP
HKC571,HKC,571,HKC,RCTP-VHHH
HKC5923,HKC,5923,HKC,RCTP-VHHH
HKC5924,HKC,5924,HKC,VHHH-RCTP
HKC6353,HKC,6353,HKC,VHHH-VGHS
HKC6651,HKC,6651,HKC,VHHH-VGHS
HKC6652,HKC,6652,HKC,VGHS-VHHH
HKC6657,HKC,6657,HKC,VHHH-VGHS
HKC6658,HKC,6658,HKC,VGHS-VHHH
HKC701,HKC,701,HKC,VHHH-YSSY
HKC702,HKC,702,HKC,YSSY-VHHH
HKC825,HKC,825,HKC,VHHH-ZSPD
HKC826,HKC,826,HKC,ZSPD-VHHH
HKC827,HKC,827,HKC,ZSOF-VHHH
HKC829,HKC,829,HKC,VHHH-ZSPD
HKC830,HKC,830,HKC,ZSPD-VHHH
HKC9003,HKC,9003,HKC,VHHH-ZSHC
HKC9004,HKC,9004,HKC,ZSHC-VHHH
HKC9061,HKC,9061,HKC,VHHH-VGHS
HKC9071,HKC,9071,HKC,VHHH-VGHS
HKC9072,HKC,9072,HKC,VGHS-VHHH
HKC9073,HKC,9073,HKC,VHHH-VGHS
HKC9235,HKC,9235,HKC,VHHH-ZSPD
HKC9237,HKC,9237,HKC,RJAA-VHHH
HKC9238,HKC,9238,HKC,VHHH-RJAA
HKC9365,HKC,9365,HKC,VHHH-ZHCC
HKC9366,HKC,9366,HKC,ZHCC-VHHH
HKC9375,HKC,9375,HKC,VHHH-VOMM
HKC9376,HKC,9376,HKC,VOMM-VHHH
HKC9457,HKC,9457,HKC,VHHH-VIDP
HKC9458,HKC,9458,HKC,VIDP-VHHH
HKC9473,HKC,9473,HKC,VHHH-UAAA-LTFM
HKC9484,HKC,9484,HKC,LTFM-UAAA-VHHH
HKC9485,HKC,9485,HKC,VHHH-UAAA-LTFM
HKC9486,HKC,9486,HKC,LTFM-UAAA-VHHH
HKC9487,HKC,9487,HKC,VHHH-UAAA-LTFM
HKC9488,HKC,9488,HKC,LTFM-UAAA-VHHH
HKC9489,HKC,9489,HKC,VHHH-UAAA-LTFM
HKC9490,HKC,9490,HKC,LTFM-UAAA-VHHH
HKC9491,HKC,9491,HKC,VHHH-UAAA-LTBA
HKC9492,HKC,9492,HKC,LTBA-UAAA-VHHH
HKC9493,HKC,9493,HKC,VHHH-UAAA-LTFM
HKC9496,HKC,9496,HKC,LTBA-UAAA-VHHH
HKC9497,HKC,9497,HKC,VHHH-UAAA-LTBA
HKC962,HKC,962,HKC,VHHH-RJBB
HKC963,HKC,963,HKC,RJBB-VHHH
