Callsign,Code,Number,AirlineCode,AirportCodes
HKE110,HKE,110,HKE,VHHH-RCTP
HKE111,HKE,111,HKE,RCTP-VHHH
HKE123,HKE,123,HKE,RCMQ-VHHH
HKE130,HKE,130,HKE,VHHH-RCKH
HKE131,HKE,131,HKE,RCKH-VHHH
HKE140,HKE,140,HKE,VHHH-RCMQ
HKE141,HKE,141,HKE,RCMQ-VHHH
HKE151,HKE,151,HKE,RCMQ-VHHH
HKE160,HKE,160,HKE,VHHH-RCMQ
HKE161,HKE,161,HKE,RCMQ-VHHH
HKE1633,HKE,1633,HKE,RJAA-VHHH
HKE1647,HKE,1647,HKE,RJAA-VHHH
HKE166,HKE,166,HKE,VHHH-RCMQ
HKE167,HKE,167,HKE,RCMQ-VHHH
HKE172,HKE,172,HKE,VHHH-RCMQ
HKE1727,HKE,1727,HKE,VHHH-VYYY
HKE173,HKE,173,HKE,RCMQ-VHHH
HKE180,HKE,180,HKE,VHHH-RCMQ
HKE181,HKE,181,HKE,RCMQ-VHHH
HKE183,HKE,183,HKE,RCMQ-VHHH
HKE1844,HKE,1844,HKE,VHHH-RJBB
HKE1845,HKE,1845,HKE,RJBB-VHHH
HKE192,HKE,192,HKE,VHHH-RCMQ
HKE193,HKE,193,HKE,RCMQ-VHHH
HKE226,HKE,226,HKE,VHHH-ZSNB
HKE227,HKE,227,HKE,ZSNB-VHHH
HKE2728,HKE,2728,HKE,RPVK-VHHH
HKE32,HKE,32,HKE,VHHH-RJTT
HKE33,HKE,33,HKE,RJTT-VHHH
HKE42,HKE,42,HKE,VHHH-PGSN
HKE43,HKE,43,HKE,PGSN-VHHH
HKE502,HKE,502,HKE,VHHH-VVCR
HKE516,HKE,516,HKE,VHHH-RJFT
HKE517,HKE,517,HKE,RJFT-VHHH
HKE522,HKE,522,HKE,VHHH-RJOT
HKE523,HKE,523,HKE,RJOT-VHHH
HKE546,HKE,546,HKE,VHHH-RJFK
HKE547,HKE,547,HKE,RJFK-VHHH
HKE552,HKE,552,HKE,VHHH-VVDN
HKE553,HKE,553,HKE,VVDN-VHHH
HKE558,HKE,558,HKE,VHHH-VVDN
HKE559,HKE,559,HKE,VVDN-VHHH
HKE566,HKE,566,HKE,VHHH-VVCR
HKE567,HKE,567,HKE,VVCR-VHHH
HKE580,HKE,580,HKE,VHHH-RJGG
HKE581,HKE,581,HKE,RJGG-VHHH
HKE584,HKE,584,HKE,VHHH-RJGG
HKE585,HKE,585,HKE,RJGG-VHHH
HKE590,HKE,590,HKE,VHHH-RJGG
HKE591,HKE,591,HKE,RJGG-VHHH
HKE592,HKE,592,HKE,VHHH-RJGG
HKE593,HKE,593,HKE,RJGG-VHHH
HKE595,HKE,595,HKE,RJGG-VHHH
HKE600,HKE,600,HKE,VHHH-RJFF
HKE601,HKE,601,HKE,RJFF-VHHH
HKE611,HKE,611,HKE,RJGG-VHHH
HKE618,HKE,618,HKE,VHHH-RKSI
