Callsign,Code,Number,AirlineCode,AirportCodes
HYS102P,HYS,102P,HYS,LTAI-LROP
HYS116,HYS,116,HYS,LZIB-LROP
HYS1445,HYS,1445,HYS,LRIA-LRSM-LFOB
HYS1446,HYS,1446,HYS,LFOB-LRIA
HYS1473,HYS,1473,HYS,LRIA-EIDW
HYS1501,HYS,1501,HYS,LRCL-LTAI
HYS1502,HYS,1502,HYS,LTAI-LRCL
HYS1511,HYS,1511,HYS,LRCL-LGIR
HYS1512,HYS,1512,HYS,LGIR-LRCL
HYS1513,HYS,1513,HYS,LRCL-DTMB
HYS1514,HYS,1514,HYS,DTMB-LRCL
HYS1525,HYS,1525,HYS,LRCL-HEGN
HYS1526,HYS,1526,HYS,HEGN-LRCL
HYS1527,HYS,1527,HYS,LRCL-HEGN
HYS1528,HYS,1528,HYS,HEGN-LRCL
HYS1537,HYS,1537,HYS,LRCL-HESH
HYS1538,HYS,1538,HYS,HESH-LRBM
HYS1541,HYS,1541,HYS,LRBM-HEGN
HYS1542,HYS,1542,HYS,HEGN-LRBM
HYS1543,HYS,1543,HYS,LRBM-LTAI
HYS1544,HYS,1544,HYS,LTAI-LRBM
HYS1561,HYS,1561,HYS,LRIA-LTAI
HYS1562,HYS,1562,HYS,LTAI-LRIA
HYS1571,HYS,1571,HYS,LROD-LTAI
HYS1572,HYS,1572,HYS,LTAI-LROD
HYS1573,HYS,1573,HYS,LROP-HEGN
HYS1574,HYS,1574,HYS,HEGN-LROP
HYS1575,HYS,1575,HYS,LROP-HESH
HYS1576,HYS,1576,HYS,HESH-LROP
HYS1577,HYS,1577,HYS,LROP-LTAI
HYS1578,HYS,1578,HYS,LTAI-LROP
HYS1579,HYS,1579,HYS,LROP-DTMB
HYS1580,HYS,1580,HYS,DTMB-LROP
HYS1581,HYS,1581,HYS,LRTM-LTAI
HYS1582,HYS,1582,HYS,LTAI-LRTM
HYS1583,HYS,1583,HYS,LRTR-LTAI
HYS1584,HYS,1584,HYS,LTAI-LRTR
HYS1586,HYS,1586,HYS,HEGN-LRTM
HYS1593,HYS,1593,HYS,LRCV-DTMB
HYS1597,HYS,1597,HYS,LROD-HEGN
HYS1598,HYS,1598,HYS,HEGN-LROD
HYS1605,HYS,1605,HYS,LRTR-HEGN
HYS1611,HYS,1611,HYS,LRBC-LTAI
HYS1612,HYS,1612,HYS,LTAI-LRBC
HYS1615,HYS,1615,HYS,LRIA-HEGN
HYS1616,HYS,1616,HYS,HEGN-LRIA
HYS1619,HYS,1619,HYS,LROP-HESH
HYS1623,HYS,1623,HYS,LROP-LTFE
HYS1624,HYS,1624,HYS,LTFE-LROP
HYS1625,HYS,1625,HYS,LROP-LGIR
HYS1626,HYS,1626,HYS,LGIR-LROP
HYS1627,HYS,1627,HYS,LRIA-LGIR
HYS1628,HYS,1628,HYS,LGIR-LRIA
HYS1633,HYS,1633,HYS,LROP-HEGN
HYS1634,HYS,1634,HYS,HEGN-LROP
HYS1639,HYS,1639,HYS,LRSV-LTAI
HYS1640,HYS,1640,HYS,LTAI-LRSV
HYS1641,HYS,1641,HYS,LROP-LTAI
HYS1642,HYS,1642,HYS,LTAI-LROP
HYS1645,HYS,1645,HYS,LRSB-HEGN
HYS1646,HYS,1646,HYS,HEGN-LRSB
HYS1656,HYS,1656,HYS,LTAI-LQSA
HYS1663,HYS,1663,HYS,LROD-LGIR
HYS1668,HYS,1668,HYS,LGRP-LROP
HYS1669,HYS,1669,HYS,LRTR-LTAI
HYS1670,HYS,1670,HYS,LTAI-LRTR
HYS1671,HYS,1671,HYS,LRCL-LTAI
HYS1672,HYS,1672,HYS,LTAI-LRCL
HYS1673,HYS,1673,HYS,LRCL-LGRP
HYS1674,HYS,1674,HYS,LGRP-LRCL
HYS1678,HYS,1678,HYS,OOSA-LROP
HYS1683,HYS,1683,HYS,LROP-OMDW
HYS1684,HYS,1684,HYS,OMDW-LROP
HYS1687,HYS,1687,HYS,LRCV-LGRP
HYS1688,HYS,1688,HYS,LGRP-LRCV
HYS1711,HYS,1711,HYS,LROP-LCLK
HYS1712,HYS,1712,HYS,LCLK-LROP
HYS1713,HYS,1713,HYS,LRCV-LTAI
HYS1714,HYS,1714,HYS,LTAI-LRCV
HYS1715,HYS,1715,HYS,LRBV-LTAI
HYS1718,HYS,1718,HYS,LTAI-LRSM
HYS1719,HYS,1719,HYS,LRSB-LTAI
HYS1720,HYS,1720,HYS,LTAI-LRSB
HYS1722,HYS,1722,HYS,LGIR-LRSV
HYS1723,HYS,1723,HYS,LRTR-LGRP
HYS1724,HYS,1724,HYS,LGRP-LRTR
HYS1726,HYS,1726,HYS,LGSA-LROP
HYS1729,HYS,1729,HYS,LRIA-LGZA
HYS1732,HYS,1732,HYS,LGZA-LROP
HYS1740,HYS,1740,HYS,LEPA-LRCL
HYS201,HYS,201,HYS,LROP-EDDF
HYS202,HYS,202,HYS,EDDF-LROP
HYS225,HYS,225,HYS,LRBM-LFOB
HYS226,HYS,226,HYS,LFOB-LRBM
HYS228,HYS,228,HYS,LFBD-LROP
HYS233,HYS,233,HYS,LRCK-LLBG
HYS235,HYS,235,HYS,LROP-LLBG
HYS236,HYS,236,HYS,LLBG-LROP
HYS237,HYS,237,HYS,LROP-LLBG
HYS238,HYS,238,HYS,LLBG-LROP
HYS239,HYS,239,HYS,LRBM-LLBG
HYS243,HYS,243,HYS,LRIA-EIDW
HYS244,HYS,244,HYS,EIDW-LRIA
HYS245,HYS,245,HYS,LROP-EBBR
HYS246,HYS,246,HYS,EBBR-LROP
HYS251,HYS,251,HYS,LRCL-EIDW
HYS252,HYS,252,HYS,EIDW-LRCL
HYS253,HYS,253,HYS,LROP-LRTR
HYS254,HYS,254,HYS,LRTR-LROP
HYS255,HYS,255,HYS,LROP-LRTR
HYS256,HYS,256,HYS,LRTR-LROP
HYS257,HYS,257,HYS,LROP-EIDW
HYS2574,HYS,2574,HYS,HEGN-LROP
HYS258,HYS,258,HYS,EIDW-LROP
HYS261,HYS,261,HYS,LROP-LEMG
HYS262,HYS,262,HYS,LEMG-LROP
HYS2625,HYS,2625,HYS,LROP-LCLK
HYS2626,HYS,2626,HYS,LCLK-LROP
HYS263,HYS,263,HYS,LROP-LEBL
HYS264,HYS,264,HYS,LEBL-LROP
HYS267,HYS,267,HYS,LRSM-LFOB
HYS268,HYS,268,HYS,LFOB-LRSM
HYS2689,HYS,2689,HYS,LRCL-LCLK
HYS2690,HYS,2690,HYS,LCLK-LRCL
HYS271,HYS,271,HYS,LRCL-LLBG
HYS272,HYS,272,HYS,LLBG-LRCL
HYS273,HYS,273,HYS,LRCL-LPPT
HYS274,HYS,274,HYS,LPPT-LRCL
HYS275,HYS,275,HYS,LRCL-LROP
HYS276,HYS,276,HYS,LROP-LRCL
HYS277,HYS,277,HYS,LRCL-LROP
HYS278,HYS,278,HYS,LROP-LRCL
HYS283,HYS,283,HYS,LROP-LRCL
HYS284,HYS,284,HYS,LRCL-LROP
HYS293,HYS,293,HYS,LRTM-LFOB
HYS294,HYS,294,HYS,LFOB-LRTM
HYS315,HYS,315,HYS,LROP-LTAI
HYS316,HYS,316,HYS,LTAI-LROP
HYS354,HYS,354,HYS,LGIR-LUKK
HYS401,HYS,401,HYS,LUKK-EDDF
HYS402,HYS,402,HYS,EDDF-LUKK
HYS403,HYS,403,HYS,LUKK-EDDL
HYS404,HYS,404,HYS,EDDL-LUKK
HYS445,HYS,445,HYS,LUKK-LFOB
HYS446,HYS,446,HYS,LFOB-LUKK
HYS473,HYS,473,HYS,LUKK-EIDW
HYS474,HYS,474,HYS,EIDW-LUKK
HYS481,HYS,481,HYS,LUKK-LROP
HYS482,HYS,482,HYS,LROP-LUKK
HYS483,HYS,483,HYS,LUKK-LIME
HYS484,HYS,484,HYS,LIME-LUKK
HYS485,HYS,485,HYS,LUKK-LIPE
HYS486,HYS,486,HYS,LIPE-LUKK
HYS491,HYS,491,HYS,LUKK-LIPZ
HYS492,HYS,492,HYS,LIPZ-LUKK
HYS493,HYS,493,HYS,LUKK-LIRF
HYS494,HYS,494,HYS,LIRF-LUKK
HYS5612,HYS,5612,HYS,HEGN-LRCL
HYS6573,HYS,6573,HYS,LROP-HEGN
HYS7242,HYS,7242,HYS,HEGN-LROP
HYS7274,HYS,7274,HYS,OOSA-OMRK-LROP
HYS7571,HYS,7571,HYS,LROP-OMDW
HYS7572,HYS,7572,HYS,OMDW-LROP
HYS7612,HYS,7612,HYS,HEGN-LROP
HYS7615,HYS,7615,HYS,LRTR-HEGN
HYS8281,HYS,8281,HYS,LROP-HTZA
HYS8372,HYS,8372,HYS,OMDW-LROP
HYS8512,HYS,8512,HYS,HEGN-LROP
HYS8583,HYS,8583,HYS,LROP-VRMM
HYS8714,HYS,8714,HYS,HESH-LROP
HYS9521,HYS,9521,HYS,LROP-LTAI
HYS9522,HYS,9522,HYS,LTAI-LROP
HYS9531,HYS,9531,HYS,LRCL-LTAI
HYS9532,HYS,9532,HYS,LTAI-LRCL
HYS9722,HYS,9722,HYS,LTAI-LROP
