Callsign,Code,Number,AirlineCode,AirportCodes
IAE105,IAE,105,IAE,UIII-UIAA-UHBB-UHWW
IAE106,IAE,106,IAE,UHWW-UHBB-UIAA-UIII
IAE107,IAE,107,IAE,UIII-UIUU
IAE109,IAE,109,IAE,UIII-UNNT
IAE111,IAE,111,IAE,UIII-UIUU-UHBB-UHWW
IAE114,IAE,114,IAE,UHHH-UIII
IAE115,IAE,115,IAE,UNKL-UIAA
IAE116,IAE,116,IAE,UIAA-UNKL
IAE121,IAE,121,IAE,UNWW-UIII
IAE123,IAE,123,IAE,UIII-UNNT
IAE124,IAE,124,IAE,UNNT-UNKY-UIII
IAE125,IAE,125,IAE,UEEE-UIUU
IAE128,IAE,128,IAE,UNKL-UELL-UIII
IAE170,IAE,170,IAE,UIAA-UIII
IAE171,IAE,171,IAE,UIII-UNKL-UNNT
IAE172,IAE,172,IAE,UNNT-UNKL-UIII
IAE173,IAE,173,IAE,UIII-UNNT-USNN
IAE174,IAE,174,IAE,USNN-UNNT-UIII
IAE175,IAE,175,IAE,UIII-UNKL
IAE178,IAE,178,IAE,UHWW-UHBB-UIII
IAE1801,IAE,1801,IAE,UUDD-LTAI
IAE1802,IAE,1802,IAE,LTAI-UUDD
IAE1821,IAE,1821,IAE,URSS-LTAI
IAE1825,IAE,1825,IAE,URSS-LTAI
IAE1826,IAE,1826,IAE,LTAI-URSS
IAE1827,IAE,1827,IAE,UWSG-LTAI
IAE1828,IAE,1828,IAE,LTAI-UWSG
IAE201,IAE,201,IAE,USTR-UNTT-UIII
IAE202,IAE,202,IAE,UIII-UNTT-USTR
IAE203,IAE,203,IAE,UWOO-USMU
IAE205,IAE,205,IAE,UWUU-USNN-UNNT
IAE206,IAE,206,IAE,USNN-UWUU
IAE210,IAE,210,IAE,UIII-UNBB-URSS
IAE211,IAE,211,IAE,URSS-UNBB-UIII
IAE213,IAE,213,IAE,UIII-UNOO-URKK
IAE214,IAE,214,IAE,URKK-UNOO-UIII
IAE215,IAE,215,IAE,USMU-UWUU-URML
IAE216,IAE,216,IAE,UUDD-UNBB
IAE217,IAE,217,IAE,USMU-UWUU
IAE218,IAE,218,IAE,UWUU-USMU
IAE221,IAE,221,IAE,UIII-UHWW
IAE222,IAE,222,IAE,UNTT-USMU
IAE225,IAE,225,IAE,UIII-UNBB
IAE226,IAE,226,IAE,ULLI-UNBB-UIII
IAE229,IAE,229,IAE,UIII-UNOO-URSS
IAE230,IAE,230,IAE,UIII-ZMCK
IAE231,IAE,231,IAE,ZMCK-UIII
IAE233,IAE,233,IAE,UIII-UNBB-URKA
IAE234,IAE,234,IAE,URKA-UNBB-UIII
IAE237,IAE,237,IAE,UIII-UNOO-URKA
IAE238,IAE,238,IAE,URKA-UNOO-UIII
IAE247,IAE,247,IAE,UIII-UNKL-UBBB
IAE248,IAE,248,IAE,UBBB-UNKL-UIII
IAE251,IAE,251,IAE,UIII-UTFF
IAE252,IAE,252,IAE,UTFF-UIII
IAE255,IAE,255,IAE,UIII-UNOO-URKG
IAE256,IAE,256,IAE,URKG-UNOO-UIII
IAE258,IAE,258,IAE,UNKL-UTFF
IAE259,IAE,259,IAE,UTFF-UNKL
IAE273,IAE,273,IAE,UIII-UNNT
IAE274,IAE,274,IAE,UNNT-UIII
IAE275,IAE,275,IAE,UIII-UNNT
IAE276,IAE,276,IAE,UNNT-UIII
IAE291,IAE,291,IAE,USSS-UBBB
IAE292,IAE,292,IAE,UBBB-USSS
IAE301,IAE,301,IAE,UUDD-URMM-LLBG
IAE302,IAE,302,IAE,LLBG-URMM-UUDD
IAE305,IAE,305,IAE,UWGG-USSS
IAE306,IAE,306,IAE,USSS-UWGG
IAE309,IAE,309,IAE,UIII-UIAA-UEEE-UHMM
IAE311,IAE,311,IAE,UIII-UIAA-UHSS
