Callsign,Code,Number,AirlineCode,AirportCodes
IBE1,IBE,1,IBE,LEZL-LEMD
IBE10,IBE,10,IBE,LEBL-LEMD
IBE1000,IBE,1000,IBE,LEMD-LEBL
IBE1001,IBE,1001,IBE,LEBL-LEMD
IBE1005,IBE,1005,IBE,LEBL-LEMD
IBE1006,IBE,1006,IBE,LEMD-LEBL
IBE101,IBE,101,IBE,LEZL-LEMD
IBE1011,IBE,1011,IBE,LEBL-LEMD
IBE1019,IBE,1019,IBE,LEBL-LEMD
IBE102,IBE,102,IBE,LEMD-LEZL
IBE1025,IBE,1025,IBE,LEBL-LEMD
IBE1026,IBE,1026,IBE,LFPO-LEMD
IBE103,IBE,103,IBE,LEZL-LEMD
IBE1030,IBE,1030,IBE,LEMD-LEBL
IBE1031,IBE,1031,IBE,LEBL-LEMD
IBE1035,IBE,1035,IBE,LEBL-LEMD
IBE1041,IBE,1041,IBE,LEBL-LEMD
IBE1045,IBE,1045,IBE,LEBL-LEMD
IBE1046,IBE,1046,IBE,LEMD-LEBL
IBE1056,IBE,1056,IBE,LEMD-LEBL
IBE106,IBE,106,IBE,LEMD-LEZL
IBE108,IBE,108,IBE,LEMD-LEZL
IBE10AR,IBE,10AR,IBE,LEBL-LEMD
IBE10HD,IBE,10HD,IBE,LEBL-LEMD
IBE10PW,IBE,10PW,IBE,LEBL-LEMD
IBE10ZK,IBE,10ZK,IBE,LEBL-LEMD
IBE11,IBE,11,IBE,LEBL-LEMD
IBE1105,IBE,1105,IBE,LEBL-LEMD
IBE111,IBE,111,IBE,LEBL-LEMD
IBE1111,IBE,1111,IBE,LEBL-LEMD
IBE1116,IBE,1116,IBE,LEMD-LEBL
IBE112,IBE,112,IBE,LEMD-LEZL
IBE1120,IBE,1120,IBE,LEMD-LEBL
IBE1130,IBE,1130,IBE,LEMD-LEBL
IBE1131,IBE,1131,IBE,LEBL-LEMD
IBE1136,IBE,1136,IBE,LEMD-LEBL
IBE114,IBE,114,IBE,LEMD-LEZL
IBE1141,IBE,1141,IBE,LEBL-LEMD
IBE1145,IBE,1145,IBE,LEBL-LEMD
IBE1146,IBE,1146,IBE,LEMD-LEBL
IBE115,IBE,115,IBE,LEZL-LEMD
IBE116,IBE,116,IBE,LEMD-LEZL
IBE117,IBE,117,IBE,LEZL-LEMD
IBE119,IBE,119,IBE,LEZL-LEMD
IBE11AL,IBE,11AL,IBE,LEMD-LEBL
IBE11GG,IBE,11GG,IBE,LEMD-LEBL
IBE11VC,IBE,11VC,IBE,LEMD-LEBL
IBE11VR,IBE,11VR,IBE,LEBL-LEMD
IBE11ZL,IBE,11ZL,IBE,LEMD-LEBL
IBE12,IBE,12,IBE,LEMD-LEBL
IBE1201,IBE,1201,IBE,LEBL-LEMD
IBE121,IBE,121,IBE,EBLG-LEMD
IBE1211,IBE,1211,IBE,LEBL-LEMD
IBE1216,IBE,1216,IBE,LEMD-LEBL
IBE1226,IBE,1226,IBE,LEMD-LEBL
IBE123,IBE,123,IBE,LEMD-EBLG
IBE1230,IBE,1230,IBE,LEMD-LEBL
IBE1231,IBE,1231,IBE,LEBL-LEMD
IBE1235,IBE,1235,IBE,LEBL-LEMD
IBE1241,IBE,1241,IBE,LEBL-LEMD
IBE1245,IBE,1245,IBE,LEBL-LEMD
IBE1246,IBE,1246,IBE,LEMD-LEBL
IBE125,IBE,125,IBE,LEZL-LEMD
IBE1256,IBE,1256,IBE,LEMD-LEBL
IBE12BV,IBE,12BV,IBE,LEBL-LEMD
IBE12CG,IBE,12CG,IBE,LEMD-LEBL
IBE12FL,IBE,12FL,IBE,LEBL-LEMD
IBE12LP,IBE,12LP,IBE,LEBL-LEMD
IBE12WZ,IBE,12WZ,IBE,LEBL-LEMD
IBE13,IBE,13,IBE,LEBL-LEMD
IBE131,IBE,131,IBE,EVRA-EKCH
IBE1315,IBE,1315,IBE,LEBL-LEMD
IBE1316,IBE,1316,IBE,LEMD-LEBL
IBE132,IBE,132,IBE,EKCH-EVRA
IBE1331,IBE,1331,IBE,LEBL-LEMD
IBE1335,IBE,1335,IBE,LEBL-LEMD
IBE1336,IBE,1336,IBE,LEMD-LEBL
IBE134,IBE,134,IBE,ESMS-EBLG
IBE1341,IBE,1341,IBE,LEBL-LEMD
