Callsign,Code,Number,AirlineCode,AirportCodes
IGT1145,IGT,1145,IGT,ZJSY-UTSA-LIME
IGT1146,IGT,1146,IGT,LIME-UGTB-ZJSY
IGT1161,IGT,1161,IGT,UGTB-ZUUU
IGT1162,IGT,1162,IGT,ZUUU-UGTB-LHBP
IGT1163,IGT,1163,IGT,LHBP-UGTB-ZUUU
IGT1164,IGT,1164,IGT,ZUUU-UGTB
IGT1165,IGT,1165,IGT,LLBG-UGTB-ZWWW
IGT1166,IGT,1166,IGT,ZWWW-UGTB-LLBG
IGT1177,IGT,1177,IGT,ZLXY-UGTB-EBLG
IGT1178,IGT,1178,IGT,EBLG-UGTB-ZLXY
IGT1179,IGT,1179,IGT,ZLXY-UGTB-LHBP
IGT1180,IGT,1180,IGT,LHBP-UGTB-ZLXY
IGT1181,IGT,1181,IGT,EGSS-VHHH
IGT1182,IGT,1182,IGT,VHHH-UTFN
IGT1185,IGT,1185,IGT,ZJHK-UTSA-LIMC
IGT1186,IGT,1186,IGT,LIMC-UGTB-ZJHK
IGT1190,IGT,1190,IGT,LLBG-ZJHK
IGT1191,IGT,1191,IGT,LHSM-UGTB-ZSOF
IGT1192,IGT,1192,IGT,ZSOF-UAAA-UGTB-LHSM
IGT2101,IGT,2101,IGT,UGTB-EBLG
IGT2102,IGT,2102,IGT,EBLG-UGTB
IGT2103,IGT,2103,IGT,UGTB-EBLG
IGT2104,IGT,2104,IGT,EBLG-UGTB
IGT2105,IGT,2105,IGT,UGTB-EBLG
IGT2301,IGT,2301,IGT,EBLG-EDDF
IGT2302,IGT,2302,IGT,EDDF-UGTB
IGT2381,IGT,2381,IGT,UGTB-LHBP
IGT2383,IGT,2383,IGT,UGTB-LHBP
IGT2384,IGT,2384,IGT,LHBP-UGTB
IGT2766,IGT,2766,IGT,LROP-UGTB
IGT2881,IGT,2881,IGT,UGTB-LEMD
IGT2882,IGT,2882,IGT,LEMD-EBLG
IGT2981,IGT,2981,IGT,UGTB-EGSS
IGT2982,IGT,2982,IGT,EGSS-EBLG
IGT2983,IGT,2983,IGT,UGTB-EGBB
IGT2984,IGT,2984,IGT,EGBB-EBLG
IGT300,IGT,300,IGT,UBBB-UGTB
IGT301,IGT,301,IGT,UGTB-LTFM
IGT302,IGT,302,IGT,LTFM-UGTB
IGT303,IGT,303,IGT,UGTB-UBBB
IGT316,IGT,316,IGT,UGTB-UBBB
IGT317,IGT,317,IGT,UBBB-UGTB
IGT319,IGT,319,IGT,UGTB-UBBB
IGT6282,IGT,6282,IGT,VIDP-UBBB
IGT6922,IGT,6922,IGT,OMDW-UBBB
