Callsign,Code,Number,AirlineCode,AirportCodes
IKA119,IKA,119,IKA,KSBN-KWRI
IKA122,IKA,122,IKA,KGSP-KSKF
IKA219,IKA,219,IKA,KWRI-KBOI
IKA222,IKA,222,IKA,KSKF-KGPT
IKA3000,IKA,3000,IKA,KMIA-KADW
IKA506,IKA,506,IKA,KBTR-KBWI
IKA513,IKA,513,IKA,KMIA-MDPC
IKA542,IKA,542,IKA,MMUN-KIAD
IKA547,IKA,547,IKA,KJQF-KIAD
IKA549,IKA,549,IKA,KGPT-MMTM
IKA562,IKA,562,IKA,KBED-KBMI
IKA568,IKA,568,IKA,KMDW-KCLT
IKA577,IKA,577,IKA,MWCR-KSFB
IKA581,IKA,581,IKA,KIND-KDTW
IKA582,IKA,582,IKA,KATL-KMIA
IKA610,IKA,610,IKA,KDTW-KIND
IKA612,IKA,612,IKA,KIAH-KIND
IKA621,IKA,621,IKA,UCFM-ZWWW
IKA622,IKA,622,IKA,ZWWW-UCFM
IKA631,IKA,631,IKA,MDPC-KMIA
IKA632,IKA,632,IKA,UUDD-UCFM
IKA633,IKA,633,IKA,UCFO-UNKL
IKA634,IKA,634,IKA,UNKL-UCFO
IKA643,IKA,643,IKA,KIAD-KGSP
IKA645,IKA,645,IKA,KBMI-MMUN
IKA651,IKA,651,IKA,GCTS-EDDK
IKA653,IKA,653,IKA,MMTM-KCRP
IKA8404,IKA,8404,IKA,MUHA-KMIA
IKA8602,IKA,8602,IKA,KCLT-KDAB
IKA8829,IKA,8829,IKA,KMIA-KJQF
