Callsign,Code,Number,AirlineCode,AirportCodes
IWD1277,IWD,1277,IWD,GCXO-LEBL
IWD1278,IWD,1278,IWD,LEBL-GCTS
IWD1319,IWD,1319,IWD,GCTS-EBBR
IWD132,IWD,132,IWD,UUDD-ULLI
IWD1431,IWD,1431,IWD,LEAL-LEBB
IWD1461,IWD,1461,IWD,LEMG-LEBB
IWD1502,IWD,1502,IWD,LEMH-LEMD
IWD1505,IWD,1505,IWD,LEMH-LEBB
IWD1506,IWD,1506,IWD,LEMH-LEBB
IWD1508,IWD,1508,IWD,LEMH-LEMD
IWD1514,IWD,1514,IWD,LEIB-LEMD
IWD158,IWD,158,IWD,LEMH-LEMD
IWD159P,IWD,159P,IWD,LEIB-LEBB
IWD1612,IWD,1612,IWD,LEAL-LEBB
IWD1633,IWD,1633,IWD,LEAM-LEXJ
IWD1634,IWD,1634,IWD,LEAL-LEXJ
IWD1635,IWD,1635,IWD,LEXJ-LEAL
IWD1636,IWD,1636,IWD,LEAL-LEXJ
IWD165P,IWD,165P,IWD,LEMH-LEBB
IWD172,IWD,172,IWD,ULLI-UUDD
IWD183,IWD,183,IWD,ULLI-UUEE
IWD2071,IWD,2071,IWD,ULLI-LBBG
IWD2072,IWD,2072,IWD,ULLI-LBBG
IWD209,IWD,209,IWD,ULLI-LBWN
IWD210,IWD,210,IWD,ULLI-LBWN
IWD221,IWD,221,IWD,ULLI-LKPR
IWD253,IWD,253,IWD,ULLI-EDDH
IWD257,IWD,257,IWD,ULLI-EDDM
IWD258,IWD,258,IWD,ULLI-EDDM
IWD263,IWD,263,IWD,ULLI-LGTS
IWD295,IWD,295,IWD,ULLI-LTBA
IWD296,IWD,296,IWD,LTBA-ULLI
IWD324,IWD,324,IWD,ULLI-UMKK
IWD3253,IWD,3253,IWD,LERS-EINN
IWD328,IWD,328,IWD,LEPA-EHAM
IWD330,IWD,330,IWD,ESSV-GCTS
IWD3401,IWD,3401,IWD,LEIB-EINN
IWD410,IWD,410,IWD,EGNT-EGKK
IWD427,IWD,427,IWD,EBBR-LEMD
IWD4602,IWD,4602,IWD,LIRF-LEMD
IWD48P,IWD,48P,IWD,LFML-LFRS
IWD49,IWD,49,IWD,LFRS-LFPG
IWD529L,IWD,529L,IWD,GCTS-EGKK
IWD541,IWD,541,IWD,ULLI-UNNT
IWD542,IWD,542,IWD,UNNT-ULLI
IWD5808,IWD,5808,IWD,LPPT-LIEE
IWD59,IWD,59,IWD,MDPC-LFPG
IWD602,IWD,602,IWD,LEBL-LEMD
IWD6031,IWD,6031,IWD,LGRP-ENTC
IWD6032,IWD,6032,IWD,ESSP-LGRP
IWD6033,IWD,6033,IWD,LGSR-ENGM
IWD6034,IWD,6034,IWD,ENGM-LGSR
IWD6041,IWD,6041,IWD,LGSA-ENVA
IWD6042,IWD,6042,IWD,ENVA-LGSA
IWD6043,IWD,6043,IWD,LGSA-ESPA
IWD6044,IWD,6044,IWD,ESPA-LGSA
IWD6051,IWD,6051,IWD,LGSA-ESOK
IWD6052,IWD,6052,IWD,ESOK-LGSA
IWD6053,IWD,6053,IWD,LGSA-ESOK
IWD6054,IWD,6054,IWD,ENZV-LGSA
IWD6061,IWD,6061,IWD,LGSA-ESPA
IWD6062,IWD,6062,IWD,ESPA-LGSA
IWD6063,IWD,6063,IWD,LGSA-ENTO
IWD6064,IWD,6064,IWD,ENTO-LGSA
IWD6073,IWD,6073,IWD,LGSA-ESNU
IWD6074,IWD,6074,IWD,ESNU-LGSA
