Callsign,Code,Number,AirlineCode,AirportCodes
JAL1,JAL,1,JAL,KSFO-RJTT
JAL10,JAL,10,JAL,RJTT-KORD
JAL101,JAL,101,JAL,RJTT-RJOO
JAL102,JAL,102,JAL,RJOO-RJTT
JAL103,JAL,103,JAL,RJTT-RJOO
JAL104,JAL,104,JAL,RJOO-RJTT
JAL105,JAL,105,JAL,RJTT-RJOO
JAL106,JAL,106,JAL,RJOO-RJTT
JAL107,JAL,107,JAL,RJTT-RJOO
JAL11,JAL,11,JAL,KDFW-RJTT
JAL110,JAL,110,JAL,RJOO-RJTT
JAL1100,JAL,1100,JAL,RJEC-RJTT
JAL1103,JAL,1103,JAL,RJTT-RJEC
JAL1104,JAL,1104,JAL,RJEC-RJTT
JAL1107,JAL,1107,JAL,RJTT-RJEC
JAL111,JAL,111,JAL,RJTT-RJOO
JAL1112,JAL,1112,JAL,RJEC-RJTT
JAL1113,JAL,1113,JAL,RJTT-RJEC
JAL1115,JAL,1115,JAL,RJTT-RJEC
JAL1116,JAL,1116,JAL,RJEC-RJTT
JAL112,JAL,112,JAL,RJOO-RJTT
JAL113,JAL,113,JAL,RJTT-RJOO
JAL114,JAL,114,JAL,RJOO-RJTT
JAL1144,JAL,1144,JAL,RJCK-RJTT
JAL1145,JAL,1145,JAL,RJTT-RJCK
JAL1146,JAL,1146,JAL,RJCK-RJTT
JAL1147,JAL,1147,JAL,RJTT-RJCK
JAL1148,JAL,1148,JAL,RJCK-RJTT
JAL1149,JAL,1149,JAL,RJTT-RJCK
JAL115,JAL,115,JAL,RJTT-RJOO
JAL1151,JAL,1151,JAL,RJTT-RJCB
JAL1152,JAL,1152,JAL,RJCB-RJTT
JAL1153,JAL,1153,JAL,RJTT-RJCB
JAL1154,JAL,1154,JAL,RJCB-RJTT
JAL1155,JAL,1155,JAL,RJTT-RJCB
JAL1156,JAL,1156,JAL,RJCB-RJTT
JAL1157,JAL,1157,JAL,RJTT-RJCB
JAL1158,JAL,1158,JAL,RJCB-RJTT
JAL116,JAL,116,JAL,RJOO-RJTT
JAL1161,JAL,1161,JAL,RJTT-RJCH
JAL1162,JAL,1162,JAL,RJCH-RJTT
JAL1165,JAL,1165,JAL,RJTT-RJCH
JAL1167,JAL,1167,JAL,RJTT-RJCH
JAL1168,JAL,1168,JAL,RJCH-RJTT
JAL117,JAL,117,JAL,RJTT-RJOO
JAL1170,JAL,1170,JAL,RJCH-RJTT
JAL118,JAL,118,JAL,RJOO-RJTT
JAL1180,JAL,1180,JAL,RJCM-RJTT
JAL1183,JAL,1183,JAL,RJTT-RJCM
JAL1188,JAL,1188,JAL,RJCM-RJTT
JAL1189,JAL,1189,JAL,RJTT-RJCM
JAL119,JAL,119,JAL,RJTT-RJOO
JAL1190,JAL,1190,JAL,RJCM-RJTT
JAL1191,JAL,1191,JAL,RJTT-RJCM
JAL12,JAL,12,JAL,RJTT-KDFW
JAL120,JAL,120,JAL,RJOO-RJTT
JAL1200,JAL,1200,JAL,RJSA-RJTT
JAL1201,JAL,1201,JAL,RJTT-RJSA
JAL1202,JAL,1202,JAL,RJSA-RJTT
JAL1203,JAL,1203,JAL,RJTT-RJSA
JAL1204,JAL,1204,JAL,RJSA-RJTT
JAL1205,JAL,1205,JAL,RJTT-RJSA
JAL1206,JAL,1206,JAL,RJSA-RJTT
JAL1207,JAL,1207,JAL,RJTT-RJSA
JAL1208,JAL,1208,JAL,RJSA-RJTT
JAL1209,JAL,1209,JAL,RJTT-RJSA
JAL121,JAL,121,JAL,RJTT-RJOO
JAL1210,JAL,1210,JAL,RJSA-RJTT
JAL1211,JAL,1211,JAL,RJTT-RJSA
JAL1222,JAL,1222,JAL,RJSM-RJTT
JAL1224,JAL,1224,JAL,RJSM-RJTT
JAL1225,JAL,1225,JAL,RJTT-RJSM
JAL1226,JAL,1226,JAL,RJSM-RJTT
JAL1227,JAL,1227,JAL,RJTT-RJSM
JAL1229,JAL,1229,JAL,RJTT-RJSM
JAL124,JAL,124,JAL,RJOO-RJTT
JAL125,JAL,125,JAL,RJTT-RJOO
JAL1251,JAL,1251,JAL,RJTT-RJSC
JAL1252,JAL,1252,JAL,RJSC-RJTT
JAL1254,JAL,1254,JAL,RJSC-RJTT
JAL1257,JAL,1257,JAL,RJTT-RJSC
JAL1258,JAL,1258,JAL,RJSC-RJTT
JAL1259,JAL,1259,JAL,RJTT-RJSC
JAL126,JAL,126,JAL,RJOO-RJTT
JAL1260,JAL,1260,JAL,RJSK-RJTT
JAL1261,JAL,1261,JAL,RJTT-RJSK
JAL1263,JAL,1263,JAL,RJTT-RJSK
JAL1264,JAL,1264,JAL,RJSK-RJTT
JAL1265,JAL,1265,JAL,RJTT-RJSK
JAL1266,JAL,1266,JAL,RJSK-RJTT
JAL1267,JAL,1267,JAL,RJTT-RJSK
JAL1268,JAL,1268,JAL,RJSK-RJTT
JAL127,JAL,127,JAL,RJTT-RJOO
JAL1270,JAL,1270,JAL,RJNK-RJTT
JAL1272,JAL,1272,JAL,RJNK-RJTT
JAL1273,JAL,1273,JAL,RJTT-RJNK
JAL1275,JAL,1275,JAL,RJTT-RJNK
JAL1276,JAL,1276,JAL,RJNK-RJTT
JAL1278,JAL,1278,JAL,RJNK-RJTT
JAL1279,JAL,1279,JAL,RJTT-RJNK
JAL128,JAL,128,JAL,RJOO-RJTT
JAL1280,JAL,1280,JAL,RJNK-RJTT
JAL1281,JAL,1281,JAL,RJTT-RJNK
JAL1282,JAL,1282,JAL,RJNK-RJTT
JAL1283,JAL,1283,JAL,RJTT-RJNK
JAL1285,JAL,1285,JAL,RJTT-RJNK
JAL130,JAL,130,JAL,RJOO-RJTT
JAL131,JAL,131,JAL,RJTT-RJOO
JAL132,JAL,132,JAL,RJOO-RJTT
JAL133,JAL,133,JAL,RJTT-RJOO
JAL134,JAL,134,JAL,RJOO-RJTT
JAL137,JAL,137,JAL,RJTT-RJOO
JAL138,JAL,138,JAL,RJOO-RJTT
JAL1381,JAL,1381,JAL,RJTT-RJBD
JAL1382,JAL,1382,JAL,RJBD-RJTT
JAL1383,JAL,1383,JAL,RJTT-RJBD
JAL1384,JAL,1384,JAL,RJBD-RJTT
JAL1385,JAL,1385,JAL,RJTT-RJBD
JAL1386,JAL,1386,JAL,RJBD-RJTT
JAL139,JAL,139,JAL,RJTT-RJOO
JAL140,JAL,140,JAL,RJSA-RJTT
JAL1402,JAL,1402,JAL,RJOT-RJTT
JAL1403,JAL,1403,JAL,RJTT-RJOT
JAL1404,JAL,1404,JAL,RJOT-RJTT
JAL1405,JAL,1405,JAL,RJTT-RJOT
JAL1406,JAL,1406,JAL,RJOT-RJTT
JAL1407,JAL,1407,JAL,RJTT-RJOT
JAL1408,JAL,1408,JAL,RJOT-RJTT
JAL1409,JAL,1409,JAL,RJTT-RJOT
JAL141,JAL,141,JAL,RJTT-RJSA
JAL1410,JAL,1410,JAL,RJOT-RJTT
