Callsign,Code,Number,AirlineCode,AirportCodes
JAP7000,JAP,7000,JAP,SPQU-SPJC
JAP7001,JAP,7001,JAP,SPJC-SPQU
JAP7002,JAP,7002,JAP,SPQU-SPJC
JAP7003,JAP,7003,JAP,SPJC-SPQU
JAP7004,JAP,7004,JAP,SPQU-SPJC
JAP7005,JAP,7005,JAP,SPJC-SPQU
JAP7006,JAP,7006,JAP,SPQU-SPJC
JAP7007,JAP,7007,JAP,SPJC-SPQU
JAP7008,JAP,7008,JAP,SPQU-SPJC
JAP7009,JAP,7009,JAP,SPJC-SPQU
JAP7010,JAP,7010,JAP,SPQU-SPJC
JAP7011,JAP,7011,JAP,SPJC-SPQU
JAP7013,JAP,7013,JAP,SPJC-SPQU
JAP7018,JAP,7018,JAP,SPZO-SPJC
JAP7019,JAP,7019,JAP,SPJC-SPZO
JAP7022,JAP,7022,JAP,SPZO-SPJC
JAP7023,JAP,7023,JAP,SPJC-SPZO
JAP7027,JAP,7027,JAP,SPJC-SPZO
JAP7028,JAP,7028,JAP,SPZO-SPJC
JAP7029,JAP,7029,JAP,SPJC-SPZO
JAP7030,JAP,7030,JAP,SPZO-SPJC
JAP7031,JAP,7031,JAP,SPJC-SPZO
JAP7032,JAP,7032,JAP,SPZO-SPJC
JAP7033,JAP,7033,JAP,SPJC-SPZO
JAP7034,JAP,7034,JAP,SPZO-SPJC
JAP7035,JAP,7035,JAP,SPJC-SPZO
JAP7036,JAP,7036,JAP,SPZO-SPJC
JAP7037,JAP,7037,JAP,SPJC-SPZO
JAP7038,JAP,7038,JAP,SPZO-SPJC
JAP7039,JAP,7039,JAP,SPJC-SPZO
JAP7040,JAP,7040,JAP,SPZO-SPJC
JAP7041,JAP,7041,JAP,SPJC-SPZO
JAP7042,JAP,7042,JAP,SPZO-SPJC
JAP7043,JAP,7043,JAP,SPJC-SPZO
JAP7044,JAP,7044,JAP,SPZO-SPJC
JAP7045,JAP,7045,JAP,SPJC-SPZO
JAP7046,JAP,7046,JAP,SPZO-SPJC
JAP7047,JAP,7047,JAP,SPJC-SPZO
JAP7048,JAP,7048,JAP,SPZO-SPJC
JAP7049,JAP,7049,JAP,SPJC-SPZO
JAP7050,JAP,7050,JAP,SPZO-SPJC
JAP7052,JAP,7052,JAP,SPZO-SPJC
JAP7053,JAP,7053,JAP,SPJC-SPZO
JAP7054,JAP,7054,JAP,SPZO-SPJC
JAP7055,JAP,7055,JAP,SPJC-SPZO
JAP7060,JAP,7060,JAP,SPJC-SPHI
JAP7061,JAP,7061,JAP,SPHI-SPJC
JAP7062,JAP,7062,JAP,SPJC-SPHI
JAP7063,JAP,7063,JAP,SPHI-SPJC
JAP7064,JAP,7064,JAP,SPJC-SPHI
JAP7065,JAP,7065,JAP,SPHI-SPJC
JAP7066,JAP,7066,JAP,SPJC-SPHI
JAP7067,JAP,7067,JAP,SPHI-SPJC
JAP7088,JAP,7088,JAP,SPZO-SPJC
JAP7089,JAP,7089,JAP,SPJC-SPZO
JAP7162,JAP,7162,JAP,SPJC-SPHI
JAP7163,JAP,7163,JAP,SPHI-SPJC
JAP7164,JAP,7164,JAP,SPJC-SPHI
JAP7165,JAP,7165,JAP,SPHI-SPJC
JAP7222,JAP,7222,JAP,SPJC-SPUR
JAP7223,JAP,7223,JAP,SPUR-SPJC
JAP7224,JAP,7224,JAP,SPJC-SPUR
JAP7226,JAP,7226,JAP,SPJC-SPUR
JAP7228,JAP,7228,JAP,SPJC-SPUR
JAP7252,JAP,7252,JAP,SPJC-SPST
JAP7253,JAP,7253,JAP,SPST-SPJC
JAP7254,JAP,7254,JAP,SPJC-SPST
JAP7255,JAP,7255,JAP,SPST-SPJC
JAP7256,JAP,7256,JAP,SPJC-SPST
JAP7257,JAP,7257,JAP,SPST-SPJC
JAP7258,JAP,7258,JAP,SPJC-SPST-SPQT
JAP7259,JAP,7259,JAP,SPQT-SPST-SPJC
JAP7260,JAP,7260,JAP,SPJC-SPST
JAP7261,JAP,7261,JAP,SPST-SPJC
JAP7282,JAP,7282,JAP,SPJC-SPRU
JAP7284,JAP,7284,JAP,SPJC-SPRU
JAP7285,JAP,7285,JAP,SPRU-SPJC
JAP7288,JAP,7288,JAP,SPJC-SPRU
JAP7289,JAP,7289,JAP,SPRU-SPJC
JAP7290,JAP,7290,JAP,SPJC-SPRU
JAP7291,JAP,7291,JAP,SPRU-SPJC
JAP7292,JAP,7292,JAP,SPJC-SPRU
JAP7293,JAP,7293,JAP,SPRU-SPJC
JAP7294,JAP,7294,JAP,SPJC-SPRU
JAP7295,JAP,7295,JAP,SPRU-SPJC
JAP7296,JAP,7296,JAP,SPJC-SPRU
JAP7297,JAP,7297,JAP,SPRU-SPJC
JAP7318,JAP,7318,JAP,SPJC-SPJR
JAP7319,JAP,7319,JAP,SPJR-SPJC
JAP7320,JAP,7320,JAP,SPJC-SPJR
JAP7321,JAP,7321,JAP,SPJR-SPJC
JAP7500,JAP,7500,JAP,SPJC-SCEL
JAP7501,JAP,7501,JAP,SCEL-SPJC
JAP7722,JAP,7722,JAP,SPJC-SEQM
JAP7723,JAP,7723,JAP,SEQM-SPJC
JAP7730,JAP,7730,JAP,SCEL-SPJC
JAP7731,JAP,7731,JAP,SPJC-SCEL
JAP7732,JAP,7732,JAP,SCEL-SPJC
JAP7733,JAP,7733,JAP,SPJC-SCEL
JAP7734,JAP,7734,JAP,SCEL-SPJC
JAP7735,JAP,7735,JAP,SPJC-SCEL
JAP7736,JAP,7736,JAP,SCEL-SPJC
JAP7737,JAP,7737,JAP,SPJC-SCEL
JAP7739,JAP,7739,JAP,SCEL-SPJC
JAP7750,JAP,7750,JAP,SPJC-SKRG
JAP7751,JAP,7751,JAP,SKRG-SPJC
JAP7752,JAP,7752,JAP,SPJC-SKRG
JAP7753,JAP,7753,JAP,SCEL-SPJC
JAP7754,JAP,7754,JAP,SPJC-SKRG
JAP7755,JAP,7755,JAP,SKRG-SPJC
JAP7780,JAP,7780,JAP,SPJC-SKCG
JAP7781,JAP,7781,JAP,SKCG-SPJC
JAP7782,JAP,7782,JAP,SPJC-SKCG
JAP7800,JAP,7800,JAP,SPJC-SABE
JAP7801,JAP,7801,JAP,SABE-SPJC
