Callsign,Code,Number,AirlineCode,AirportCodes
JAT1,JAT,1,JAT,SCCF-SCEL
JAT10,JAT,10,JAT,SCEL-SCCF
JAT100,JAT,100,JAT,SCIE-SCEL
JAT1001,JAT,1001,JAT,SCEL-SABE
JAT1002,JAT,1002,JAT,SABE-SCEL
JAT1003,JAT,1003,JAT,SCEL-SABE
JAT1004,JAT,1004,JAT,SABE-SCEL
JAT1005,JAT,1005,JAT,SCEL-SABE
JAT1006,JAT,1006,JAT,SABE-SCEL
JAT1007,JAT,1007,JAT,SCEL-SABE
JAT101,JAT,101,JAT,SCEL-SCIE
JAT102,JAT,102,JAT,SCIE-SCEL
JAT103,JAT,103,JAT,SCEL-SCIE
JAT104,JAT,104,JAT,SCIE-SCEL
JAT106,JAT,106,JAT,SCIE-SCEL
JAT107,JAT,107,JAT,SCEL-SCIE
JAT108,JAT,108,JAT,SCIE-SCEL
JAT109,JAT,109,JAT,SCDA-SCEL
JAT11,JAT,11,JAT,SCCF-SCEL
JAT110,JAT,110,JAT,SCEL-SCDA-SCAR
JAT1100,JAT,1100,JAT,SCEL-SAZS
JAT1101,JAT,1101,JAT,SAZS-SCEL
JAT111,JAT,111,JAT,SCAR-SCDA-SCEL
JAT112,JAT,112,JAT,SCEL-SCDA
JAT113,JAT,113,JAT,SCDA-SCEL
JAT115,JAT,115,JAT,SCDA-SCEL
JAT1152,JAT,1152,JAT,SCIE-SCFA
JAT116,JAT,116,JAT,SCEL-SCDA
JAT1162,JAT,1162,JAT,SCIE-SCEL-SCCF
JAT1163,JAT,1163,JAT,SCCF-SCEL-SCIE
JAT117,JAT,117,JAT,SCAR-SCDA-SCEL
JAT118,JAT,118,JAT,SCEL-SCSE-SCDA
JAT119,JAT,119,JAT,SCDA-SCSE-SCEL
JAT12,JAT,12,JAT,SCEL-SCCF
JAT120,JAT,120,JAT,SCEL-SCSE-SCDA
JAT1200,JAT,1200,JAT,SCIE-SCEL
JAT1201,JAT,1201,JAT,SCCF-SCEL
JAT1202,JAT,1202,JAT,SCEL-SCFA
JAT1203,JAT,1203,JAT,SCFA-SCIE
JAT121,JAT,121,JAT,SCDA-SCSE-SCEL
JAT122,JAT,122,JAT,SCFA-SCAR
JAT1221,JAT,1221,JAT,SCFA-SCIE
JAT123,JAT,123,JAT,SCEL-SCIE
JAT1230,JAT,1230,JAT,SCEL-SBFL
JAT125,JAT,125,JAT,SCAR-SCEL
JAT126,JAT,126,JAT,SCEL-SCSE-SCDA
JAT127,JAT,127,JAT,SCAR-SCEL
JAT13,JAT,13,JAT,SCCF-SCEL
JAT130,JAT,130,JAT,SCSE-SCCF
JAT1301,JAT,1301,JAT,SCFA-SCEL
JAT1302,JAT,1302,JAT,SCIE-SCEL
JAT1303,JAT,1303,JAT,SCFA-SCIE
JAT131,JAT,131,JAT,SCCF-SCSE
JAT133,JAT,133,JAT,SCCF-SCSE
JAT1332,JAT,1332,JAT,SCEL-SCCF
JAT135,JAT,135,JAT,SCCF-SCSE
JAT136,JAT,136,JAT,SCSE-SCCF
JAT137,JAT,137,JAT,SCCF-SCSE
JAT138,JAT,138,JAT,SCSE-SCCF
JAT1389,JAT,1389,JAT,SCFA-SCIE
JAT139,JAT,139,JAT,SCCF-SCSE
JAT14,JAT,14,JAT,SCEL-SCDA
JAT140,JAT,140,JAT,SCVD-SCEL
JAT1401,JAT,1401,JAT,SCCF-SCEL
JAT141,JAT,141,JAT,SCEL-SCVD
JAT1417,JAT,1417,JAT,SCFA-SCIE
JAT142,JAT,142,JAT,SCVD-SCEL
JAT146,JAT,146,JAT,SCVD-SCEL
JAT147,JAT,147,JAT,SCEL-SCVD
