Callsign,Code,Number,AirlineCode,AirportCodes
JES1004,JES,1004,JES,SAEZ-SCEL
JES1005,JES,1005,JES,SCEL-SAEZ
JES1006,JES,1006,JES,SABE-SCEL
JES1341,JES,1341,JES,SABE-SAWH
JES1342,JES,1342,JES,SAWH-SAEZ
JES1344,JES,1344,JES,SAWH-SAEZ
JES1802,JES,1802,JES,SAWH-SAEZ
JES3008,JES,3008,JES,SADP-SCEL
JES3010,JES,3010,JES,SABE-SCEL
JES3011,JES,3011,JES,SASA-SABE
JES3012,JES,3012,JES,SABE-SASA
JES3013,JES,3013,JES,SASA-SABE
JES3014,JES,3014,JES,SABE-SCEL
JES3015,JES,3015,JES,SASA-SABE
JES3016,JES,3016,JES,SABE-SASA
JES3017,JES,3017,JES,SASA-SABE
JES3018,JES,3018,JES,SABE-SASA
JES3019,JES,3019,JES,SASA-SABE
JES3020,JES,3020,JES,SABE-SASA
JES3021,JES,3021,JES,SASA-SABE
JES3031,JES,3031,JES,SABE-SAVC
JES3032,JES,3032,JES,SAVC-SABE
JES3041,JES,3041,JES,SABE-SAZS
JES3042,JES,3042,JES,SAZS-SABE
JES3043,JES,3043,JES,SAEZ-SAZS
JES3044,JES,3044,JES,SAZS-SABE
JES3045,JES,3045,JES,SABE-SAZS
JES3046,JES,3046,JES,SAZS-SABE
JES3047,JES,3047,JES,SABE-SAZS
JES3048,JES,3048,JES,SAZS-SABE
JES3049,JES,3049,JES,SABE-SAZS
JES3050,JES,3050,JES,SAZS-SAEZ
JES3051,JES,3051,JES,SAEZ-SAZS
JES3052,JES,3052,JES,SAZS-SABE
JES3053,JES,3053,JES,SABE-SAZS
JES3054,JES,3054,JES,SAZS-SAEZ
JES3055,JES,3055,JES,SABE-SAZS
JES3056,JES,3056,JES,SAZS-SAEZ
JES3058,JES,3058,JES,SAZS-SAEZ
JES3062,JES,3062,JES,SABE-SARE
JES3063,JES,3063,JES,SARE-SABE
JES3070,JES,3070,JES,SABE-SAME
JES3071,JES,3071,JES,SAME-SABE
JES3072,JES,3072,JES,SABE-SAME
JES3073,JES,3073,JES,SAME-SABE
JES3074,JES,3074,JES,SABE-SAME
JES3075,JES,3075,JES,SAME-SABE
JES3076,JES,3076,JES,SABE-SAME
JES3077,JES,3077,JES,SAME-SABE
JES3078,JES,3078,JES,SABE-SAME
JES3079,JES,3079,JES,SAME-SABE
JES3080,JES,3080,JES,SABE-SAME
JES3081,JES,3081,JES,SAME-SABE
JES3082,JES,3082,JES,SABE-SAME
JES3083,JES,3083,JES,SAME-SABE
JES3090,JES,3090,JES,SABE-SGAS
JES3091,JES,3091,JES,SGAS-SAEZ
JES3100,JES,3100,JES,SABE-SACO
JES3101,JES,3101,JES,SACO-SABE
JES3102,JES,3102,JES,SABE-SACO
JES3103,JES,3103,JES,SACO-SABE
JES3104,JES,3104,JES,SABE-SACO
JES3105,JES,3105,JES,SACO-SABE
JES3106,JES,3106,JES,SABE-SACO
JES3107,JES,3107,JES,SACO-SABE
