Callsign,Code,Number,AirlineCode,AirportCodes
JEX2200,JEX,2200,JEX,RJSS-RJOO
JEX2201,JEX,2201,JEX,RJOO-RJSS
JEX2202,JEX,2202,JEX,RJSS-RJOO
JEX2203,JEX,2203,JEX,RJOO-RJSS
JEX2206,JEX,2206,JEX,RJSS-RJOO
JEX2207,JEX,2207,JEX,RJOO-RJSS
JEX2208,JEX,2208,JEX,RJSS-RJOO
JEX2209,JEX,2209,JEX,RJOO-RJSS
JEX2210,JEX,2210,JEX,RJSS-RJOO
JEX2211,JEX,2211,JEX,RJOO-RJSS
JEX2215,JEX,2215,JEX,RJOO-RJSS
JEX2216,JEX,2216,JEX,RJSS-RJOO
JEX2386,JEX,2386,JEX,RJFT-RJOO
JEX2387,JEX,2387,JEX,RJOO-RJFT
JEX2401,JEX,2401,JEX,RJOO-RJFK
JEX2402,JEX,2402,JEX,RJFK-RJOO
JEX2403,JEX,2403,JEX,RJOO-RJFK
JEX2404,JEX,2404,JEX,RJFK-RJOO
JEX2407,JEX,2407,JEX,RJOO-RJFK
JEX2411,JEX,2411,JEX,RJOO-RJFK
JEX2412,JEX,2412,JEX,RJFK-RJOO
JEX2414,JEX,2414,JEX,RJFK-RJOO
JEX2430,JEX,2430,JEX,RJFM-RJOO
JEX2431,JEX,2431,JEX,RJOO-RJFM
JEX2432,JEX,2432,JEX,RJFM-RJOO
JEX2433,JEX,2433,JEX,RJOO-RJFM
JEX2434,JEX,2434,JEX,RJFM-RJOO
JEX3170,JEX,3170,JEX,RJSS-RJGG
JEX3171,JEX,3171,JEX,RJGG-RJSS
JEX3175,JEX,3175,JEX,RJGG-RJSS
JEX3176,JEX,3176,JEX,RJSS-RJGG
JEX3273,JEX,3273,JEX,RJGG-RJFT
JEX3274,JEX,3274,JEX,RJFT-RJGG
JEX3277,JEX,3277,JEX,RJGG-RJFT
JEX3296,JEX,3296,JEX,RJFK-RJGG
JEX3297,JEX,3297,JEX,RJGG-RJFK
JEX3554,JEX,3554,JEX,RJOC-RJFF
JEX3555,JEX,3555,JEX,RJFF-RJOC
