Callsign,Code,Number,AirlineCode,AirportCodes
JJP100,JJP,100,JJP,RJCC-RJAA
JJP101,JJP,101,JJP,RJAA-RJCC
JJP102,JJP,102,JJP,RJCC-RJAA
JJP103,JJP,103,JJP,RJAA-RJCC
JJP104,JJP,104,JJP,RJCC-RJAA
JJP105,JJP,105,JJP,RJAA-RJCC
JJP106,JJP,106,JJP,RJCC-RJAA
JJP107,JJP,107,JJP,RJAA-RJCC
JJP108,JJP,108,JJP,RJCC-RJAA
JJP109,JJP,109,JJP,RJAA-RJCC
JJP11,JJP,11,JJP,RJAA-RCTP
JJP110,JJP,110,JJP,RJCC-RJAA
JJP111,JJP,111,JJP,RJAA-RJCC
JJP112,JJP,112,JJP,RJCC-RJAA
JJP113,JJP,113,JJP,RJAA-RJCC
JJP114,JJP,114,JJP,RJCC-RJAA
JJP115,JJP,115,JJP,RJAA-RJCC
JJP116,JJP,116,JJP,RJCC-RJAA
JJP117,JJP,117,JJP,RJAA-RJCC
JJP118,JJP,118,JJP,RJCC-RJAA
JJP119,JJP,119,JJP,RJAA-RJCC
JJP12,JJP,12,JJP,RCTP-RJAA
JJP120,JJP,120,JJP,RJCC-RJAA
JJP121,JJP,121,JJP,RJAA-RJCC
JJP124,JJP,124,JJP,RJCC-RJAA
JJP125,JJP,125,JJP,RJAA-RJCC
JJP126,JJP,126,JJP,RJCC-RJAA
JJP127,JJP,127,JJP,RJAA-RJCC
JJP128,JJP,128,JJP,RJCC-RJAA
JJP13,JJP,13,JJP,RJAA-RCTP
JJP131,JJP,131,JJP,RJAA-RJCC
JJP132,JJP,132,JJP,RJCC-RJAA
JJP14,JJP,14,JJP,RCTP-RJAA
JJP150,JJP,150,JJP,RJCC-RJBB
JJP151,JJP,151,JJP,RJBB-RJCC
JJP152,JJP,152,JJP,RJCC-RJBB
JJP153,JJP,153,JJP,RJBB-RJCC
JJP154,JJP,154,JJP,RJCC-RJBB
JJP155,JJP,155,JJP,RJBB-RJCC
