Callsign,Code,Number,AirlineCode,AirportCodes
JNA1,JNA,1,JNA,RKSI-VTBS
JNA10,JNA,10,JNA,RPVM-RKSI
JNA100,JNA,100,JNA,VVDN-RKPK
JNA101,JNA,101,JNA,RKPC-ZSPD
JNA102,JNA,102,JNA,ZSPD-RKPC
JNA103,JNA,103,JNA,RKSI-WBKK
JNA104,JNA,104,JNA,WBKK-RKSI
JNA11,JNA,11,JNA,RKPK-VTBS
JNA113,JNA,113,JNA,RKSI-VHHH
JNA114,JNA,114,JNA,VHHH-RKSI
JNA12,JNA,12,JNA,VTBS-RKPK
JNA121,JNA,121,JNA,RKSI-VMMC
JNA122,JNA,122,JNA,VMMC-RKSI
JNA123,JNA,123,JNA,RKSI-VMMC
JNA124,JNA,124,JNA,VMMC-RKSI
JNA125,JNA,125,JNA,RKSI-VMMC
JNA126,JNA,126,JNA,VMMC-RKSI
JNA15,JNA,15,JNA,RKSI-VTSP
JNA16,JNA,16,JNA,VTSP-RKSI
JNA17,JNA,17,JNA,RKSI-VTCC
JNA172,JNA,172,JNA,ZLXY-RKPC-RKSI
JNA2,JNA,2,JNA,VTBS-RKSI
JNA201,JNA,201,JNA,RKSI-RJAA
JNA202,JNA,202,JNA,RJAA-RKSI
JNA203,JNA,203,JNA,RKSI-RJAA
JNA204,JNA,204,JNA,RJAA-RKSI
JNA205,JNA,205,JNA,RKSI-RJAA
JNA206,JNA,206,JNA,RJAA-RKSI
JNA207,JNA,207,JNA,RKSI-RJAA
JNA208,JNA,208,JNA,RJAA-RKSI
JNA209,JNA,209,JNA,RKSI-RJAA
JNA21,JNA,21,JNA,RKSI-RPVM
JNA210,JNA,210,JNA,RJAA-RKSI
JNA211,JNA,211,JNA,RKSI-RJAA
JNA212,JNA,212,JNA,RJAA-RKSI
JNA213,JNA,213,JNA,RKSI-RJBB
JNA214,JNA,214,JNA,RJBB-RKSI
JNA217,JNA,217,JNA,RKPK-RJBB
JNA218,JNA,218,JNA,RJBB-RKPK
JNA219,JNA,219,JNA,RKPK-RJBB
JNA22,JNA,22,JNA,RPVM-RKSI
JNA220,JNA,220,JNA,RJBB-RKPK
JNA221,JNA,221,JNA,RKSI-RJFF
JNA222,JNA,222,JNA,RJFF-RKSI
JNA223,JNA,223,JNA,RKSI-RJFF
JNA224,JNA,224,JNA,RJFF-RKSI
JNA225,JNA,225,JNA,RKSI-RJFF
JNA226,JNA,226,JNA,RJFF-RKSI
JNA227,JNA,227,JNA,RKSI-RJFF
JNA228,JNA,228,JNA,RJAA-RKPK
JNA229,JNA,229,JNA,RKSI-RJFF
JNA23,JNA,23,JNA,RKSI-RPLC
JNA230,JNA,230,JNA,RJFF-RKSI
JNA231,JNA,231,JNA,RKSI-RJCC
JNA232,JNA,232,JNA,RJCC-RKSI
JNA233,JNA,233,JNA,RKSI-RJCC
JNA234,JNA,234,JNA,RJBB-RKSI
JNA236,JNA,236,JNA,RJBB-RKSI
JNA237,JNA,237,JNA,RKPK-RJCC
JNA238,JNA,238,JNA,RJCC-RKPK
JNA239,JNA,239,JNA,RKSI-RJBB
JNA24,JNA,24,JNA,RPLC-RKSI
JNA240,JNA,240,JNA,RJBB-RKSI
JNA241,JNA,241,JNA,RKSI-RJBB
JNA242,JNA,242,JNA,RJBB-RKSI
JNA245,JNA,245,JNA,RKSI-ROAH
JNA246,JNA,246,JNA,ROAH-RKSI
JNA247,JNA,247,JNA,RKSI-ROAH
JNA248,JNA,248,JNA,ROAH-RKSI
JNA25,JNA,25,JNA,RKSI-RPVM
JNA254,JNA,254,JNA,RJBB-RKPK
JNA255,JNA,255,JNA,RKPK-RJBB
JNA256,JNA,256,JNA,RJBB-RKPK
JNA26,JNA,26,JNA,RPVM-RKSI
JNA261,JNA,261,JNA,RKSI-RJFR
JNA262,JNA,262,JNA,RJFF-RKSI
JNA263,JNA,263,JNA,RKSI-RJFF
JNA264,JNA,264,JNA,RJFF-RKSI
JNA265,JNA,265,JNA,RKSI-RJFF
JNA266,JNA,266,JNA,RJFF-RKSI
JNA267,JNA,267,JNA,RKSI-RJGG
JNA268,JNA,268,JNA,RJGG-RKSI
JNA269,JNA,269,JNA,RKSI-RJFF
JNA27,JNA,27,JNA,RKSI-RPVM
JNA270,JNA,270,JNA,RJFF-RKSI
JNA271,JNA,271,JNA,RKPK-RJFF
JNA272,JNA,272,JNA,RJFF-RKPK
JNA273,JNA,273,JNA,RKPK-RJFF
JNA274,JNA,274,JNA,RJFF-RKPK
JNA28,JNA,28,JNA,RPVM-RKSI
JNA281,JNA,281,JNA,RKSI-RJBB
JNA282,JNA,282,JNA,RJBB-RKSI
JNA283,JNA,283,JNA,RKSI-RJBB
JNA284,JNA,284,JNA,RJBB-RKSI
JNA285,JNA,285,JNA,RKSI-RJBB
JNA286,JNA,286,JNA,RJBB-RKSI
JNA29,JNA,29,JNA,RKSI-RPVM
JNA292,JNA,292,JNA,RJFF-RKSI
JNA3,JNA,3,JNA,RKSI-VTBS
JNA30,JNA,30,JNA,RPLC-RKSI
JNA301,JNA,301,JNA,RKSI-RJCC
JNA302,JNA,302,JNA,RJCC-RKSI
JNA303,JNA,303,JNA,RKSI-RJCC
JNA304,JNA,304,JNA,RJCC-RKSI
JNA305,JNA,305,JNA,RKSS-RKPC
JNA306,JNA,306,JNA,RKPC-RKSS
JNA307,JNA,307,JNA,RKSS-RKPC
