Callsign,Code,Number,AirlineCode,AirportCodes
JOC221,JOC,221,JOC,LRBC-EDDM-EBBR-LRBC
JOC257,JOC,257,JOC,LROP-LRBV-EGKK
JOC314,JOC,314,JOC,LROP-LEMD
JOC315,JOC,315,JOC,LEMD-LRBV
JOC316,JOC,316,JOC,LRBV-LEBL
JOC317,JOC,317,JOC,LEBL-LROP
JOC321,JOC,321,JOC,LRBV-EDDM-EBBR-LRBV
JOC324,JOC,324,JOC,LRBV-EGKK
JOC325,JOC,325,JOC,EGKK-LRBV
JOC326,JOC,326,JOC,LRBV-LIRF
JOC401,JOC,401,JOC,LRBC-EGGW
JOC402,JOC,402,JOC,EGGW-LRBC
JOC403,JOC,403,JOC,LRBC-EBBR
JOC404,JOC,404,JOC,EBBR-LRBC
JOC405,JOC,405,JOC,LRBC-LIMF
JOC406,JOC,406,JOC,LIMF-LRBC
JOC407,JOC,407,JOC,LRBC-EIDW
JOC408,JOC,408,JOC,EIDW-LRBC
JOC409,JOC,409,JOC,LRBC-LIRF
JOC410,JOC,410,JOC,LIRF-LRBC
JOC411,JOC,411,JOC,LRBC-LEBL
JOC412,JOC,412,JOC,LEBL-LRBC
JOC417,JOC,417,JOC,LRBC-LEMD
JOC418,JOC,418,JOC,LEMD-LRBC
JOC419,JOC,419,JOC,LRBC-LIPE
JOC613,JOC,613,JOC,LLBG-LRBS
