Callsign,Code,Number,AirlineCode,AirportCodes
JTA1,JTA,1,JTA,RJBB-ROAH
JTA1008,JTA,1008,JTA,ROAH-RJBB
JTA1013,JTA,1013,JTA,RJOB-ROAH
JTA1014,JTA,1014,JTA,ROAH-RJOB
JTA1015,JTA,1015,JTA,RJOB-ROAH
JTA1031,JTA,1031,JTA,RJNK-ROAH
JTA1032,JTA,1032,JTA,ROAH-RJNK
JTA1033,JTA,1033,JTA,RJNK-ROAH
JTA1036,JTA,1036,JTA,ROAH-RJNK
JTA1037,JTA,1037,JTA,RJNK-ROAH
JTA1039,JTA,1039,JTA,RJNK-ROAH
JTA1044,JTA,1044,JTA,ROAH-RJGG
JTA1058,JTA,1058,JTA,ROAH-RJTT
JTA1082,JTA,1082,JTA,ROIG-RJBB
JTA11,JTA,11,JTA,RJOB-ROAH
JTA121,JTA,121,JTA,RJBB-ROMY
JTA1219,JTA,1219,JTA,ROAH-ROKJ
JTA1220,JTA,1220,JTA,ROKJ-ROAH
JTA128,JTA,128,JTA,ROMY-RJBB
JTA13,JTA,13,JTA,RJOB-ROAH
JTA131,JTA,131,JTA,RJGG-ROMY
JTA132,JTA,132,JTA,ROMY-RJGG
JTA135,JTA,135,JTA,RJGG-ROMY
JTA138,JTA,138,JTA,ROMY-RJGG
JTA145,JTA,145,JTA,RJBE-ROIG
JTA146,JTA,146,JTA,ROIG-ROAH-RJBE
JTA1561,JTA,1561,JTA,ROAH-ROMY
JTA1562,JTA,1562,JTA,ROMY-ROAH
JTA16,JTA,16,JTA,ROAH-RJOB
JTA1611,JTA,1611,JTA,ROAH-ROIG
JTA1616,JTA,1616,JTA,ROIG-ROAH
JTA171,JTA,171,JTA,RJGG-ROIG
JTA172,JTA,172,JTA,ROIG-RJGG
JTA173,JTA,173,JTA,RJGG-ROIG
JTA175,JTA,175,JTA,RJGG-ROIG
JTA176,JTA,176,JTA,ROIG-ROAH-RJGG
JTA178,JTA,178,JTA,ROIG-RJGG
JTA188,JTA,188,JTA,RJNK-RJTT
JTA191,JTA,191,JTA,RJTT-RJNK
JTA2,JTA,2,JTA,ROAH-RJBB
JTA2006,JTA,2006,JTA,ROAH-RJBB
JTA2007,JTA,2007,JTA,RJBB-ROAH
JTA2040,JTA,2040,JTA,ROAH-RJGG
JTA2044,JTA,2044,JTA,ROAH-RJGG
JTA2045,JTA,2045,JTA,RJGG-ROAH
JTA2052,JTA,2052,JTA,ROAH-RJFF
JTA2055,JTA,2055,JTA,RJFF-ROAH
JTA2062,JTA,2062,JTA,ROAH-RJFF
JTA2063,JTA,2063,JTA,RJFF-ROAH
JTA2068,JTA,2068,JTA,ROAH-RJFF
JTA21,JTA,21,JTA,RJTT-ROMY
JTA211,JTA,211,JTA,ROAH-ROKJ
JTA212,JTA,212,JTA,ROKJ-ROAH
JTA219,JTA,219,JTA,ROAH-ROKJ
JTA22,JTA,22,JTA,ROMY-RJTT
JTA220,JTA,220,JTA,ROKJ-ROAH
JTA23,JTA,23,JTA,RJTT-ROMY
JTA236,JTA,236,JTA,RJOB-RJTT
JTA251,JTA,251,JTA,RJGG-ROAH
JTA252,JTA,252,JTA,ROAH-RJGG
JTA253,JTA,253,JTA,RJGG-ROAH
JTA254,JTA,254,JTA,ROAH-RJGG
JTA255,JTA,255,JTA,RJGG-ROAH
JTA256,JTA,256,JTA,ROAH-RJGG
JTA257,JTA,257,JTA,RJGG-ROAH
JTA258,JTA,258,JTA,ROAH-RJGG
JTA270,JTA,270,JTA,ROAH-RJBB
JTA271,JTA,271,JTA,RJBB-ROAH
JTA273,JTA,273,JTA,RJBB-ROAH
JTA274,JTA,274,JTA,ROAH-RJBB
JTA275,JTA,275,JTA,RJBB-ROAH
JTA276,JTA,276,JTA,ROAH-RJBB
JTA278,JTA,278,JTA,ROAH-RJBB
JTA279,JTA,279,JTA,RJBB-ROAH
JTA3,JTA,3,JTA,RJOM-ROAH
JTA30,JTA,30,JTA,ROAH-RJNK
JTA307,JTA,307,JTA,RJBE-ROAH
JTA31,JTA,31,JTA,RJNK-ROAH
JTA312,JTA,312,JTA,ROAH-RJBE
JTA319,JTA,319,JTA,RJBE-ROAH
JTA320,JTA,320,JTA,ROAH-RJBE
JTA33,JTA,33,JTA,RJNK-ROAH
JTA36,JTA,36,JTA,ROAH-RJNK
JTA37,JTA,37,JTA,RJNK-ROAH
JTA38,JTA,38,JTA,ROAH-RJNK
JTA39,JTA,39,JTA,RJNK-ROAH
JTA4,JTA,4,JTA,ROAH-RJBB
JTA42,JTA,42,JTA,ROAH-RJGG
JTA43,JTA,43,JTA,RJGG-ROAH
JTA44,JTA,44,JTA,ROAH-RJGG
JTA45,JTA,45,JTA,RJGG-ROAH
JTA46,JTA,46,JTA,ROAH-RJGG
JTA47,JTA,47,JTA,RJGG-ROAH
JTA48,JTA,48,JTA,ROAH-RJGG
JTA49,JTA,49,JTA,RJGG-ROAH
JTA5,JTA,5,JTA,RJBB-ROAH
JTA50,JTA,50,JTA,ROAH-RJFF
JTA51,JTA,51,JTA,RJFF-ROAH
JTA52,JTA,52,JTA,ROAH-RJFF
JTA53,JTA,53,JTA,RJFF-ROAH
JTA54,JTA,54,JTA,ROAH-RJFF
