Callsign,Code,Number,AirlineCode,AirportCodes
JTE101,JTE,101,JTE,YTRA-YPPH
JTE102,JTE,102,JTE,YPPH-YTRA
JTE103,JTE,103,JTE,YTRA-YPPH
JTE104,JTE,104,JTE,YPPH-YTRA
JTE105,JTE,105,JTE,YTRA-YPPH
JTE106,JTE,106,JTE,YPPH-YTRA
JTE107,JTE,107,JTE,YTRA-YPPH
JTE1079,JTE,1079,JTE,YBCS-YBBN
JTE120D,JTE,120D,JTE,YPPH-YTST
JTE1217,JTE,1217,JTE,YPAD-YPPH
JTE121D,JTE,121D,JTE,YTST-YPPH
JTE122,JTE,122,JTE,YPPH-YWWI
JTE123,JTE,123,JTE,YWWI-YPPH
JTE150,JTE,150,JTE,YPPH-YSRD
JTE151,JTE,151,JTE,YSRD-YPPH
JTE152,JTE,152,JTE,YPPH-YSRD
JTE153,JTE,153,JTE,YSRD-YPPH
JTE162,JTE,162,JTE,YPPH-YSRD
JTE163,JTE,163,JTE,YSRD-YPPH
JTE170,JTE,170,JTE,YPPH-YCUE
JTE172,JTE,172,JTE,YPPH-YCUE
JTE174,JTE,174,JTE,YPPH-YCUE
JTE174D,JTE,174D,JTE,YPPH-YCUE
JTE175,JTE,175,JTE,YCUE-YPPH
JTE1990,JTE,1990,JTE,YPPH-YBWX
JTE1991,JTE,1991,JTE,YBWX-YPPH
JTE1994,JTE,1994,JTE,YPPH-YBWX
JTE1995,JTE,1995,JTE,YBWX-YPPH
JTE1996,JTE,1996,JTE,YPPH-YBWX
JTE1997,JTE,1997,JTE,YBWX-YPPH
JTE1998,JTE,1998,JTE,YPPH-YBWX
JTE1999,JTE,1999,JTE,YBWX-YPPH
JTE2010,JTE,2010,JTE,YPPH-YBWX
JTE2011,JTE,2011,JTE,YBWX-YPPH
JTE210,JTE,210,JTE,YPAD-YPAG-YPMH
JTE211,JTE,211,JTE,YPMH-YPAG-YPAD
JTE214,JTE,214,JTE,YPAD-YPMH
JTE215,JTE,215,JTE,YPMH-YPAD
JTE216,JTE,216,JTE,YPAD-YPMH
JTE217,JTE,217,JTE,YPMH-YPAD
JTE218,JTE,218,JTE,YPAD-YPAG-YPMH
JTE219,JTE,219,JTE,YPMH-YPAG-YPAD
JTE222,JTE,222,JTE,YPAD-YPAG-YPMH
JTE222D,JTE,222D,JTE,YPAD-YPMH
JTE223,JTE,223,JTE,YPMH-YPAG-YPAD
JTE223D,JTE,223D,JTE,YPMH-YPAG-YPAD
JTE227,JTE,227,JTE,YPMH-YPAD
JTE232,JTE,232,JTE,YPAD-YPAG-YPMH
JTE232D,JTE,232D,JTE,YPAD-YPAG-YPMH
JTE233,JTE,233,JTE,YPMH-YPAD
JTE233D,JTE,233D,JTE,YPMH-YPAD
