Callsign,Code,Number,AirlineCode,AirportCodes
JTG11J,JTG,11J,JTG,EFTP-GCTS
JTG201,JTG,201,JTG,EKCH-LTFG
JTG201A,JTG,201A,JTG,EKCH-LTFG
JTG202,JTG,202,JTG,HEMA-EKCH
JTG203,JTG,203,JTG,EKCH-LEMH
JTG204,JTG,204,JTG,LEMH-EKCH
JTG205,JTG,205,JTG,EKCH-GCLP
JTG206,JTG,206,JTG,GCLP-EKCH
JTG207,JTG,207,JTG,EKCH-GCLP
JTG208,JTG,208,JTG,EFHK-LEPA
JTG209,JTG,209,JTG,EKCH-GCLP
JTG210,JTG,210,JTG,GCLP-EKCH
JTG211,JTG,211,JTG,EKCH-GCTS
JTG212,JTG,212,JTG,GCTS-EKCH
JTG215,JTG,215,JTG,EKCH-GCRR
JTG217,JTG,217,JTG,EKCH-GCLP
JTG218,JTG,218,JTG,GCRR-EKCH
JTG221,JTG,221,JTG,EKCH-LEPA
JTG223,JTG,223,JTG,EKCH-GCLP
JTG224,JTG,224,JTG,LTBS-EKCH
JTG226,JTG,226,JTG,LEPA-EKCH
JTG239,JTG,239,JTG,EKCH-LPMA
JTG240,JTG,240,JTG,LPMA-EKCH
JTG241,JTG,241,JTG,EKCH-LTAI
JTG242,JTG,242,JTG,LTAI-EKCH
JTG248,JTG,248,JTG,LTAI-EKCH
JTG253,JTG,253,JTG,EKCH-LGRP-EKCH
JTG254,JTG,254,JTG,LGRP-EKCH
JTG258,JTG,258,JTG,GCTS-EKCH
JTG259,JTG,259,JTG,EKCH-LGRP
JTG260,JTG,260,JTG,LGRP-EKCH
JTG262,JTG,262,JTG,GCRR-EKCH
JTG266,JTG,266,JTG,GCLP-EKCH
JTG267,JTG,267,JTG,EKCH-LGSM
JTG267A,JTG,267A,JTG,EKCH-LGSM
JTG268,JTG,268,JTG,LGSM-EKCH
JTG268A,JTG,268A,JTG,LGSM-EKCH
JTG271,JTG,271,JTG,EKCH-LCLK
JTG272,JTG,272,JTG,LCLK-EKCH
JTG273,JTG,273,JTG,EKCH-HEGN
JTG27T,JTG,27T,JTG,EFHK-LPMA
