Callsign,Code,Number,AirlineCode,AirportCodes
KAP1015,KAP,1015,KAP,KBOS-KSLK-KBOS
KAP111,KAP,111,KAP,KBOS-KSLK-KBOS
KAP128,KAP,128,KAP,KHYA-KACK
KAP14,KAP,14,KAP,KLEB-KHPN-KLEB-KBOS-KLEB-KBOS-KLEB
KAP1430,KAP,1430,KAP,KDEC-KORD-KDEC
KAP15,KAP,15,KAP,KSLK-KBOS-KSLK
KAP1701,KAP,1701,KAP,KSLK-KBOS-KSLK
KAP183,KAP,183,KAP,KSLK-KBOS-KSLK
KAP21,KAP,21,KAP,KBOS-KSLK-KJFK-KSLK-KBOS
KAP22,KAP,22,KAP,KSLK-KBOS-KSLK
KAP227,KAP,227,KAP,KSLK-KBOS-KSLK
KAP24,KAP,24,KAP,KBHB-KBOS-KSLK-KBOS-KBHB
KAP2401,KAP,2401,KAP,TISX-TJSJ
KAP2421,KAP,2421,KAP,TISX-TJSJ
KAP2441,KAP,2441,KAP,TISX-TJSJ
KAP2461,KAP,2461,KAP,TISX-TJSJ
KAP25,KAP,25,KAP,KBOS-KSLK-KJFK-KSLK-KBOS
KAP273,KAP,273,KAP,KSLK-KBOS-KSLK
KAP281,KAP,281,KAP,KHYA-KBOS
KAP291,KAP,291,KAP,KBOS-KALB-KOGS-KALB-KBOS
KAP3041,KAP,3041,KAP,KMVY-KBOS
KAP305,KAP,305,KAP,KBIL-KSDY-KBIL
KAP3051,KAP,3051,KAP,KBOS-KMVY
KAP325,KAP,325,KAP,KLEB-KBOS-KLEB-KHPN-KLEB
KAP3251,KAP,3251,KAP,KBOS-KMVY
KAP333,KAP,333,KAP,KBOS-KSLK-KJFK-KSLK-KBOS
KAP341,KAP,341,KAP,KRKD-KBOS-KRKD-KBOS-KRKD
KAP349,KAP,349,KAP,KSLK-KBOS-KSLK
KAP350,KAP,350,KAP,KBIL-KSDY-KBIL
KAP4061,KAP,4061,KAP,KACK-KEWB
KAP407,KAP,407,KAP,KSLK-KBOS-KSLK
KAP409,KAP,409,KAP,KBOS-KSLK-KJFK-KSLK-KBOS
KAP417,KAP,417,KAP,KBOS-KSLK-KBOS
KAP429B,KAP,429B,KAP,TUPW-TJSJ-TJCP-TJSJ-TUPW
KAP5011,KAP,5011,KAP,KBOS-KACK
KAP5051,KAP,5051,KAP,KBOS-KACK
KAP5081,KAP,5081,KAP,KACK-KBOS
KAP5101,KAP,5101,KAP,KACK-KBOS
KAP5121,KAP,5121,KAP,KACK-KBOS
KAP5122,KAP,5122,KAP,KACK-KBOS
KAP513,KAP,513,KAP,KBOS-KACK
KAP516,KAP,516,KAP,KRKD-KBOS-KRKD
KAP5161,KAP,5161,KAP,KACK-KBOS
KAP5271,KAP,5271,KAP,KBOS-KACK
KAP531,KAP,531,KAP,KSLK-KBOS-KSLK
KAP5331,KAP,5331,KAP,KBOS-KACK
KAP5341,KAP,5341,KAP,KACK-KBOS
KAP5371,KAP,5371,KAP,KBOS-KACK
KAP5381,KAP,5381,KAP,KACK-KBOS
KAP5411,KAP,5411,KAP,KBOS-KACK
KAP6,KAP,6,KAP,KSLK-KBOS-KSLK
KAP6170,KAP,6170,KAP,KFLL-MYEF
KAP62,KAP,62,KAP,KBOS-KSLK-KBOS
KAP7,KAP,7,KAP,KBHB-KBOS-KSLK-KBOS-KBHB
KAP73,KAP,73,KAP,KRUT-KBOS
KAP780,KAP,780,KAP,KSLK-KBOS-KSLK
KAP790,KAP,790,KAP,KPWM-KBOS
KAP802,KAP,802,KAP,KHYA-KACK
KAP82,KAP,82,KAP,KBOS-KSLK-KBOS-KAUG-KBOS
KAP828,KAP,828,KAP,KSDY-KBIL-KSDY
KAP902,KAP,902,KAP,KBOS-KSLK-KJFK-KSLK-KBOS
KAP916,KAP,916,KAP,KBHB-KBOS-KSLK-KBOS-KBHB
KAP92,KAP,92,KAP,KSLK-KBOS-KSLK
KAP95,KAP,95,KAP,KSLK-KBOS-KSLK
KAP978,KAP,978,KAP,KACK-KBOS
KAP9999,KAP,9999,KAP,KBIL-KSDY-KBIL
