Callsign,Code,Number,AirlineCode,AirportCodes
KEM111,KEM,111,KEM,FABL-FAOR
KEM112,KEM,112,KEM,FAOR-FABL
KEM1121,KEM,1121,KEM,FAGG-FABL
KEM113,KEM,113,KEM,FABL-FAOR
KEM114,KEM,114,KEM,FAOR-FABL
KEM117,KEM,117,KEM,FABL-FAOR
KEM118,KEM,118,KEM,FAOR-FABL
KEM121,KEM,121,KEM,FAGG-FABL
KEM122,KEM,122,KEM,FABL-FAGG
KEM1992,KEM,1992,KEM,FABL-FALE
KEM502,KEM,502,KEM,FAOR-FAKM
KEM601,KEM,601,KEM,FAMG-FAOR
KEM602,KEM,602,KEM,FAOR-FAMG
KEM603,KEM,603,KEM,FAMG-FAOR
KEM604,KEM,604,KEM,FAOR-FAMG
KEM606,KEM,606,KEM,FAOR-FAMG
KEM701,KEM,701,KEM,FAPG-FAOR
KEM702,KEM,702,KEM,FAOR-FAPG
KEM810,KEM,810,KEM,FAOR-FACT
KEM811,KEM,811,KEM,FACT-FAOR
KEM812,KEM,812,KEM,FAOR-FACT
KEM830,KEM,830,KEM,FAOR-FACT
KEM831,KEM,831,KEM,FACT-FAOR
KEM901,KEM,901,KEM,FACT-FAPG
KEM902,KEM,902,KEM,FAPG-FACT
