Callsign,Code,Number,AirlineCode,AirportCodes
KIS6001,KIS,6001,KIS,OMDB-OIBK
KIS6023,KIS,6023,KIS,OMDB-OIKB
KIS6050,KIS,6050,KIS,ORNI-OIIE
KIS6069,KIS,6069,KIS,OMDB-OIBK
KIS6078,KIS,6078,KIS,UAAA-OIII
KIS6079,KIS,6079,KIS,OIII-UAAA
KIS6082,KIS,6082,KIS,LTFG-OIIE
KIS7014,KIS,7014,KIS,OIBK-OIII
KIS7015,KIS,7015,KIS,OIII-OIBK
KIS7052,KIS,7052,KIS,OIBK-OIII
KIS7053,KIS,7053,KIS,OIII-OIBK
KIS7054,KIS,7054,KIS,OIBK-OIII
KIS7062,KIS,7062,KIS,OIBK-OIKB
KIS7063,KIS,7063,KIS,OIKB-OIBK
KIS7072,KIS,7072,KIS,OIBK-OIMM
KIS7073,KIS,7073,KIS,OIMM-OIBK
KIS7089,KIS,7089,KIS,OIII-OIKB
KIS7125,KIS,7125,KIS,OIII-OIBK
KIS7129,KIS,7129,KIS,OIII-OIBK
KIS7130,KIS,7130,KIS,OIBK-OIAW
KIS7131,KIS,7131,KIS,OIAW-OIBK
KIS7134,KIS,7134,KIS,OIBK-OIMM
KIS7160,KIS,7160,KIS,OIBK-OISS
KIS7161,KIS,7161,KIS,OISS-OIBK
KIS7192,KIS,7192,KIS,OIBP-OIII
KIS7193,KIS,7193,KIS,OIII-OIBP
