Callsign,Code,Number,AirlineCode,AirportCodes
KKK101,KKK,101,KKK,LTAI-EDDE
KKK1017,KKK,1017,KKK,LCEN-LTBA
KKK102,KKK,102,KKK,EDDE-LTAI
KKK1044,KKK,1044,KKK,LTBA-LCEN
KKK1061,KKK,1061,KKK,LCEN-LTAI
KKK113,KKK,113,KKK,LTAI-EDDL
KKK114,KKK,114,KKK,EDDL-LTAI-LTBA
KKK115,KKK,115,KKK,LTAI-EDDL
KKK116,KKK,116,KKK,EDDL-LTAI
KKK1172,KKK,1172,KKK,LUKK-LTAI
KKK1184,KKK,1184,KKK,LTFM-OIIE
KKK1185,KKK,1185,KKK,OIIE-LTBA
KKK1220,KKK,1220,KKK,LTFM-LLBG
KKK1221,KKK,1221,KKK,LLBG-LTFM
KKK1268,KKK,1268,KKK,LTFM-OKBK
KKK1269,KKK,1269,KKK,OKBK-LTFM
KKK1280,KKK,1280,KKK,LTFM-ORBI
KKK1282,KKK,1282,KKK,LTFM-ORBI
KKK1283,KKK,1283,KKK,ORBI-LTFM
KKK129,KKK,129,KKK,LTAI-EDDH
KKK1290,KKK,1290,KKK,LTFM-ORER
KKK1291,KKK,1291,KKK,ORER-LTBA
KKK1293,KKK,1293,KKK,ORER-LTFM
KKK1296,KKK,1296,KKK,LTFM-ORSU
KKK1297,KKK,1297,KKK,ORSU-LTBA
KKK130,KKK,130,KKK,EDDS-LTAI
KKK131,KKK,131,KKK,LTAI-LSZH-EDDH
KKK132,KKK,132,KKK,EDDH-LTAI
KKK133,KKK,133,KKK,LTAI-EDDH
KKK1334,KKK,1334,KKK,LTBA-OLBA
KKK1336,KKK,1336,KKK,LTBA-OLBA
KKK1340,KKK,1340,KKK,LTAF-OLBA
KKK1341,KKK,1341,KKK,OLBA-LTAF
KKK145,KKK,145,KKK,LTAI-EDDV
KKK146,KKK,146,KKK,EDDV-LTAI
KKK1500,KKK,1500,KKK,LTBA-UUEE
KKK1501,KKK,1501,KKK,UUEE-LTBA
KKK1503,KKK,1503,KKK,UUDD-LTFM
KKK1549,KKK,1549,KKK,URKK-LTBA
KKK1560,KKK,1560,KKK,LTBA-UWWW
KKK157,KKK,157,KKK,LTBJ-EDDK
KKK163,KKK,163,KKK,LTAI-EDDL
KKK164,KKK,164,KKK,EDDB-LTAI
KKK1651,KKK,1651,KKK,UWKE-LTBA
KKK1682,KKK,1682,KKK,LTFM-UATE
KKK1683,KKK,1683,KKK,UATE-LTFM
KKK1688,KKK,1688,KKK,LTFM-UAII
KKK1689,KKK,1689,KKK,UAII-LTFM
KKK1716,KKK,1716,KKK,LTFM-UGTB
KKK1717,KKK,1717,KKK,UGTB-LTFM
KKK176,KKK,176,KKK,EDDF-LTAC
KKK179,KKK,179,KKK,LTCA-EDDF
KKK180,KKK,180,KKK,EDDF-LTCA
KKK1822,KKK,1822,KKK,LTFM-UDYZ
KKK184,KKK,184,KKK,EDDF-LTAF
KKK193,KKK,193,KKK,LTAI-EDDT
KKK1943,KKK,1943,KKK,LTBA-EGGW
KKK1944,KKK,1944,KKK,EGGW-LTBA
KKK1946,KKK,1946,KKK,LTBA-EGGW
KKK195,KKK,195,KKK,LTAI-EDDT
KKK196,KKK,196,KKK,EDDT-LTAI
KKK197,KKK,197,KKK,LTAI-EDDE
KKK1BK,KKK,1BK,KKK,LTBA-LTAF
KKK1CF,KKK,1CF,KKK,LTBA-EGSS
