Callsign,Code,Number,AirlineCode,AirportCodes
KMA701,KMA,701,KMA,ULLI-UUYS
KMA705,KMA,705,KMA,UUDD-UUYY
KMA706,KMA,706,KMA,UUYY-UUDD
KMA707,KMA,707,KMA,UUDD-UUYH
KMA708,KMA,708,KMA,UUYH-UUDD
KMA719,KMA,719,KMA,KARG-ULLI
KMA735,KMA,735,KMA,ULLI-UUYY
KMA738,KMA,738,KMA,ULLI-UUBC
KMA746,KMA,746,KMA,UUYS-UUDD
KMA747,KMA,747,KMA,UUDD-UUYS
KMA750,KMA,750,KMA,UUDD-UUYH
KMA751,KMA,751,KMA,UUYH-UUDD
KMA753,KMA,753,KMA,USPP-ULLI
KMA9309,KMA,9309,KMA,LJLJ-UUDD
KMA9526,KMA,9526,KMA,USSS-URKA
KMA9527,KMA,9527,KMA,URKA-USSS
