Callsign,Code,Number,AirlineCode,AirportCodes
KNA3001,KNA,3001,KNA,ZBYN-ZGHA-ZPPP
KNA3003,KNA,3003,KNA,ZBYN-ZHHH
KNA3006,KNA,3006,KNA,ZSLQ-ZUCK-ZBYN
KNA3008,KNA,3008,KNA,ZSYA-ZBYN
KNA3009,KNA,3009,KNA,ZBYN-ZUGY
KNA3015,KNA,3015,KNA,ZBYN-ZBMZ
KNA3019,KNA,3019,KNA,ZGHA-ZUUU
KNA3020,KNA,3020,KNA,ZUUU-ZGHA
KNA3021,KNA,3021,KNA,ZGHA-ZBYN-ZBDT
KNA3022,KNA,3022,KNA,ZBDT-ZBYN-ZGHA
KNA3023,KNA,3023,KNA,ZGHA-ZSLQ
KNA3024,KNA,3024,KNA,ZSLQ-ZGHA
KNA3025,KNA,3025,KNA,ZPBS-ZPPP
KNA3026,KNA,3026,KNA,ZYTX-ZGHA
KNA3028,KNA,3028,KNA,ZUCK-ZBYN
KNA3029,KNA,3029,KNA,ZGHA-ZPJH-ZPPP
KNA3030,KNA,3030,KNA,ZPPP-ZPJH-ZGHA
KNA3031,KNA,3031,KNA,ZGHA-ZPMS-ZPPP
KNA3032,KNA,3032,KNA,ZPPP-ZPMS-ZGHA
KNA3035,KNA,3035,KNA,ZGHA-ZUMT-ZPJH
KNA3036,KNA,3036,KNA,ZPJH-ZUMT-ZGHA
KNA3037,KNA,3037,KNA,ZGHA-ZUMT-ZPMS
KNA3038,KNA,3038,KNA,ZPMS-ZUMT-ZGHA
KNA3048,KNA,3048,KNA,ZBYC-ZGHA
KNA3053,KNA,3053,KNA,ZGHA-ZPJH
KNA3062,KNA,3062,KNA,ZSNT-ZSAM-ZPPP
KNA3063,KNA,3063,KNA,ZUGY-ZSNT
KNA3064,KNA,3064,KNA,ZSNT-ZUGY
KNA3071,KNA,3071,KNA,ZPPP-ZPMS-ZHCC
KNA3072,KNA,3072,KNA,ZHCC-ZPMS-ZPPP
KNA3073,KNA,3073,KNA,ZPPP-ZPTC-ZGHA
KNA3074,KNA,3074,KNA,ZGHA-ZPTC-ZPPP
KNA3075,KNA,3075,KNA,ZPPP-ZPJH-ZGSZ
KNA3078,KNA,3078,KNA,ZSQZ-ZPJH-ZPPP
KNA3081,KNA,3081,KNA,ZPPP-ZSOF
KNA3082,KNA,3082,KNA,ZSOF-ZPPP
KNA3091,KNA,3091,KNA,ZGSZ-ZPPP-ZPMS
KNA3092,KNA,3092,KNA,ZPMS-ZPPP-ZGSZ
KNA3094,KNA,3094,KNA,ZUUU-ZPJH
KNA3098,KNA,3098,KNA,ZGSZ-ZPJH
KNA3100,KNA,3100,KNA,ZPDQ-ZPPP-ZGSZ
KNA3101,KNA,3101,KNA,ZGSZ-ZPJH
KNA3102,KNA,3102,KNA,ZSFZ-ZPPP
KNA3103,KNA,3103,KNA,ZGSZ-ZPBS
KNA3104,KNA,3104,KNA,ZSFZ-ZPPP
KNA3106,KNA,3106,KNA,ZSNJ-ZPPP
KNA3111,KNA,3111,KNA,ZPMS-ZSHC
KNA3112,KNA,3112,KNA,ZSHC-ZPMS
KNA3121,KNA,3121,KNA,ZPJH-ZSPD
KNA3122,KNA,3122,KNA,ZSPD-ZPJH
KNA3139,KNA,3139,KNA,ZPPP-VGHS
KNA3140,KNA,3140,KNA,VGHS-ZPPP
KNA3141,KNA,3141,KNA,ZPPP-VYYY
KNA3142,KNA,3142,KNA,VYYY-ZPPP
KNA3144,KNA,3144,KNA,VYYY-ZPPP
KNA3145,KNA,3145,KNA,ZPPP-VYYY
KNA3146,KNA,3146,KNA,VYYY-ZPPP
KNA3149,KNA,3149,KNA,ZPPP-ZBAD
KNA3150,KNA,3150,KNA,ZBAD-ZPPP
KNA3160,KNA,3160,KNA,ZLHZ-ZSNT
KNA3201,KNA,3201,KNA,ZPPP-ZSWZ
KNA3202,KNA,3202,KNA,ZSWZ-ZPPP
KNA3209,KNA,3209,KNA,ZPPP-ZSNT
KNA3210,KNA,3210,KNA,ZSNT-ZPPP
KNA3211,KNA,3211,KNA,ZPPP-ZSNT
KNA3212,KNA,3212,KNA,ZSNT-ZPPP
KNA8203,KNA,8203,KNA,ZPPP-ZSNJ
KNA8204,KNA,8204,KNA,ZSJN-ZSLQ-ZPPP
KNA8205,KNA,8205,KNA,ZPPP-ZSJN
KNA8206,KNA,8206,KNA,ZSJN-ZPPP
KNA8207,KNA,8207,KNA,ZPPP-ZUMT-ZSNJ
KNA8208,KNA,8208,KNA,ZSNJ-ZUMT-ZPPP
KNA8210,KNA,8210,KNA,ZSCN-ZPPP
KNA8211,KNA,8211,KNA,ZPPP-ZSAM
KNA8212,KNA,8212,KNA,ZSAM-ZPPP
KNA8213,KNA,8213,KNA,ZPMS-ZPPP-ZSAM
KNA8214,KNA,8214,KNA,ZSAM-ZPPP-ZPMS
KNA8215,KNA,8215,KNA,ZPPP-ZSAM
KNA8216,KNA,8216,KNA,ZSAM-ZPPP
KNA8217,KNA,8217,KNA,ZPPP-ZUCK-ZSNT
KNA8218,KNA,8218,KNA,ZSNT-ZUCK-ZPPP
KNA8219,KNA,8219,KNA,ZPPP-ZGSZ
KNA8220,KNA,8220,KNA,ZSLQ-ZHCC-ZPPP
KNA8221,KNA,8221,KNA,ZPPP-ZSPD
KNA8222,KNA,8222,KNA,ZSPD-ZPPP
KNA8223,KNA,8223,KNA,ZPPP-ZSWZ
KNA8224,KNA,8224,KNA,ZSWZ-ZPPP
KNA8225,KNA,8225,KNA,ZPPP-ZHXF-ZSNJ
KNA8226,KNA,8226,KNA,ZSNJ-ZHXF-ZPPP
KNA8228,KNA,8228,KNA,ZSFZ-ZPPP
KNA8229,KNA,8229,KNA,ZPPP-ZSNJ
KNA8230,KNA,8230,KNA,ZSNJ-ZPPP
KNA8231,KNA,8231,KNA,ZPPP-ZSQZ
KNA8232,KNA,8232,KNA,ZSQZ-ZPPP
KNA8233,KNA,8233,KNA,ZPPP-ZSCN
KNA8234,KNA,8234,KNA,ZSCN-ZPPP
KNA8235,KNA,8235,KNA,ZPPP-ZSHC
KNA8236,KNA,8236,KNA,ZSHC-ZPPP
KNA8238,KNA,8238,KNA,ZSOF-ZPPP
KNA8240,KNA,8240,KNA,ZUGY-ZPTC-ZPPP
KNA8241,KNA,8241,KNA,ZPPP-VGHS
KNA8242,KNA,8242,KNA,ZJHK-ZBYN-ZYTX
KNA8243,KNA,8243,KNA,ZPPP-ZBYC-ZYCC
KNA8244,KNA,8244,KNA,ZPPP-ZSCN-ZYCC
KNA8245,KNA,8245,KNA,ZPPP-ZSJN-ZYHB
KNA8246,KNA,8246,KNA,ZYHB-ZSJN-ZPPP
KNA8247,KNA,8247,KNA,ZPPP-ZBDT-ZYCC
KNA8248,KNA,8248,KNA,ZYCC-ZBDT-ZPPP
KNA8249,KNA,8249,KNA,ZPPP-ZBSJ-ZYCC
KNA8250,KNA,8250,KNA,ZYCC-ZBSJ-ZPPP
KNA8252,KNA,8252,KNA,ZLXY-ZPPP
KNA8253,KNA,8253,KNA,ZPPP-ZLXY
KNA8254,KNA,8254,KNA,ZLXY-ZPPP
KNA8256,KNA,8256,KNA,ZLXY-ZPPP
KNA8261,KNA,8261,KNA,ZPPP-ZHCC-ZBDT
KNA8262,KNA,8262,KNA,ZBDT-ZHCC-ZPPP
KNA8263,KNA,8263,KNA,ZPPP-ZBSJ
KNA8267,KNA,8267,KNA,ZPPP-ZBYN
KNA8268,KNA,8268,KNA,ZBAD-ZPPP
KNA8270,KNA,8270,KNA,ZBAA-ZPPP
KNA8271,KNA,8271,KNA,ZPPP-ZGSZ
KNA8272,KNA,8272,KNA,ZGSZ-ZPPP
