Callsign,Code,Number,AirlineCode,AirportCodes
KNE10,KNE,10,KNE,OEJN-OERK
KNE105,KNE,105,KNE,OERK-OEGN
KNE106,KNE,106,KNE,OEGN-OERK
KNE107,KNE,107,KNE,OERK-OEGN
KNE108,KNE,108,KNE,OEGN-OERK
KNE109,KNE,109,KNE,OERK-OEGN
KNE110,KNE,110,KNE,OEGN-OERK
KNE111,KNE,111,KNE,OERK-OEGN
KNE112,KNE,112,KNE,OEGN-OERK
KNE113,KNE,113,KNE,OERK-OEGN
KNE114,KNE,114,KNE,OEGN-OERK
KNE115,KNE,115,KNE,OERK-OEGN
KNE116,KNE,116,KNE,OEGN-OERK
KNE121,KNE,121,KNE,OERK-OETB
KNE1215,KNE,1215,KNE,OERK-OMDB
KNE122,KNE,122,KNE,OETB-OERK
KNE1221,KNE,1221,KNE,OERK-OOMS
KNE123,KNE,123,KNE,OERK-OETB
KNE1230,KNE,1230,KNE,OEDF-UBBB
KNE1232,KNE,1232,KNE,HECA-OEDF-OKKK
KNE1234,KNE,1234,KNE,OKKK-OERK
KNE124,KNE,124,KNE,OETB-OERK
KNE125,KNE,125,KNE,OERK-OETF
KNE126,KNE,126,KNE,OETF-OERK
KNE1260,KNE,1260,KNE,LTFJ-OERK
KNE127,KNE,127,KNE,OERK-OETF
KNE128,KNE,128,KNE,OETF-OERK
KNE129,KNE,129,KNE,OERK-OETF
KNE1293,KNE,1293,KNE,OERK-OEGT
KNE13,KNE,13,KNE,OERK-OEJN
KNE130,KNE,130,KNE,OETF-OERK
KNE1306,KNE,1306,KNE,LTCG-OERK
KNE131,KNE,131,KNE,OERK-OEHL
KNE132,KNE,132,KNE,OEHL-OERK
KNE133,KNE,133,KNE,OERK-OEHL
KNE134,KNE,134,KNE,OEHL-OERK
KNE135,KNE,135,KNE,OERK-OENG
KNE136,KNE,136,KNE,OENG-OERK
KNE137,KNE,137,KNE,OERK-OENG
KNE138,KNE,138,KNE,OENG-OERK
KNE139,KNE,139,KNE,OERK-OEBA
KNE14,KNE,14,KNE,OEJN-OERK
KNE140,KNE,140,KNE,OEBA-OERK
KNE149,KNE,149,KNE,OERK-OESK
KNE1494,KNE,1494,KNE,OEMA-OEJN
KNE150,KNE,150,KNE,OESK-OERK
KNE1508,KNE,1508,KNE,OMDB-OEJN
KNE1558,KNE,1558,KNE,LTFJ-OEJN
KNE159,KNE,159,KNE,OERK-OEAO
KNE160,KNE,160,KNE,OEAO-OERK
KNE161,KNE,161,KNE,OERK-OEYN
KNE162,KNE,162,KNE,OEYN-OERK
KNE17,KNE,17,KNE,OERK-OEJN
KNE1729,KNE,1729,KNE,OEGS-OEDF
KNE18,KNE,18,KNE,OEJN-OERK
KNE19,KNE,19,KNE,OERK-OEJN
KNE20,KNE,20,KNE,OEJN-OERK
KNE201,KNE,201,KNE,OERK-OMDB
KNE202,KNE,202,KNE,OMDB-OERK
KNE203,KNE,203,KNE,OERK-OMDB
KNE204,KNE,204,KNE,OMDB-OERK
KNE205,KNE,205,KNE,OERK-OMDB
KNE206,KNE,206,KNE,OMDB-OERK
KNE207,KNE,207,KNE,OERK-OMDB
KNE208,KNE,208,KNE,OMDB-OERK
KNE209,KNE,209,KNE,OERK-OMDB
KNE21,KNE,21,KNE,OERK-OEJN
KNE210,KNE,210,KNE,OMDB-OERK
KNE211,KNE,211,KNE,OERK-OMDB
KNE212,KNE,212,KNE,OMDB-OERK
KNE213,KNE,213,KNE,OERK-OMDB
KNE214,KNE,214,KNE,OMDB-OERK
KNE215,KNE,215,KNE,OERK-OMDB
KNE216,KNE,216,KNE,OMDB-OERK
KNE217,KNE,217,KNE,OERK-OMDB
KNE218,KNE,218,KNE,OMDB-OERK
KNE219,KNE,219,KNE,OERK-OMDB
KNE22,KNE,22,KNE,OEJN-OERK
KNE220,KNE,220,KNE,OMDB-OERK
KNE221,KNE,221,KNE,OERK-OMDB
KNE222,KNE,222,KNE,OMDB-OERK
KNE223,KNE,223,KNE,OERK-OTHH
KNE224,KNE,224,KNE,OTHH-OERK
KNE225,KNE,225,KNE,OERK-OTHH
KNE226,KNE,226,KNE,OTHH-OERK
KNE227,KNE,227,KNE,OERK-OMDW
KNE228,KNE,228,KNE,OMDW-OERK
KNE229,KNE,229,KNE,OERK-OMDW
KNE23,KNE,23,KNE,OERK-OEJN
KNE230,KNE,230,KNE,OMDW-OERK
KNE231,KNE,231,KNE,OERK-OKKK
KNE232,KNE,232,KNE,OKKK-OERK
KNE233,KNE,233,KNE,OERK-OBBI
KNE234,KNE,234,KNE,OBBI-OERK
KNE235,KNE,235,KNE,OERK-OMAA
KNE236,KNE,236,KNE,OMAA-OERK
KNE237,KNE,237,KNE,OERK-OBBI
KNE238,KNE,238,KNE,OBBI-OERK
KNE24,KNE,24,KNE,OEJN-OERK
KNE241,KNE,241,KNE,OERK-OMDW
KNE242,KNE,242,KNE,OMDW-OERK
KNE243,KNE,243,KNE,OERK-OKKK
KNE244,KNE,244,KNE,OKKK-OERK
KNE247,KNE,247,KNE,OERK-OMDB
KNE248,KNE,248,KNE,OMDW-OERK
KNE249,KNE,249,KNE,OERK-LTFJ
KNE25,KNE,25,KNE,OERK-OEJN
KNE250,KNE,250,KNE,LTFJ-OERK
KNE251,KNE,251,KNE,OERK-OJAI
KNE252,KNE,252,KNE,OJAI-OERK
KNE253,KNE,253,KNE,OERK-OJAI
KNE254,KNE,254,KNE,OJAI-OERK
KNE255,KNE,255,KNE,OERK-OJAI
KNE256,KNE,256,KNE,OJAI-OERK
KNE257,KNE,257,KNE,OERK-LTFJ
KNE258,KNE,258,KNE,LTFJ-OERK
KNE259,KNE,259,KNE,OERK-LTFJ
KNE26,KNE,26,KNE,OEJN-OERK
KNE260,KNE,260,KNE,LTFJ-OERK
KNE261,KNE,261,KNE,OERK-LTDA
KNE263,KNE,263,KNE,OERK-HECA
KNE264,KNE,264,KNE,HECA-OERK
KNE265,KNE,265,KNE,OERK-HECA
KNE266,KNE,266,KNE,HECA-OERK
KNE267,KNE,267,KNE,OERK-HECA
KNE268,KNE,268,KNE,HECA-OERK
KNE269,KNE,269,KNE,OERK-HECA
KNE27,KNE,27,KNE,OERK-OEJN
KNE270,KNE,270,KNE,HECA-OERK
KNE271,KNE,271,KNE,OERK-HECA
KNE272,KNE,272,KNE,HECA-OERK
KNE273,KNE,273,KNE,OERK-HECA
KNE274,KNE,274,KNE,HECA-OERK
KNE275,KNE,275,KNE,OERK-HECA
KNE276,KNE,276,KNE,HECA-OERK
KNE277,KNE,277,KNE,OERK-HESH
KNE278,KNE,278,KNE,HESH-OERK
KNE279,KNE,279,KNE,OERK-HESG
KNE283,KNE,283,KNE,OERK-HEAT
KNE284,KNE,284,KNE,HEAT-OERK
KNE285,KNE,285,KNE,OERK-HESX
KNE286,KNE,286,KNE,HESX-OERK
KNE287,KNE,287,KNE,OERK-HECA
KNE288,KNE,288,KNE,HECA-OERK
KNE29,KNE,29,KNE,OERK-OEJN
KNE291,KNE,291,KNE,OERK-HSSS
KNE292,KNE,292,KNE,HSSS-OERK
KNE293,KNE,293,KNE,OERK-OTHH
KNE294,KNE,294,KNE,OTHH-OERK
KNE295,KNE,295,KNE,OERK-HSSS
KNE299,KNE,299,KNE,OERK-LTFM
KNE3,KNE,3,KNE,OERK-OEJN
KNE30,KNE,30,KNE,OEJN-OERK
KNE300,KNE,300,KNE,LTFM-OERK
KNE301,KNE,301,KNE,OERK-OLBA
KNE302,KNE,302,KNE,OLBA-OERK
KNE303,KNE,303,KNE,OERK-LTCG
KNE304,KNE,304,KNE,LTCG-OERK
KNE305,KNE,305,KNE,OERK-LTCG
KNE306,KNE,306,KNE,LTCG-OERK
KNE307,KNE,307,KNE,OERK-LOWW-LOWS
KNE308,KNE,308,KNE,LOWW-OERK
KNE309,KNE,309,KNE,OERK-UGTB
KNE31,KNE,31,KNE,OERK-OEJN
KNE310,KNE,310,KNE,UGTB-OERK
KNE312,KNE,312,KNE,UGTB-OERK
KNE313,KNE,313,KNE,OERK-OPKC
KNE314,KNE,314,KNE,OPKC-OERK
KNE315,KNE,315,KNE,OERK-OPIS
KNE316,KNE,316,KNE,OPIS-OERK
KNE317,KNE,317,KNE,OERK-OPLA
KNE318,KNE,318,KNE,OPLA-OERK
KNE32,KNE,32,KNE,OEJN-OERK
KNE321,KNE,321,KNE,OERK-VABB
KNE322,KNE,322,KNE,VABB-OERK
KNE323,KNE,323,KNE,OERK-UBBB
KNE324,KNE,324,KNE,UBBB-OERK
KNE325,KNE,325,KNE,OERK-VOHS
KNE326,KNE,326,KNE,VOHS-OERK
KNE327,KNE,327,KNE,OERK-VOCL
KNE328,KNE,328,KNE,VOCL-OERK
KNE329,KNE,329,KNE,OERK-VIDP
KNE33,KNE,33,KNE,OERK-OEJN
KNE330,KNE,330,KNE,VIDP-OERK
KNE331,KNE,331,KNE,OERK-UGSB
KNE332,KNE,332,KNE,UGSB-OERK
KNE333,KNE,333,KNE,OERK-VILK
KNE334,KNE,334,KNE,VILK-OERK
KNE338,KNE,338,KNE,UBBB-OERK
KNE339,KNE,339,KNE,OERK-HEAL
KNE34,KNE,34,KNE,OEJN-OERK
KNE340,KNE,340,KNE,HEAL-OERK
KNE341,KNE,341,KNE,OERK-LOWW-LOWS
KNE342,KNE,342,KNE,LOWW-LOWS-OERK
KNE343,KNE,343,KNE,OERK-LQSA
KNE344,KNE,344,KNE,LQSA-LATI-OERK
KNE345,KNE,345,KNE,OERK-HUEN
KNE346,KNE,346,KNE,HUEN-OERK
KNE347,KNE,347,KNE,OERK-HAAB
KNE348,KNE,348,KNE,HAAB-OERK
KNE349,KNE,349,KNE,OERK-HEGN
KNE35,KNE,35,KNE,OERK-OEJN
KNE350,KNE,350,KNE,HEGN-OERK
KNE351,KNE,351,KNE,OERK-LOWS
KNE352,KNE,352,KNE,LOWS-OERK
KNE353,KNE,353,KNE,OERK-OOSA
KNE354,KNE,354,KNE,OOSA-OERK
