Callsign,Code,Number,AirlineCode,AirportCodes
LCT142A,LCT,142A,LCT,MNMG-MNCI
LCT143,LCT,143,LCT,MNCI-MNMG
LCT143A,LCT,143A,LCT,MNCI-MNMG
LCT1505,LCT,1505,LCT,MNMG-MROC
LCT1506,LCT,1506,LCT,MROC-MNMG
LCT214,LCT,214,LCT,MMMD-MMMX
LCT2505,LCT,2505,LCT,MNMG-MROC
LCT2506,LCT,2506,LCT,MROC-MNMG
LCT306,LCT,306,LCT,MROC-MNMG
LCT445,LCT,445,LCT,MMMY-MMAS-MMPR
LCT446,LCT,446,LCT,MMPR-MMMY
LCT472,LCT,472,LCT,MMTG-MMTO-MMGL
LCT480,LCT,480,LCT,MMPR-MMSP
LCT481,LCT,481,LCT,MMSP-MMPR
LCT505,LCT,505,LCT,MNMG-MROC
LCT506,LCT,506,LCT,MROC-MNMG
LCT600,LCT,600,LCT,MMMD-MMVR
LCT6001,LCT,6001,LCT,KIAH-MMCE
LCT6002,LCT,6002,LCT,MMCE-KIAH
LCT601,LCT,601,LCT,MMVR-MMMD
LCT610,LCT,610,LCT,MMMY-MMTM-MMCE-MMVR
LCT611,LCT,611,LCT,MMVR-MMCE-MMTM-MMMY
LCT612,LCT,612,LCT,MMTM-MMCE
LCT613,LCT,613,LCT,MMCE-MMTM
LCT614,LCT,614,LCT,MMCE-MMVR
LCT615,LCT,615,LCT,MMVR-MMCE
LCT616,LCT,616,LCT,MMMD-MMQT
LCT617,LCT,617,LCT,MMQT-MMMD
LCT624,LCT,624,LCT,MMMD-MMVA-MMOX-MMTG
LCT702,LCT,702,LCT,MMQT-MMMZ-MMLP
LCT703,LCT,703,LCT,MMLP-MMMZ-MMQT
LCT764,LCT,764,LCT,MMQT-MMMY
LCT765,LCT,765,LCT,MMMY-MMQT
LCT766,LCT,766,LCT,MMQT-MMMY
LCT8000,LCT,8000,LCT,MMSM-MMAA
LCT8001,LCT,8001,LCT,MMAA-MMSM
LCT8007,LCT,8007,LCT,MMGL-MMSM
LCT8013,LCT,8013,LCT,MMPR-MMSM
LCT8020,LCT,8020,LCT,MMSM-MMCP
LCT8021,LCT,8021,LCT,MMCP-MMSM
LCT803,LCT,803,LCT,MMHO-MMCS
LCT804,LCT,804,LCT,MMCS-MMHO-MMLP
LCT8042,LCT,8042,LCT,MMSM-MMVA
LCT8043,LCT,8043,LCT,MMVA-MMSM
LCT805,LCT,805,LCT,MMLP-MMHO-MMCS
LCT8050,LCT,8050,LCT,MMSM-MMZH
LCT8051,LCT,8051,LCT,MMZH-MMSM
LCT8053,LCT,8053,LCT,MMNL-MMCV-MMSM
LCT8058,LCT,8058,LCT,MMSM-MMPQ
LCT8059,LCT,8059,LCT,MMPQ-MMSM
LCT806,LCT,806,LCT,MMHO-MMLP
LCT807,LCT,807,LCT,MMLP-MMHO
LCT8081,LCT,8081,LCT,MMSM-MMIT
LCT810,LCT,810,LCT,MMCS-MMDO-MMGL
LCT811,LCT,811,LCT,MMGL-MMDO-MMCS
LCT8120,LCT,8120,LCT,MMSM-MMQT
LCT8121,LCT,8121,LCT,MMQT-MMSM
LCT8123,LCT,8123,LCT,MMQT-MMSM
LCT814,LCT,814,LCT,MMQT-MMTC-MMCS
LCT815,LCT,815,LCT,MMCS-MMTC-MMQT
LCT825,LCT,825,LCT,MMQT-MMTC-MMCU-MMHO
LCT836,LCT,836,LCT,MMHO-MMCU
LCT837,LCT,837,LCT,MMCU-MMHO
LCT839,LCT,839,LCT,MMHO-MMCL-MMCU
LCT840,LCT,840,LCT,MMCU-MMCL-MMHO
