Callsign,Code,Number,AirlineCode,AirportCodes
LHA4013,LHA,4013,LHA,ZGSZ-ZSWX
LHA4014,LHA,4014,LHA,ZSWX-ZGSZ
LHA4019,LHA,4019,LHA,ZSNB-RPLL
LHA4020,LHA,4020,LHA,RPLL-ZSNB
LHA4023,LHA,4023,LHA,ZGSZ-ZSWF
LHA4024,LHA,4024,LHA,ZGSZ-ZSWF
LHA4030,LHA,4030,LHA,ZSQD-ZGSZ
LHA4037,LHA,4037,LHA,ZGGG-RCTP
LHA4111,LHA,4111,LHA,ZSOF-RJBB
LHA4112,LHA,4112,LHA,RJBB-ZSOF
LHA4114,LHA,4114,LHA,VVNB-ZHCC
LHA4115,LHA,4115,LHA,ZSNB-RJBB
LHA4116,LHA,4116,LHA,RJBB-ZSNB
LHA4117,LHA,4117,LHA,ZHCC-VVNB
LHA4120,LHA,4120,LHA,RKSI-ZHCC
LHA4201,LHA,4201,LHA,ZGSZ-ZSWX
LHA4202,LHA,4202,LHA,VVNB-ZHCC
LHA4207,LHA,4207,LHA,ZHCC-RJBB
LHA4208,LHA,4208,LHA,RJBB-ZHCC
LHA4210,LHA,4210,LHA,RJAA-ZHCC
LHA4211,LHA,4211,LHA,ZHCC-RPLL
LHA4213,LHA,4213,LHA,ZHCC-ZSHC
LHA4215,LHA,4215,LHA,ZSYT-RJBB
LHA4216,LHA,4216,LHA,RJBB-ZSYT
LHA4217,LHA,4217,LHA,ZSYT-RKSI
LHA4218,LHA,4218,LHA,RKSI-ZSYT
LHA4220,LHA,4220,LHA,RJAA-ZSYT
LHA4225,LHA,4225,LHA,ZHCC-EBBR
LHA4229,LHA,4229,LHA,ZGGG-VTBS
LHA4230,LHA,4230,LHA,VTBS-ZGGG
LHA4352,LHA,4352,LHA,VTBS-ZGSZ
LHA4353,LHA,4353,LHA,ZGNN-VTBS
LHA4354,LHA,4354,LHA,VTBS-ZGNN
LHA4355,LHA,4355,LHA,ZGSZ-RPLL
LHA4356,LHA,4356,LHA,RPLL-ZGSZ
LHA4360,LHA,4360,LHA,WMKK-ZGSZ
LHA4376,LHA,4376,LHA,VVTS-ZGSZ
