Callsign,Code,Number,AirlineCode,AirportCodes
LHX1656,LHX,1656,LHX,EDDM-LRTR
LHX1657,LHX,1657,LHX,LRTR-EDDM
LHX1660,LHX,1660,LHX,EDDM-LRTR
LHX1661,LHX,1661,LHX,LRTR-EDDM
LHX1928,LHX,1928,LHX,EDDM-EDDB
LHX1929,LHX,1929,LHX,EDDB-EDDM
LHX1942,LHX,1942,LHX,EDDM-EDDB
LHX1943,LHX,1943,LHX,EDDB-EDDM
LHX1944,LHX,1944,LHX,EDDM-EDDB
LHX1945,LHX,1945,LHX,EDDB-EDDM
LHX1954,LHX,1954,LHX,EDDM-EDDB
LHX1955,LHX,1955,LHX,EDDB-EDDM
LHX1976,LHX,1976,LHX,EDDM-EDDK
LHX1977,LHX,1977,LHX,EDDK-EDDM
LHX1978,LHX,1978,LHX,EDDM-EDDK
LHX1979,LHX,1979,LHX,EDDK-EDDM
LHX1982,LHX,1982,LHX,EDDM-EDDK
LHX1983,LHX,1983,LHX,EDDK-EDDM
LHX1988,LHX,1988,LHX,EDDM-EDDK
LHX1989,LHX,1989,LHX,EDDK-EDDM
LHX1992,LHX,1992,LHX,EDDM-EDDK
LHX1993,LHX,1993,LHX,EDDK-EDDM
LHX1994,LHX,1994,LHX,EDDM-EDDK
LHX1999,LHX,1999,LHX,EDDK-EDDM
LHX1FW,LHX,1FW,LHX,EDDM-EGCC
LHX1VN,LHX,1VN,LHX,EGCC-EDDM
LHX2012,LHX,2012,LHX,EDDM-EDDL
LHX2013,LHX,2013,LHX,EDDL-EDDM
LHX2016,LHX,2016,LHX,EDDM-EDDL
LHX2017,LHX,2017,LHX,EDDL-EDDM
LHX2018,LHX,2018,LHX,EDDM-EDDL
LHX2019,LHX,2019,LHX,EDDL-EDDM
LHX2020,LHX,2020,LHX,EDDM-EDDL
LHX2021,LHX,2021,LHX,EDDL-EDDM
LHX2062,LHX,2062,LHX,EDDM-EDDH
LHX2063,LHX,2063,LHX,EDDH-EDDM
LHX2090,LHX,2090,LHX,EDDM-EDDV
LHX2091,LHX,2091,LHX,EDDV-EDDM
LHX2100,LHX,2100,LHX,EDDM-EDDV
LHX2101,LHX,2101,LHX,EDDV-EDDM
LHX2134,LHX,2134,LHX,EDDM-EDDG
LHX2135,LHX,2135,LHX,EDDG-EDDM
LHX2194,LHX,2194,LHX,EDDM-EDDW
LHX2195,LHX,2195,LHX,EDDW-EDDM
LHX2196,LHX,2196,LHX,EDDM-EDDW
LHX2197,LHX,2197,LHX,EDDW-EDDM
LHX2198,LHX,2198,LHX,EDDM-EDDW
LHX2199,LHX,2199,LHX,EDDW-EDDM
LHX2258,LHX,2258,LHX,EDDM-LFBD
LHX2259,LHX,2259,LHX,LFBD-EDDM
LHX2500,LHX,2500,LHX,EDDM-EGCC
LHX2501,LHX,2501,LHX,EGCC-EDDM
LHX2502,LHX,2502,LHX,EDDM-EGCC
LHX2503,LHX,2503,LHX,EGCC-EDDM
LHX2504,LHX,2504,LHX,EDDM-EGCC
LHX2505,LHX,2505,LHX,EGCC-EDDM
LHX2508,LHX,2508,LHX,EDDM-EGBB
LHX2509,LHX,2509,LHX,EGBB-EDDM
LHX2510,LHX,2510,LHX,EDDM-EGBB
LHX2511,LHX,2511,LHX,EGBB-EDDM
LHX2518,LHX,2518,LHX,EDDM-EIDW
LHX2519,LHX,2519,LHX,EIDW-EDDM
LHX2EE,LHX,2EE,LHX,EDDB-EDDM
LHX2EL,LHX,2EL,LHX,EDDM-LRTR
LHX2T,LHX,2T,LHX,EDDM-EDDB
LHX2XM,LHX,2XM,LHX,EDDM-LRTR
LHX3AX,LHX,3AX,LHX,EDDM-EIDW
LHX3LY,LHX,3LY,LHX,EDDM-LRTR
LHX3RW,LHX,3RW,LHX,EDDM-LIRF
LHX3WY,LHX,3WY,LHX,EDDB-EDDM
LHX4AE,LHX,4AE,LHX,LRTR-EDDM
LHX4AR,LHX,4AR,LHX,EGBB-EDDM
LHX4KK,LHX,4KK,LHX,EDDM-EDDL
LHX4MX,LHX,4MX,LHX,EDDM-EGCC
LHX4UY,LHX,4UY,LHX,EDDL-EDDM
LHX4XN,LHX,4XN,LHX,EDDM-EDDK
LHX57C,LHX,57C,LHX,EDDM-LFPG
LHX5CT,LHX,5CT,LHX,EDDW-EDDM
LHX5JR,LHX,5JR,LHX,LIRF-EDDM
LHX5JV,LHX,5JV,LHX,EDDV-EDDM
LHX5KF,LHX,5KF,LHX,EGCC-EDDM
LHX5N,LHX,5N,LHX,EDDM-EDDB
LHX5T,LHX,5T,LHX,EDDM-EDDB
LHX7HH,LHX,7HH,LHX,EDDM-EDDL
LHX8EM,LHX,8EM,LHX,EDDM-EGBB
LHX8FR,LHX,8FR,LHX,EIDW-EDDM
LHX9HF,LHX,9HF,LHX,EDDM-EDDV
LHX9JF,LHX,9JF,LHX,EDDM-EDDK
LHX9WE,LHX,9WE,LHX,EDDM-EDDW
