Callsign,Code,Number,AirlineCode,AirportCodes
LKE801,LKE,801,LKE,ZPPP-VTBS
LKE802,LKE,802,LKE,VTBS-ZPPP
LKE811,LKE,811,LKE,ZUTF-VTBS
LKE812,LKE,812,LKE,VTBS-ZUTF
LKE826,LKE,826,LKE,VTBS-ZPLJ
LKE836,LKE,836,LKE,WBKK-ZPPP
LKE837,LKE,837,LKE,ZUUU-WMKP
LKE838,LKE,838,LKE,WMKP-ZUUU
LKE843,LKE,843,LKE,ZPDL-WMKK
LKE844,LKE,844,LKE,WMKK-ZPDL
LKE845,LKE,845,LKE,ZPPP-WAMM
LKE846,LKE,846,LKE,WAMM-ZPPP
LKE868,LKE,868,LKE,VTBS-ZPPP
LKE870,LKE,870,LKE,RJBB-ZSXZ
LKE873,LKE,873,LKE,ZPLJ-RKJB
LKE874,LKE,874,LKE,RKJB-ZPLJ
LKE875,LKE,875,LKE,ZPLJ-VVCI
LKE876,LKE,876,LKE,VVCI-ZPLJ
LKE881,LKE,881,LKE,ZPPP-UUEE
LKE882,LKE,882,LKE,UUEE-ZPPP
LKE883,LKE,883,LKE,ZPPP-ULLI
LKE884,LKE,884,LKE,ULLI-ZPPP
LKE889,LKE,889,LKE,ZHHH-LFPG
LKE890,LKE,890,LKE,LFPG-ZHHH
LKE895,LKE,895,LKE,ZHHH-VGHS
LKE9501,LKE,9501,LKE,ZPPP-ZHCC
LKE9502,LKE,9502,LKE,ZHCC-ZPPP
LKE9503,LKE,9503,LKE,ZPPP-ZHCC
LKE9504,LKE,9504,LKE,ZHCC-ZPPP
LKE9505,LKE,9505,LKE,ZPPP-ZHCC
LKE9506,LKE,9506,LKE,ZHCC-ZPPP
LKE9507,LKE,9507,LKE,ZPPP-ZHCC
LKE9508,LKE,9508,LKE,ZHCC-ZPPP
LKE9509,LKE,9509,LKE,ZPPP-ZHCC
LKE9510,LKE,9510,LKE,ZHCC-ZPPP
LKE9511,LKE,9511,LKE,ZBAA-ZULS
LKE9512,LKE,9512,LKE,ZULS-ZBAA
LKE9513,LKE,9513,LKE,ZPPP-ZHCC
LKE9514,LKE,9514,LKE,ZHCC-ZPPP
LKE9515,LKE,9515,LKE,ZHCC-ZSAM
LKE9516,LKE,9516,LKE,ZSAM-ZHCC
LKE9517,LKE,9517,LKE,ZHCC-ZLXN-ZULS
LKE9518,LKE,9518,LKE,ZULS-ZLXN-ZHCC
LKE9519,LKE,9519,LKE,ZHCC-ZSGZ-ZGZJ
LKE9520,LKE,9520,LKE,ZGZJ-ZSGZ-ZHCC
LKE9521,LKE,9521,LKE,ZHCC-ZULS
LKE9524,LKE,9524,LKE,ZYCC-ZHCC
LKE9525,LKE,9525,LKE,ZHCC-ZUGY
LKE9528,LKE,9528,LKE,ZUGY-ZHCC
LKE9529,LKE,9529,LKE,ZPPP-ZHCC
LKE9530,LKE,9530,LKE,ZHCC-ZPPP
LKE9533,LKE,9533,LKE,ZHCC-ZYHB
LKE9534,LKE,9534,LKE,ZYHB-ZHCC
LKE9535,LKE,9535,LKE,ZHCC-ZSQZ
LKE9536,LKE,9536,LKE,ZSQZ-ZHCC
LKE9545,LKE,9545,LKE,ZPPP-ZSGZ-ZYHB
LKE9546,LKE,9546,LKE,ZYHB-ZSGZ-ZPPP
LKE9549,LKE,9549,LKE,ZPPP-ZSGZ-ZYHB
LKE9550,LKE,9550,LKE,ZYHB-ZSGZ-ZPPP
LKE9551,LKE,9551,LKE,ZJHK-ZGNN
LKE9552,LKE,9552,LKE,ZGNN-ZJHK
LKE9553,LKE,9553,LKE,ZUTF-ZHCC
LKE9554,LKE,9554,LKE,ZHCC-ZUTF
LKE9555,LKE,9555,LKE,ZPPP-ZBSJ-ZYHB
LKE9556,LKE,9556,LKE,ZYHB-ZBSJ-ZPPP
LKE9557,LKE,9557,LKE,ZPPP-ZYJZ-ZYHB
LKE9558,LKE,9558,LKE,ZYHB-ZYJZ-ZPPP
LKE9559,LKE,9559,LKE,ZPPP-ZSHC
LKE9560,LKE,9560,LKE,ZSHC-ZPPP
LKE9561,LKE,9561,LKE,ZPPP-ZSGZ-ZSHC
LKE9562,LKE,9562,LKE,ZSHC-ZSGZ-ZPPP
LKE9564,LKE,9564,LKE,ZSHC-ZSGZ-ZPPP
LKE9565,LKE,9565,LKE,ZPPP-ZSAM
LKE9566,LKE,9566,LKE,ZSAM-ZPPP
LKE9567,LKE,9567,LKE,ZPPP-ZLLL-ZWWW
LKE9568,LKE,9568,LKE,ZWWW-ZLLL-ZPPP
LKE9569,LKE,9569,LKE,ZHCC-ZWKL
LKE9570,LKE,9570,LKE,ZWKL-ZHCC
LKE9571,LKE,9571,LKE,ZPPP-ZSGZ-ZSNJ
LKE9572,LKE,9572,LKE,ZSNJ-ZSGZ-ZPPP
LKE9573,LKE,9573,LKE,ZPPP-ZSGZ-ZSHC
LKE9574,LKE,9574,LKE,ZSHC-ZSGZ-ZPPP
LKE9577,LKE,9577,LKE,ZHCC-ZPDL
LKE9578,LKE,9578,LKE,ZPDL-ZHCC
LKE9579,LKE,9579,LKE,ZHCC-ZWWW
LKE9580,LKE,9580,LKE,ZWWW-ZHCC
LKE9581,LKE,9581,LKE,ZUCK-ZSXZ
LKE9582,LKE,9582,LKE,ZSXZ-ZUCK
LKE9583,LKE,9583,LKE,ZPDL-ZLXY
LKE9584,LKE,9584,LKE,ZLXY-ZPDL
LKE9585,LKE,9585,LKE,ZUTF-ZHLY
LKE9586,LKE,9586,LKE,ZHLY-ZUTF
LKE9588,LKE,9588,LKE,WIII-ZGNN
LKE9591,LKE,9591,LKE,ZJHK-ZSGZ-ZYHB
LKE9592,LKE,9592,LKE,ZYHB-ZSGZ-ZJHK
LKE9593,LKE,9593,LKE,ZPPP-ZUTF
LKE9594,LKE,9594,LKE,ZUTF-ZPPP
LKE9595,LKE,9595,LKE,ZPPP-ZLLL
LKE9596,LKE,9596,LKE,ZLLL-ZPPP
LKE9597,LKE,9597,LKE,ZHCC-ZJSY
LKE9598,LKE,9598,LKE,ZJSY-ZHCC
LKE9599,LKE,9599,LKE,ZPPP-ZSWX
LKE9600,LKE,9600,LKE,ZSWX-ZPPP
LKE9601,LKE,9601,LKE,ZUTF-ZPJH
