Callsign,Code,Number,AirlineCode,AirportCodes
LLM10,LLM,10,LLM,USTR-USDD
LLM1107,LLM,1107,LLM,UUDD-UNKL
LLM119,LLM,119,LLM,UUDD-USHS
LLM120,LLM,120,LLM,USHS-UUDD
LLM121,LLM,121,LLM,USSS-USDD-USMU
LLM122,LLM,122,LLM,USMU-USDD-USSS
LLM131,LLM,131,LLM,USDD-UUDD
LLM132,LLM,132,LLM,UUEE-USDD
LLM145,LLM,145,LLM,USTR-USMU
LLM146,LLM,146,LLM,USTR-USMU
LLM147,LLM,147,LLM,USTR-USMM
LLM155,LLM,155,LLM,USTR-UDYZ
LLM163,LLM,163,LLM,USTR-URKG
LLM165,LLM,165,LLM,USTR-URKA
LLM166,LLM,166,LLM,URKA-USTR
LLM167,LLM,167,LLM,UNNT-USMU
LLM168,LLM,168,LLM,USMU-UNNT
LLM173,LLM,173,LLM,UUDD-USMM
LLM174,LLM,174,LLM,USMM-UUDD
LLM177,LLM,177,LLM,USTR-URMM
LLM180,LLM,180,LLM,URKK-USTR
LLM183,LLM,183,LLM,USTR-URSS
LLM185,LLM,185,LLM,USTR-URSS
LLM186,LLM,186,LLM,URSS-USTR
LLM187,LLM,187,LLM,USMU-UWUU
LLM188,LLM,188,LLM,UWUU-USMU
LLM189,LLM,189,LLM,USMU-UUEE
LLM190,LLM,190,LLM,UUEE-USMU
LLM191,LLM,191,LLM,URKK-USRO
LLM192,LLM,192,LLM,USRO-URKK
LLM211,LLM,211,LLM,USSS-USMM
LLM212,LLM,212,LLM,USMM-USSS
LLM216,LLM,216,LLM,USNN-UWUU
LLM221,LLM,221,LLM,USSS-USMU
LLM222,LLM,222,LLM,USMU-USSS
LLM241,LLM,241,LLM,USTR-UUDD
LLM242,LLM,242,LLM,UUDD-USTR
LLM243,LLM,243,LLM,USTR-UUDD
LLM244,LLM,244,LLM,UUDD-USTR
LLM247,LLM,247,LLM,UWUU-USMM
LLM248,LLM,248,LLM,USMM-UWUU
LLM249,LLM,249,LLM,USSS-USRO
LLM250,LLM,250,LLM,USRO-USSS
LLM261,LLM,261,LLM,USTR-UNNT-UECT
LLM262,LLM,262,LLM,UECT-UNNT-USTR
LLM29,LLM,29,LLM,USSS-UNNT-UNKL
LLM291,LLM,291,LLM,URKK-USMM
LLM30,LLM,30,LLM,UNKL-UNNT-USSS
LLM301,LLM,301,LLM,URKA-USPP
LLM302,LLM,302,LLM,USPP-URKA
LLM309,LLM,309,LLM,URKA-USSS
LLM31,LLM,31,LLM,USDD-UUDD
LLM310,LLM,310,LLM,USSS-URKA
LLM32,LLM,32,LLM,UUDD-USDD
LLM321,LLM,321,LLM,URKA-USNN
LLM334,LLM,334,LLM,UUDD-USNN
LLM348,LLM,348,LLM,UWUU-USTR
LLM349,LLM,349,LLM,UWUU-USRO
LLM350,LLM,350,LLM,USRO-UWUU
LLM355,LLM,355,LLM,USCC-URRR
LLM365,LLM,365,LLM,USTR-USSS-UWWW
LLM366,LLM,366,LLM,UWWW-USSS-USTR
LLM377,LLM,377,LLM,USMU-URMM
LLM378,LLM,378,LLM,URMM-USMU
LLM381,LLM,381,LLM,USCC-UNBG-UNKL
LLM382,LLM,382,LLM,UNKL-UNBG-USCC
LLM385,LLM,385,LLM,UWUU-URSS
LLM386,LLM,386,LLM,URSS-USMU
LLM389,LLM,389,LLM,USTR-UNTT
LLM390,LLM,390,LLM,UNTT-USTR
LLM391,LLM,391,LLM,UUDD-UNKL
LLM392,LLM,392,LLM,UNKL-UUDD
LLM393,LLM,393,LLM,USTR-UNKL-UIII
LLM394,LLM,394,LLM,UIII-UNKL-USTR
LLM395,LLM,395,LLM,USTR-UNKL-UIII
LLM396,LLM,396,LLM,UIII-UNKL-USTR
LLM397,LLM,397,LLM,USMU-UNKL
LLM398,LLM,398,LLM,UNKL-USMU
LLM418,LLM,418,LLM,UNOO-USDD
LLM419,LLM,419,LLM,UUDD-USRO
LLM420,LLM,420,LLM,USRO-UUDD
LLM437,LLM,437,LLM,USDD-UWUU
LLM438,LLM,438,LLM,UWUU-USDD
LLM444,LLM,444,LLM,UUDD-LYTV
LLM445,LLM,445,LLM,LYTV-UUDD
LLM45,LLM,45,LLM,USDD-USTR
LLM450,LLM,450,LLM,LYTV-UUDD
LLM451,LLM,451,LLM,UUDD-LYTV
LLM46,LLM,46,LLM,USTR-USDD
LLM478,LLM,478,LLM,URMM-USDD
