Callsign,Code,Number,AirlineCode,AirportCodes
LLR101,LLR,101,LLR,VOMM-VCCJ
LLR102,LLR,102,LLR,VCCJ-VOMM
LLR315,LLR,315,LLR,VIDP-VIAL
LLR323,LLR,323,LLR,VIDP-VICG
LLR324,LLR,324,LLR,VICG-VIAL-VIDP
LLR331,LLR,331,LLR,VECC-VIAL
LLR340,LLR,340,LLR,VIAL-VAID-VIDP
LLR342,LLR,342,LLR,VIDP-VAID-VIAL
LLR501,LLR,501,LLR,VOBL-VOBZ
LLR502,LLR,502,LLR,VOBZ-VOBL
LLR505,LLR,505,LLR,VOBL-VOMY-VOCI-VOAT
LLR506,LLR,506,LLR,VOAT-VOCI-VOMY-VOBL
LLR507,LLR,507,LLR,VOBL-VOCI
LLR508,LLR,508,LLR,VOCI-VOBL
LLR509,LLR,509,LLR,VOBL-VOHB
LLR510,LLR,510,LLR,VOHB-VOBL
LLR513,LLR,513,LLR,VOBL-VOSM
LLR514,LLR,514,LLR,VOSM-VOBL
LLR515,LLR,515,LLR,VOSM-VOCI
LLR516,LLR,516,LLR,VOCI-VOSM
LLR517,LLR,517,LLR,VOBL-VOHS
LLR518,LLR,518,LLR,VOHS-VOBL
LLR521,LLR,521,LLR,VOBL-VOCI
LLR522,LLR,522,LLR,VOCI-VOBL
LLR527,LLR,527,LLR,VOBL-VOJV
LLR528,LLR,528,LLR,VOJV-VOBL
LLR547,LLR,547,LLR,VOBL-VOGO
LLR548,LLR,548,LLR,VOGO-VOBL
LLR551,LLR,551,LLR,VOMM-VOMD
LLR552,LLR,552,LLR,VOMD-VOMM
LLR553,LLR,553,LLR,VOMM-VOCB
LLR555,LLR,555,LLR,VOMM-VOTR
LLR556,LLR,556,LLR,VOTR-VOMM
LLR601,LLR,601,LLR,VABB-VAJL
LLR602,LLR,602,LLR,VAJL-VABB
LLR603,LLR,603,LLR,VIDP-VIAL
LLR604,LLR,604,LLR,VIAL-VIDP
LLR605,LLR,605,LLR,VIDP-VILK
LLR607,LLR,607,LLR,VIDP-VILK
LLR609,LLR,609,LLR,VIDP-VIDN
LLR610,LLR,610,LLR,VIDN-VIDP
LLR611,LLR,611,LLR,VABB-VAAH
LLR612,LLR,612,LLR,VAAH-VABB
LLR613,LLR,613,LLR,VIDP-VEBU-VEJR
LLR614,LLR,614,LLR,VIJU-VIDP
