Callsign,Code,Number,AirlineCode,AirportCodes
LNK100,LNK,100,LNK,FAOR-FVRG
LNK100B,LNK,100B,LNK,FAOR-FVRG
LNK101,LNK,101,LNK,FVRG-FAOR
LNK101C,LNK,101C,LNK,FVRG-FAOR
LNK102,LNK,102,LNK,FAOR-FVRG
LNK102D,LNK,102D,LNK,FAOR-FVRG
LNK103,LNK,103,LNK,FVRG-FAOR
LNK103E,LNK,103E,LNK,FVRG-FAOR
LNK104,LNK,104,LNK,FAOR-FVRG
LNK104F,LNK,104F,LNK,FAOR-FVRG
LNK105,LNK,105,LNK,FVRG-FAOR
LNK105G,LNK,105G,LNK,FVRG-FAOR
LNK106,LNK,106,LNK,FAOR-FVRG
LNK106H,LNK,106H,LNK,FAOR-FVRG
LNK107,LNK,107,LNK,FVRG-FAOR
LNK107B,LNK,107B,LNK,FVRG-FAOR
LNK108,LNK,108,LNK,FAOR-FVRG
LNK108J,LNK,108J,LNK,FAOR-FVRG
LNK109,LNK,109,LNK,FVRG-FAOR
LNK109K,LNK,109K,LNK,FVRG-FAOR
LNK110,LNK,110,LNK,FAOR-FVJN
LNK110L,LNK,110L,LNK,FAOR-FVJN
LNK111,LNK,111,LNK,FVJN-FAOR
LNK111M,LNK,111M,LNK,FVJN-FAOR
LNK120,LNK,120,LNK,FAOR-FYWH
LNK120P,LNK,120P,LNK,FAOR-FYWH
LNK121,LNK,121,LNK,FYWH-FAOR
LNK121Q,LNK,121Q,LNK,FYWH-FAOR
LNK124,LNK,124,LNK,FAOR-FYWH
LNK124R,LNK,124R,LNK,FAOR-FYWH
LNK125,LNK,125,LNK,FYWH-FAOR
LNK125S,LNK,125S,LNK,FYWH-FAOR
LNK126,LNK,126,LNK,FAOR-FYWH
LNK126T,LNK,126T,LNK,FAOR-FYWH
LNK127,LNK,127,LNK,FYWH-FAOR
LNK127U,LNK,127U,LNK,FYWH-FAOR
LNK128,LNK,128,LNK,FAOR-FYWH
LNK128V,LNK,128V,LNK,FAOR-FYWH
LNK129,LNK,129,LNK,FYWH-FAOR
LNK129W,LNK,129W,LNK,FYWH-FAOR
LNK131,LNK,131,LNK,FAOR-FYWB-FHSH
