Callsign,Code,Number,AirlineCode,AirportCodes
LOG1,LOG,1,LOG,EGNT-EGPD
LOG10,LOG,10,LOG,EGPD-EGSH
LOG10HF,LOG,10HF,LOG,EGPO-EGPH
LOG11JN,LOG,11JN,LOG,EGJJ-EGSH
LOG12AW,LOG,12AW,LOG,EGPD-EGBB
LOG12BK,LOG,12BK,LOG,EGPO-EGPE
LOG12BW,LOG,12BW,LOG,EGPC-EGPH
LOG12DC,LOG,12DC,LOG,EGNM-EGPF
LOG12DL,LOG,12DL,LOG,EGPD-EGCC
LOG12GV,LOG,12GV,LOG,EGPC-EGPH
LOG12GX,LOG,12GX,LOG,EGPC-EGPH
LOG12WQ,LOG,12WQ,LOG,EGNT-EGTE
LOG13HD,LOG,13HD,LOG,EGPD-EGPA
LOG14MZ,LOG,14MZ,LOG,EGPF-EGMC
LOG14NM,LOG,14NM,LOG,EGPE-EGCC
LOG14TH,LOG,14TH,LOG,EGNX-EGPH
LOG14WM,LOG,14WM,LOG,EGHI-EGNT
LOG14ZT,LOG,14ZT,LOG,EGPD-EGAC
LOG15,LOG,15,LOG,EGSH-EGPD
LOG1509,LOG,1509,LOG,KMIA-EHAM-SCEL
LOG15EC,LOG,15EC,LOG,EGCC-EGPF
LOG15NS,LOG,15NS,LOG,ENGM-EGPD
LOG16,LOG,16,LOG,EGPD-EGSH
LOG161,LOG,161,LOG,EGPE-EGAC
LOG162,LOG,162,LOG,EGAC-EGPE
LOG16KT,LOG,16KT,LOG,EGPH-EGPB
LOG16MV,LOG,16MV,LOG,EGNT-EGPD-ENGM
LOG16NY,LOG,16NY,LOG,EGPA-EGPD
LOG1763,LOG,1763,LOG,EGNR-EGGD-LFBO
LOG17DN,LOG,17DN,LOG,EGPE-EGPO
LOG17HA,LOG,17HA,LOG,EGNT-EGHI
LOG17Q,LOG,17Q,LOG,EGPH-EGFF
LOG17XY,LOG,17XY,LOG,EGAE-EGPF
LOG17ZA,LOG,17ZA,LOG,EGPE-EGCC
LOG18D,LOG,18D,LOG,EGAE-EGLL
LOG18FR,LOG,18FR,LOG,EGPH-EGTE
LOG18JD,LOG,18JD,LOG,EGNS-EGPH
LOG18WN,LOG,18WN,LOG,EGPD-EGPB
LOG19CY,LOG,19CY,LOG,EGHI-EGPH
LOG19H,LOG,19H,LOG,EGCC-EGHQ
LOG1AB,LOG,1AB,LOG,EGPF-EGPB
LOG1DL,LOG,1DL,LOG,EGPN-EGPA
LOG1FM,LOG,1FM,LOG,EGNS-EGCC
LOG1GB,LOG,1GB,LOG,EGPF-ENBR
LOG1GH,LOG,1GH,LOG,EGCC-EGHQ
LOG21,LOG,21,LOG,EGPD-EGCC
LOG21CB,LOG,21CB,LOG,EGPA-EGPD
LOG21DE,LOG,21DE,LOG,EGCC-EGNS
LOG21H,LOG,21H,LOG,EGPD-EIDW
LOG21XA,LOG,21XA,LOG,EGPF-EGPA
LOG22,LOG,22,LOG,EGCC-EGPD
LOG22AQ,LOG,22AQ,LOG,EGNS-EGCC-EGHQ
LOG22DV,LOG,22DV,LOG,EGAE-EGGP
LOG22FB,LOG,22FB,LOG,EGPE-EGAC
LOG22LW,LOG,22LW,LOG,EGHI-EGNT
LOG22MP,LOG,22MP,LOG,EGPD-EGBB
LOG22SV,LOG,22SV,LOG,EGPR-EGPF
LOG22TV,LOG,22TV,LOG,EGNS-EGGP
LOG22W,LOG,22W,LOG,EGMC-EGPD
LOG22Y,LOG,22Y,LOG,EGCC-EGPD
LOG23,LOG,23,LOG,EGPD-EGCC
LOG23CG,LOG,23CG,LOG,EGJJ-EGTE
LOG23CM,LOG,23CM,LOG,EKEB-EGPD-EGNV-EGHI
LOG23DN,LOG,23DN,LOG,EGPH-EGPB
LOG23DU,LOG,23DU,LOG,EGPH-EGPB
LOG23PY,LOG,23PY,LOG,EGPH-EGHI
LOG23QR,LOG,23QR,LOG,EGHI-EGPH
LOG23XT,LOG,23XT,LOG,EGPF-EGCC
LOG24,LOG,24,LOG,EGHQ-EGCC-EGPD
LOG24AE,LOG,24AE,LOG,EGNT-EGHI
LOG24AV,LOG,24AV,LOG,EGPD-EGNV
LOG24EM,LOG,24EM,LOG,EGPB-EGPD
LOG24J,LOG,24J,LOG,EGPH-EGHI
LOG24PL,LOG,24PL,LOG,EGNM-EGPF
LOG24RA,LOG,24RA,LOG,EGLL-EGAE
LOG24RP,LOG,24RP,LOG,EGPE-EGNX
LOG24VF,LOG,24VF,LOG,EGGP-EGNS
LOG24YR,LOG,24YR,LOG,EGPD-EGPB
LOG24YZ,LOG,24YZ,LOG,EGPD-EGPB
LOG25,LOG,25,LOG,EGPD-EGCC-EGHQ
LOG25BR,LOG,25BR,LOG,EGCC-EGNS
LOG25CH,LOG,25CH,LOG,EGPF-EGPL
LOG25JD,LOG,25JD,LOG,EGPD-EIDW
LOG25K,LOG,25K,LOG,EGNT-EGTE
LOG25RF,LOG,25RF,LOG,EGPB-EGPD
LOG26,LOG,26,LOG,EGHQ-EGCC-EGPD
LOG26AB,LOG,26AB,LOG,EGPO-EGPF
LOG26D,LOG,26D,LOG,EGAC-EGNV
LOG26EY,LOG,26EY,LOG,EGNT-EGHQ
LOG26FN,LOG,26FN,LOG,EGCC-EGNS
LOG26GK,LOG,26GK,LOG,EGPH-EGPO
LOG26JL,LOG,26JL,LOG,EGPF-EGNM
LOG26PA,LOG,26PA,LOG,EGSH-EGPH
LOG26PQ,LOG,26PQ,LOG,EGPE-EGPA
LOG26TX,LOG,26TX,LOG,EGPD-EGPB
LOG26U,LOG,26U,LOG,EGAC-EGPD
LOG26VG,LOG,26VG,LOG,EGPO-EGPF
LOG26Z,LOG,26Z,LOG,EGPD-EGSH
LOG27,LOG,27,LOG,EGPD-EGCC
LOG27GK,LOG,27GK,LOG,EGPH-EGPO
LOG27KC,LOG,27KC,LOG,ENGM-EGPD
LOG27MV,LOG,27MV,LOG,EGPH-EGPA
LOG27PR,LOG,27PR,LOG,EGPE-EGPO-EGPL
LOG27VC,LOG,27VC,LOG,EGPO-EGPF
LOG28,LOG,28,LOG,EGCC-EGPD
LOG28CD,LOG,28CD,LOG,EGPA-EGPD
LOG28CG,LOG,28CG,LOG,EGNS-EGCC
LOG28CN,LOG,28CN,LOG,EGPO-EGPF
LOG28JK,LOG,28JK,LOG,EGCC-EGPD
LOG28RW,LOG,28RW,LOG,EGPN-EGLL
LOG28SU,LOG,28SU,LOG,EGPH-EGPB
LOG29,LOG,29,LOG,EGPD-EGCC
LOG29DI,LOG,29DI,LOG,EGPA-EGPH
LOG29DL,LOG,29DL,LOG,EGPD-EGPC
LOG29DS,LOG,29DS,LOG,EKEB-EGPD
LOG29GL,LOG,29GL,LOG,EGJJ-EGNT
LOG29JK,LOG,29JK,LOG,EGPE-EGAC
LOG29JP,LOG,29JP,LOG,EGPR-EGPF
LOG29LN,LOG,29LN,LOG,EGPC-EGPD
LOG29SD,LOG,29SD,LOG,EGNV-EGPD-EKEB
LOG29XM,LOG,29XM,LOG,EGLL-EGNS
LOG2BA,LOG,2BA,LOG,EGGD-EGPD
LOG2BG,LOG,2BG,LOG,ENBR-EGPF
LOG2BM,LOG,2BM,LOG,ENGM-EGPD-EGNT-EGHI
LOG2BP,LOG,2BP,LOG,EGPD-EGBB
LOG2CV,LOG,2CV,LOG,EGCC-EGPE
LOG2FD,LOG,2FD,LOG,EGPD-EGSH
LOG2FL,LOG,2FL,LOG,EGPH-EGPA
LOG2LD,LOG,2LD,LOG,EGPA-EGPN
LOG2LM,LOG,2LM,LOG,EGGP-EGNS
LOG2NQ,LOG,2NQ,LOG,EGHQ-EGCC
LOG2PX,LOG,2PX,LOG,EGSH-EGPH
LOG2WF,LOG,2WF,LOG,EGCC-EGPE
LOG2WQ,LOG,2WQ,LOG,EGPD-EKEB
LOG3,LOG,3,LOG,EGNT-EGPD
LOG30,LOG,30,LOG,EGCC-EGPD
LOG30LD,LOG,30LD,LOG,EGCC-EGSH
LOG31AW,LOG,31AW,LOG,EGPD-EGCC
LOG31AZ,LOG,31AZ,LOG,EGPE-EGCC
LOG31BH,LOG,31BH,LOG,EGHH-EGJJ
LOG31HD,LOG,31HD,LOG,EGNT-EGJJ
LOG31RW,LOG,31RW,LOG,EGPF-EGPB
LOG31UD,LOG,31UD,LOG,EGPD-EGPA
LOG31XK,LOG,31XK,LOG,EGPD-EGPA
LOG320,LOG,320,LOG,EGHI-EGPH
LOG321,LOG,321,LOG,EGPH-EGHI
LOG322,LOG,322,LOG,EGHI-EGPH
LOG324,LOG,324,LOG,EGHI-EGPH
LOG327,LOG,327,LOG,EGPH-EGHI
LOG328,LOG,328,LOG,EGHI-EGPH
LOG329,LOG,329,LOG,EGPH-EGHI
LOG32MW,LOG,32MW,LOG,EGPF-EGPO
LOG32MY,LOG,32MY,LOG,EGPF-EGPO
LOG32OD,LOG,32OD,LOG,EGPF-EGEC
LOG32TX,LOG,32TX,LOG,EGCC-EGPF
LOG32U,LOG,32U,LOG,EGPD-EGMC
LOG32YM,LOG,32YM,LOG,EGPD-EGSH
LOG33,LOG,33,LOG,EGPA-EGPD
LOG330,LOG,330,LOG,EGHI-EGPH
LOG338,LOG,338,LOG,EGFF-EGPH
LOG33B,LOG,33B,LOG,EGAC-EGPE
LOG33L,LOG,33L,LOG,EDDL-EGPF
LOG33NW,LOG,33NW,LOG,EGPD-EGNT
LOG33OX,LOG,33OX,LOG,EGPH-EGPC
LOG33WK,LOG,33WK,LOG,EGPD-EGPA
LOG33WP,LOG,33WP,LOG,EGCC-EGPE
LOG33X,LOG,33X,LOG,EGCC-EGHQ
LOG33YB,LOG,33YB,LOG,EGFF-EGPH
LOG34BP,LOG,34BP,LOG,EGPI-EGPF
LOG34CF,LOG,34CF,LOG,EGPA-EGPE
LOG34JD,LOG,34JD,LOG,EGNS-EGLC
LOG34MV,LOG,34MV,LOG,EIDW-EGPE
LOG34RT,LOG,34RT,LOG,EGCC-EGPD
LOG34W,LOG,34W,LOG,EGSH-EGPD
LOG34YR,LOG,34YR,LOG,EGPD-EGPB
LOG34YT,LOG,34YT,LOG,EGPR-EGPF
LOG35BC,LOG,35BC,LOG,EGSH-EGPH
LOG35MZ,LOG,35MZ,LOG,EGPH-EGHI
LOG35R,LOG,35R,LOG,EGPB-ENBR
LOG35XP,LOG,35XP,LOG,ENBR-EGNT
LOG36BL,LOG,36BL,LOG,EGPF-EIDL
LOG36KB,LOG,36KB,LOG,EGPA-EGPH
LOG36MJ,LOG,36MJ,LOG,EIDW-EGPD
LOG36PC,LOG,36PC,LOG,EGPD-EGNV
LOG36RA,LOG,36RA,LOG,EGLL-EGNV
LOG36U,LOG,36U,LOG,EIDW-EGPD
LOG371,LOG,371,LOG,EGCC-EGTE
LOG37BY,LOG,37BY,LOG,EGPF-EGCC
LOG37EZ,LOG,37EZ,LOG,EGPU-EGPF
LOG37FH,LOG,37FH,LOG,EGPH-EGPA
LOG37GL,LOG,37GL,LOG,EGNT-EGPD
LOG37JG,LOG,37JG,LOG,EGPD-EGPB
LOG37KL,LOG,37KL,LOG,EGPO-EGPH
LOG37RX,LOG,37RX,LOG,EGHI-EGPF
LOG37WK,LOG,37WK,LOG,EGPA-EGPD
LOG37YL,LOG,37YL,LOG,EGPF-EGPO
LOG38EF,LOG,38EF,LOG,EGPH-EGPA
LOG38TV,LOG,38TV,LOG,EGHQ-EGNT
LOG38X,LOG,38X,LOG,EGAE-EGMC
LOG397C,LOG,397C,LOG,EGPA-EGPH
LOG39D,LOG,39D,LOG,EGNS-EGLL
LOG39FB,LOG,39FB,LOG,EGPF-EGPI
LOG39GA,LOG,39GA,LOG,EGPL-EGPF
LOG39LN,LOG,39LN,LOG,EGNX-EGPE
LOG39YE,LOG,39YE,LOG,EGAC-EGNV
LOG3AB,LOG,3AB,LOG,EGPD-EGGD
LOG3BE,LOG,3BE,LOG,EGHQ-EGPH
LOG3CF,LOG,3CF,LOG,EGAC-EGPN
LOG3DT,LOG,3DT,LOG,EGPD-EGSH
LOG3GB,LOG,3GB,LOG,EGPF-EGJB
LOG3HP,LOG,3HP,LOG,EGPD-EGCC
LOG3JP,LOG,3JP,LOG,EGPH-EGHI
LOG3MV,LOG,3MV,LOG,EIDW-EGPE
LOG3NA,LOG,3NA,LOG,EGLL-EGNS
LOG3NB,LOG,3NB,LOG,EGNV-EGPD
LOG3QA,LOG,3QA,LOG,EGSH-EGTE
LOG3QD,LOG,3QD,LOG,EGPB-EGPD
LOG3T,LOG,3T,LOG,EGNV-EGPD
LOG3TC,LOG,3TC,LOG,EGPB-EGPF
LOG3TL,LOG,3TL,LOG,EGNV-EGPD
LOG3VH,LOG,3VH,LOG,EGPD-EGNV
LOG3WQ,LOG,3WQ,LOG,EGGD-EGPD
LOG3YT,LOG,3YT,LOG,EGBB-EGPD
LOG4,LOG,4,LOG,ENGM-EGPD-EGNT
LOG409,LOG,409,LOG,EGPF-EGPL
LOG41EG,LOG,41EG,LOG,EGPH-EGPA
LOG41FR,LOG,41FR,LOG,EGPF-EGPI
LOG41UX,LOG,41UX,LOG,EGNT-EGTE
LOG421,LOG,421,LOG,EGPF-EGPI
LOG422,LOG,422,LOG,EGPI-EGPF
LOG427,LOG,427,LOG,EGPF-EGPI
LOG428,LOG,428,LOG,EGPI-EGPF
LOG42CL,LOG,42CL,LOG,EGPF-EGHI
LOG42EH,LOG,42EH,LOG,EGPB-EGPF
LOG42ME,LOG,42ME,LOG,EGPA-EGPD
LOG42Q,LOG,42Q,LOG,ENBR-EGPB
LOG42SP,LOG,42SP,LOG,EGPH-EGHQ
LOG42XG,LOG,42XG,LOG,EGPD-ENGM
LOG42YM,LOG,42YM,LOG,EGPH-EGPB
LOG437C,LOG,437C,LOG,EGPA-EGPH
LOG43BD,LOG,43BD,LOG,EGPB-EGPF
LOG43GS,LOG,43GS,LOG,EGPC-EGPH
LOG43MA,LOG,43MA,LOG,EGPD-EGPA
LOG43MB,LOG,43MB,LOG,EGPD-EGPA
LOG43VW,LOG,43VW,LOG,EGPH-EGPC
LOG43W,LOG,43W,LOG,EGCC-EGHQ
LOG43YD,LOG,43YD,LOG,EGPO-EGPF
LOG44JF,LOG,44JF,LOG,EGPR-EGPF
LOG44L,LOG,44L,LOG,EGNT-ENZV
LOG44N,LOG,44N,LOG,EGPH-EGPE-EGPH
LOG44QL,LOG,44QL,LOG,EGPF-EGPL
LOG45EW,LOG,45EW,LOG,EGBB-EGPD
LOG46LD,LOG,46LD,LOG,EGPD-EGNT
LOG46MA,LOG,46MA,LOG,EGNS-EGCC
LOG46MS,LOG,46MS,LOG,EGPD-EGNV-EGHI
LOG46SP,LOG,46SP,LOG,EGGP-EGAE
LOG46TJ,LOG,46TJ,LOG,EGJB-EGJJ
LOG46XL,LOG,46XL,LOG,EGNV-EIDW
LOG47AQ,LOG,47AQ,LOG,EGNS-EGCC-EGHQ
LOG47CL,LOG,47CL,LOG,EGPF-EGHI
LOG47HR,LOG,47HR,LOG,EGPH-EGSH
LOG47RC,LOG,47RC,LOG,EGTE-EGPH
LOG47RH,LOG,47RH,LOG,EGSH-EGPH
LOG47XA,LOG,47XA,LOG,EGPN-EGAC
LOG47ZL,LOG,47ZL,LOG,EGPF-EGPO
LOG48CH,LOG,48CH,LOG,EGPF-EGPO
LOG48KG,LOG,48KG,LOG,EGLC-EGNS
LOG48NB,LOG,48NB,LOG,EGNV-EGLL
LOG48RG,LOG,48RG,LOG,EGLC-EGNS
LOG48TL,LOG,48TL,LOG,EGTE-EGPH
LOG490,LOG,490,LOG,EGHI-EGPF
LOG491,LOG,491,LOG,EGPF-EGHI
LOG499,LOG,499,LOG,EGPF-EGHI
LOG49BV,LOG,49BV,LOG,EGPR-EGPL
LOG49FJ,LOG,49FJ,LOG,EGPD-EGPA
LOG49FW,LOG,49FW,LOG,EGPB-EGPH
LOG49G,LOG,49G,LOG,EGPF-EGHI
LOG4AR,LOG,4AR,LOG,EGNT-EGTE
LOG4BR,LOG,4BR,LOG,EGPF-EGPR
LOG4BU,LOG,4BU,LOG,EGPD-EGNV
LOG4EB,LOG,4EB,LOG,EGMC-EGPD
LOG4ED,LOG,4ED,LOG,EGPE-EIDW
LOG4EW,LOG,4EW,LOG,EGPH-EGHI
LOG4FQ,LOG,4FQ,LOG,EGPE-EGCC
LOG4HP,LOG,4HP,LOG,EGPD-EGCC
LOG4MB,LOG,4MB,LOG,EGSH-EGTE
LOG4MG,LOG,4MG,LOG,EGCC-EGTE
LOG4PH,LOG,4PH,LOG,EGCC-EGPD
LOG4QK,LOG,4QK,LOG,EGSH-EGPD
LOG4RU,LOG,4RU,LOG,EGLL-EGAE
LOG4SP,LOG,4SP,LOG,EGGD-EGPD
LOG4ZH,LOG,4ZH,LOG,EGSH-EGPD
LOG51,LOG,51,LOG,EGPD-EIDW
LOG51CE,LOG,51CE,LOG,EGPF-EGCC
LOG51D,LOG,51D,LOG,EGAE-EGLL
LOG51MW,LOG,51MW,LOG,EGNS-EGGP
LOG51RE,LOG,51RE,LOG,EGPF-EGNX
LOG51S,LOG,51S,LOG,EGPB-EGPD
LOG51SN,LOG,51SN,LOG,EGPD-ENGM
LOG51VC,LOG,51VC,LOG,EGPO-EGPE
LOG52,LOG,52,LOG,EIDW-EGPD
LOG522,LOG,522,LOG,EGPD-EGSH-EGTE
LOG525,LOG,525,LOG,EGNS-EGCC
LOG526,LOG,526,LOG,EGPD-EGSH-EGTE
LOG527,LOG,527,LOG,EGTE-EGSH-EGPD
LOG52L,LOG,52L,LOG,EGLL-EGAE
LOG52PU,LOG,52PU,LOG,EGPB-EGPH
LOG52TH,LOG,52TH,LOG,EGNV-EGLL
LOG52UK,LOG,52UK,LOG,EGPF-EGPI
LOG52VD,LOG,52VD,LOG,EGCC-EGPE
LOG533,LOG,533,LOG,EGNT-EGHI
LOG534,LOG,534,LOG,EGHI-EGNT
