Callsign,Code,Number,AirlineCode,AirportCodes
LPA1063,LPA,1063,LPA,ESSA-ENGM
LPA1066,LPA,1066,LPA,ENGM-ESSA
LPA110,LPA,110,LPA,ENOL-ENGM
LPA111,LPA,111,LPA,ENGM-ENOL
LPA112,LPA,112,LPA,ENOL-ENGM
LPA115,LPA,115,LPA,ENGM-ENOL
LPA116,LPA,116,LPA,ENOL-ENGM
LPA130,LPA,130,LPA,ENGM-ENRO
LPA131,LPA,131,LPA,ENRO-ENGM
LPA132,LPA,132,LPA,ENGM-ENRO
LPA133,LPA,133,LPA,ENRO-ENGM
LPA135,LPA,135,LPA,ENRO-ENGM
LPA137,LPA,137,LPA,ENRO-ENGM
LPA169A,LPA,169A,LPA,ESSB-ESMT-ESTA
LPA201,LPA,201,LPA,ESGJ-ESSA
LPA202,LPA,202,LPA,ESSA-ESGJ
LPA203,LPA,203,LPA,ESGJ-ESSA
LPA205,LPA,205,LPA,ESGJ-ESSA
LPA206,LPA,206,LPA,ESSA-ESGJ
LPA207,LPA,207,LPA,ESGJ-ESSA
LPA208,LPA,208,LPA,ESSA-ESGJ
LPA2083,LPA,2083,LPA,ESSB-ESSV
LPA2086,LPA,2086,LPA,ESSV-ESSB
LPA2087,LPA,2087,LPA,ESSB-ESSV
LPA2144,LPA,2144,LPA,ESDF-ESSB
LPA2162,LPA,2162,LPA,ESTA-ESSB
LPA2167,LPA,2167,LPA,ESSB-ESTA
LPA2169,LPA,2169,LPA,ESSB-ESTA
LPA2195,LPA,2195,LPA,ESSB-ESMS
LPA2422,LPA,2422,LPA,ESMT-ESSB
LPA2426,LPA,2426,LPA,ESMT-ESSB
LPA252,LPA,252,LPA,ESOK-ESSA
LPA258,LPA,258,LPA,ESOK-ESSA
LPA259,LPA,259,LPA,ESSA-ESOK
LPA301,LPA,301,LPA,EFMA-ESSA
LPA302,LPA,302,LPA,ESSA-EFMA
LPA304,LPA,304,LPA,ESSA-EFMA
LPA306,LPA,306,LPA,ESSA-EFMA
LPA322,LPA,322,LPA,EFMA-EFTU
LPA325,LPA,325,LPA,EFTU-EFMA
LPA342,LPA,342,LPA,ESSA-EFTU
LPA343,LPA,343,LPA,EFTU-ESSA
LPA346,LPA,346,LPA,ESSA-EFTU
LPA347,LPA,347,LPA,EFTU-ESSA
LPA9722,LPA,9722,LPA,ESSA-EFMA
