Callsign,Code,Number,AirlineCode,AirportCodes
LTG6553,LTG,6553,LTG,SBEG-SBGR
LTG6574,LTG,6574,LTG,SBGR-SBEG
LTG6577,LTG,6577,LTG,SBEG-SBGR
LTG8420,LTG,8420,LTG,SBEG-SEQM-KMIA
LTG8472,LTG,8472,LTG,SBKP-SCEL-KMIA
LTG8484,LTG,8484,LTG,SBEG-SEQM
LTG8485,LTG,8485,LTG,KMIA-SBEG-SBGR
LTG8487,LTG,8487,LTG,KMIA-SBEG-SBSV-SBRF
LTG8490,LTG,8490,LTG,SBKP-SAEZ-SCEL
LTG8491,LTG,8491,LTG,SCEL-SBKP
LTG8492,LTG,8492,LTG,SBKP-SAEZ-SCEL
LTG8493,LTG,8493,LTG,SCEL-SBGR-SBKP
LTG8494,LTG,8494,LTG,SBKP-SAEZ-SCEL
LTG8495,LTG,8495,LTG,SCEL-SBGR-SBKP
LTG8496,LTG,8496,LTG,SBKP-SAEZ-SCEL
LTG8497,LTG,8497,LTG,SCEL-SBGR
LTG8498,LTG,8498,LTG,SBKP-SAEZ-SCEL
LTG8499,LTG,8499,LTG,SCEL-SBGR-SBKP
LTG9832,LTG,9832,LTG,SBKP-SEQM-KMIA-MMMX
