Callsign,Code,Number,AirlineCode,AirportCodes
MAL7050,MAL,7050,MAL,CYYZ-CYWG-CYEG-CYYC
MAL7051,MAL,7051,MAL,CYYZ-CYWG-CYEG-CYVR
MAL7054,MAL,7054,MAL,CYHZ-CYQM-CYMX-CYYZ
MAL7055,MAL,7055,MAL,CYYC-CYVR
MAL7056,MAL,7056,MAL,CYTS-CYSB-CYYZ
MAL7059,MAL,7059,MAL,CYQR-CYYC
MAL7070,MAL,7070,MAL,CYYC-CYWG-CYYZ
MAL7072,MAL,7072,MAL,CYCD-CYVR
MAL7079,MAL,7079,MAL,CYYZ-CYWG-CYVR
MAL7080,MAL,7080,MAL,CYYZ-CYWG-CYVR
MAL7082,MAL,7082,MAL,CYMX-CYYZ
MAL7088,MAL,7088,MAL,CYYC-CYWG
MAL7090,MAL,7090,MAL,CYYZ-CYYC
MAL7091,MAL,7091,MAL,CYYZ-CYYC
MAL7092,MAL,7092,MAL,CYYZ-CYVR
MAL8058,MAL,8058,MAL,CYYC-CYQR-CYYC
MAL8060,MAL,8060,MAL,CYWG-CYQT
MAL8062,MAL,8062,MAL,CYYZ-CYQM-CYHZ
MAL8066,MAL,8066,MAL,CYYC-CYXE-CYYC
MAL8071,MAL,8071,MAL,CYVR-CYYJ-CYVR
MAL8072,MAL,8072,MAL,CYVR-CYYJ-CYVR
MAL8073,MAL,8073,MAL,CYVR-CYYJ-CYVR
MAL8079,MAL,8079,MAL,CYVR-CYYZ
MAL8080,MAL,8080,MAL,CYYC-CYWG-CYYZ
MAL8082,MAL,8082,MAL,CYYZ-CYMX-CYYZ
MAL8084,MAL,8084,MAL,CYAM-CYYZ
MAL8088,MAL,8088,MAL,CYWG-CYYC
MAL8090,MAL,8090,MAL,CYYC-CYYZ
MAL8092,MAL,8092,MAL,CYVR-CYYZ
MAL8095,MAL,8095,MAL,CYYZ-CYYB
