Callsign,Code,Number,AirlineCode,AirportCodes
MFX205,MFX,205,MFX,UTTT-UAAA
MFX206,MFX,206,MFX,UAAA-UTTT
MFX220,MFX,220,MFX,UCFM-UTTT
MFX221,MFX,221,MFX,UTTT-UGTB
MFX2214,MFX,2214,MFX,UCFL-UTTT
MFX225,MFX,225,MFX,UTTT-UGSB
MFX226,MFX,226,MFX,UGSB-UTTT
MFX242,MFX,242,MFX,UTDD-UTTT
MFX251,MFX,251,MFX,UTTT-UBBB
MFX252,MFX,252,MFX,UBBB-UTTT
MFX302,MFX,302,MFX,LTFM-UTTT
MFX305,MFX,305,MFX,UTTT-LTFM
MFX306,MFX,306,MFX,LTFM-UTTT
MFX311,MFX,311,MFX,UTSS-LTFM
MFX312,MFX,312,MFX,LTFM-UTSS
MFX313,MFX,313,MFX,UTFN-LTFM
MFX320,MFX,320,MFX,OEJN-UTTT
MFX321,MFX,321,MFX,UTTT-OEJN
MFX322,MFX,322,MFX,OEJN-UTTT
MFX325,MFX,325,MFX,UTTT-UGSB
MFX327,MFX,327,MFX,UTST-OEJN
MFX328,MFX,328,MFX,OEJN-UTST
MFX3309,MFX,3309,MFX,UTTT-LTCG
MFX3319,MFX,3319,MFX,UTTT-OEJN
MFX3320,MFX,3320,MFX,OEJN-UTTT
MFX3321,MFX,3321,MFX,UTTT-OEJN
MFX3322,MFX,3322,MFX,OEJN-UTTT
MFX3326,MFX,3326,MFX,OEJN-UTFN
MFX3341,MFX,3341,MFX,UTTT-OTHH
MFX3355,MFX,3355,MFX,UTTT-OMDW
MFX3356,MFX,3356,MFX,OMDW-UTTT
MFX351,MFX,351,MFX,UTTT-OMDB
MFX352,MFX,352,MFX,OMDB-UTTT
MFX371,MFX,371,MFX,UTTT-LLBG
MFX372,MFX,372,MFX,LLBG-UTTT
MFX401,MFX,401,MFX,UTTT-UUEE
MFX402,MFX,402,MFX,UUEE-UTTT
MFX403,MFX,403,MFX,UTTT-UUEE
MFX404,MFX,404,MFX,UUEE-UTTT
MFX445,MFX,445,MFX,UTTT-UNNT
MFX446,MFX,446,MFX,UNNT-UTTT
MFX449,MFX,449,MFX,UTTT-URMM
MFX450,MFX,450,MFX,URMM-UTTT
MFX511,MFX,511,MFX,UTTT-ZGGG
MFX512,MFX,512,MFX,ZGGG-UTTT
MFX525,MFX,525,MFX,UTTT-VTBS
MFX526,MFX,526,MFX,VTBS-UTTT
MFX549,MFX,549,MFX,UTTT-RKSI
MFX550,MFX,550,MFX,RKSI-UTTT
MFX611,MFX,611,MFX,UTTT-ZGSZ
MFX612,MFX,612,MFX,ZGSZ-UTTT
MFX623,MFX,623,MFX,UTTT-ZSPD
MFX624,MFX,624,MFX,ZSPD-UTTT
MFX645,MFX,645,MFX,UTTT-ZHEC
MFX646,MFX,646,MFX,ZHEC-UTTT
