Callsign,Code,Number,AirlineCode,AirportCodes
MKR502,MKR,502,MKR,VDSV-VMMC
MKR507,MKR,507,MKR,VMMC-VDSR
MKR670,MKR,670,MKR,VDPP-VTBS
MKR671,MKR,671,MKR,VTBS-VDPP
MKR771,MKR,771,MKR,WMKK-VDPP
MKR855,MKR,855,MKR,ZSAM-VDSV
MKR870,MKR,870,MKR,VDSR-VDSV-ZGSZ
MKR884,MKR,884,MKR,VDPP-ZLXY
MKR885,MKR,885,MKR,ZLXY-VDPP
MKR9009,MKR,9009,MKR,WIII-VDPP
MKR9017,MKR,9017,MKR,VDPP-VNKT
MKR9018,MKR,9018,MKR,VNKT-VDPP
MKR908,MKR,908,MKR,VDSV-VDPP-ZGGG
MKR909,MKR,909,MKR,ZGGG-VDPP
MKR9103,MKR,9103,MKR,OPLA-VDPP
MKR9508,MKR,9508,MKR,PTRO-VMMC
MKR9509,MKR,9509,MKR,VMMC-PTRO
MKR9691,MKR,9691,MKR,VYYY-VDPP
MKR970,MKR,970,MKR,VDSV-VDPP-VHHH
MKR971,MKR,971,MKR,VHHH-VDPP-VDSV
MKR977,MKR,977,MKR,VDSV-VDPP-VHHH
MKR9790,MKR,9790,MKR,VDPP-WIII
MKR9791,MKR,9791,MKR,WARR-VDPP
