Callsign,Code,Number,AirlineCode,AirportCodes
MTN7304,MTN,7304,MTN,KBWI-KEWR-KBWI
MTN7326,MTN,7326,MTN,KBUF-KIND
MTN7505,MTN,7505,MTN,KCAE-KGSO
MTN8110,MTN,8110,MTN,TJBQ-TLPC
MTN8121,MTN,8121,MTN,KMIA-MYNN
MTN8129,MTN,8129,MTN,TJBQ-TTPP
MTN8277,MTN,8277,MTN,KAFW-KSHV
MTN8307,MTN,8307,MTN,KEWR-KMDT
MTN8311,MTN,8311,MTN,KEWR-KBWI-KEWR
MTN8313,MTN,8313,MTN,KEWR-KIAD-KEWR
MTN8319,MTN,8319,MTN,KEWR-KBTV-KEWR
MTN8325,MTN,8325,MTN,KIND-KRST-KIND
MTN8326,MTN,8326,MTN,KIND-KBUF
MTN8327,MTN,8327,MTN,KIND-KLCK-KIND
MTN8345,MTN,8345,MTN,KIND-KPKB-KIND
MTN8349,MTN,8349,MTN,KIND-KBUF
MTN8356,MTN,8356,MTN,KMEM-KTYS-KMEM
MTN8368,MTN,8368,MTN,KMEM-KBFM-KMEM
MTN8375,MTN,8375,MTN,KMEM-KBHM-KMEM
MTN8385,MTN,8385,MTN,KMEM-KTLH-KMEM
MTN8387,MTN,8387,MTN,KMEM-KCHS-KMEM
MTN8459,MTN,8459,MTN,KCLE-KERI-KCLE
MTN8472,MTN,8472,MTN,KMDT-KIPT
MTN8502,MTN,8502,MTN,KGSO-KCHS-KGSO
MTN8503,MTN,8503,MTN,KRDU-KEWN
MTN8508,MTN,8508,MTN,KRDU-KILM
MTN8553,MTN,8553,MTN,KMSP-KDLH
MTN8590,MTN,8590,MTN,KFAR-KBIS
MTN8910,MTN,8910,MTN,KIND-KBUF
