Callsign,Code,Number,AirlineCode,AirportCodes
MWG3010,MWG,3010,MWG,WBKK-WBKD
MWG3011,MWG,3011,MWG,WBKD-WBKK
MWG3012,MWG,3012,MWG,WBKK-WBKD
MWG3013,MWG,3013,MWG,WBKD-WBKK
MWG3014,MWG,3014,MWG,WBKK-WBKD
MWG3015,MWG,3015,MWG,WBKD-WBKK
MWG3016,MWG,3016,MWG,WBKK-WBKD
MWG3017,MWG,3017,MWG,WBKD-WBKK
MWG3018,MWG,3018,MWG,WBKK-WBKD
MWG3019,MWG,3019,MWG,WBKD-WBKK
MWG3040,MWG,3040,MWG,WBKL-WBKK
MWG3041,MWG,3041,MWG,WBKK-WBKL
MWG3042,MWG,3042,MWG,WBKL-WBKK
MWG3043,MWG,3043,MWG,WBKK-WBKL
MWG3044,MWG,3044,MWG,WBKL-WBKK
MWG3045,MWG,3045,MWG,WBKK-WBKL
MWG3046,MWG,3046,MWG,WBKL-WBKK
MWG3047,MWG,3047,MWG,WBKK-WBKL
MWG3048,MWG,3048,MWG,WBKL-WBKK
MWG3061,MWG,3061,MWG,WBKS-WBKW
MWG3062,MWG,3062,MWG,WBKW-WBKS
MWG3154,MWG,3154,MWG,WBKD-WBKS
MWG3155,MWG,3155,MWG,WBKS-WBKD
MWG3220,MWG,3220,MWG,WBGR-WBKL
MWG3221,MWG,3221,MWG,WBKL-WBGR
MWG3222,MWG,3222,MWG,WBGR-WBKL
MWG3223,MWG,3223,MWG,WBKL-WBGR
MWG3224,MWG,3224,MWG,WBGR-WBKL
MWG3225,MWG,3225,MWG,WBKL-WBGR
MWG3226,MWG,3226,MWG,WBGR-WBKL
MWG3227,MWG,3227,MWG,WBKL-WBGR
MWG3228,MWG,3228,MWG,WBGR-WBKL
MWG3229,MWG,3229,MWG,WBKL-WBGR
MWG3251,MWG,3251,MWG,WBKK-WBMU
MWG3252,MWG,3252,MWG,WBMU-WBKK
MWG3415,MWG,3415,MWG,WBGG-WBGK
MWG3420,MWG,3420,MWG,WBGK-WBGG
MWG3421,MWG,3421,MWG,WBGG-WBGK
MWG3422,MWG,3422,MWG,WBGK-SEMH
MWG3423,MWG,3423,MWG,WBGG-WBGK
MWG3445,MWG,3445,MWG,WBGR-WBGB
MWG3446,MWG,3446,MWG,WBGB-WBGR
MWG3470,MWG,3470,MWG,WBGR-WBGJ
MWG3471,MWG,3471,MWG,WBGJ-WBGR
MWG3472,MWG,3472,MWG,WBGR-WBGJ
MWG3473,MWG,3473,MWG,WBGJ-WBGR
MWG3475,MWG,3475,MWG,WBGJ-WBGR
MWG3476,MWG,3476,MWG,WBGR-WBGJ
MWG3631,MWG,3631,MWG,WBMU-WBGR
MWG3632,MWG,3632,MWG,WBGR-WBMU
MWG3651,MWG,3651,MWG,WBGR-WBGS
MWG3652,MWG,3652,MWG,WBGS-WBGR
MWG3744,MWG,3744,MWG,WBGS-WBGB
MWG3753,MWG,3753,MWG,WBMU-WBGG
MWG3760,MWG,3760,MWG,WBGG-WBGJ
MWG3761,MWG,3761,MWG,WBGJ-WBGG
MWG5193,MWG,5193,MWG,WBKK-WMKK
