Callsign,Code,Number,AirlineCode,AirportCodes
MXY100,MXY,100,MXY,KTPA-KCHS
MXY101,MXY,101,MXY,KBDL-KCHS-KTPA
MXY103,MXY,103,MXY,KBDL-KCHS-KTPA
MXY104,MXY,104,MXY,KTPA-KSDF
MXY105,MXY,105,MXY,KSDF-KTPA
MXY106,MXY,106,MXY,KTPA-KMEM
MXY107,MXY,107,MXY,KMEM-KTPA
MXY110,MXY,110,MXY,KTPA-KXNA
MXY111,MXY,111,MXY,KXNA-KTPA
MXY112,MXY,112,MXY,KTPA-KBTV
MXY113,MXY,113,MXY,KDFW-KPVU
MXY114,MXY,114,MXY,KTPA-KBTV
MXY115,MXY,115,MXY,KBTV-KTPA
MXY116,MXY,116,MXY,KTPA-KRIC-KLAS
MXY117,MXY,117,MXY,KLAS-KRIC-KTPA
MXY119,MXY,119,MXY,KOKC-KTPA
MXY120,MXY,120,MXY,KTPA-KHSV-KLAS
MXY1202,MXY,1202,MXY,MDPC-KCHS
MXY121,MXY,121,MXY,KLAS-KHSV-KTPA
MXY122,MXY,122,MXY,KTPA-KCAK
MXY123,MXY,123,MXY,KCAK-KTPA
MXY128,MXY,128,MXY,KTPA-KORF
MXY129,MXY,129,MXY,KORF-KTPA
MXY130,MXY,130,MXY,KTPA-KMSN-KLAX
MXY131,MXY,131,MXY,KLAX-KMSN-KTPA
MXY134,MXY,134,MXY,KTPA-KRDU-KBTV
MXY135,MXY,135,MXY,KBTV-KRDU-KTPA
MXY136,MXY,136,MXY,KTPA-KSYR
MXY137,MXY,137,MXY,KSYR-KTPA
MXY138,MXY,138,MXY,KTPA-KPWM
MXY139,MXY,139,MXY,KPWM-KTPA
MXY140,MXY,140,MXY,KTPA-KPIT
MXY141,MXY,141,MXY,KPIT-KTPA
MXY142,MXY,142,MXY,KTPA-KMEM
MXY143,MXY,143,MXY,KMEM-KTPA
MXY144,MXY,144,MXY,KTPA-KEYW
MXY145,MXY,145,MXY,KEYW-KTPA
MXY146,MXY,146,MXY,KTPA-KSPI
MXY147,MXY,147,MXY,KSPI-KTPA
MXY148,MXY,148,MXY,KTPA-KGPT-KLAS
MXY149,MXY,149,MXY,KLAS-KGPT-KTPA
MXY150,MXY,150,MXY,KTPA-KAVP
MXY151,MXY,151,MXY,KAVP-KTPA
MXY152,MXY,152,MXY,KTPA-KAVP
MXY153,MXY,153,MXY,KAVP-KTPA
MXY156,MXY,156,MXY,KTPA-KGSP-KPVD
MXY157,MXY,157,MXY,KPVD-KGSP-KTPA
MXY158,MXY,158,MXY,KEYW-KMCO
MXY159,MXY,159,MXY,KMCO-KEYW
