Callsign,Code,Number,AirlineCode,AirportCodes
MZS1001,MZS,1001,MZS,HECA-HEMM
MZS101,MZS,101,MZS,HEMA-LFPG
MZS1040,MZS,1040,MZS,HECA-HEGN
MZS3142,MZS,3142,MZS,EHAM-HEGN
MZS3179,MZS,3179,MZS,HEGN-EHAM
MZS3180,MZS,3180,MZS,EHAM-HEGN
MZS3255,MZS,3255,MZS,HEGN-EBBR
MZS3256,MZS,3256,MZS,EBBR-HELX
MZS3301,MZS,3301,MZS,HECA-LFPG
MZS3311,MZS,3311,MZS,LIMC-LFPG
MZS3312,MZS,3312,MZS,LFPG-HECA
MZS3313,MZS,3313,MZS,HEGN-LFPG
MZS3330,MZS,3330,MZS,HECA-LFPG
MZS3331,MZS,3331,MZS,LFPG-HECA
MZS3345,MZS,3345,MZS,HEGN-LFPG
MZS3346,MZS,3346,MZS,LFPG-HETB
MZS3347,MZS,3347,MZS,HELX-LFPG
MZS3348,MZS,3348,MZS,LFPG-LFBO
MZS3351,MZS,3351,MZS,HESH-LFPG
MZS3352,MZS,3352,MZS,LFPG-HEGN
MZS3353,MZS,3353,MZS,HEGN-LFPG
MZS3354,MZS,3354,MZS,LFPG-LFRS-HEGN
MZS3355,MZS,3355,MZS,HEGN-LFPG
MZS3356,MZS,3356,MZS,LFPG-HEMA
MZS3357,MZS,3357,MZS,HEMA-LFPG
MZS3387,MZS,3387,MZS,HEMA-LFPG
MZS3388,MZS,3388,MZS,LFPG-HELX
MZS3389,MZS,3389,MZS,HELX-HESH-LFPG
MZS3390,MZS,3390,MZS,LFPG-HELX
MZS3394,MZS,3394,MZS,LFPG-LFRS
MZS3622,MZS,3622,MZS,LHBP-HEGN
MZS3652,MZS,3652,MZS,LHBP-HEGN
MZS3844,MZS,3844,MZS,LYBE-HEGN
MZS3918,MZS,3918,MZS,LIME-HECA
MZS3976,MZS,3976,MZS,LIMC-LIPE
MZS3977,MZS,3977,MZS,HEGN-LIMC
MZS3978,MZS,3978,MZS,LIMC-HEMA
MZS4267,MZS,4267,MZS,LZIB-HETB
MZS4301,MZS,4301,MZS,HEGN-LOWS
MZS4303,MZS,4303,MZS,HEGN-LOWS
MZS4334,MZS,4334,MZS,EPGD-HEGN
MZS4521,MZS,4521,MZS,HESH-EPGD
MZS4522,MZS,4522,MZS,EPGD-HESH
MZS4523,MZS,4523,MZS,HESH-EPWR
MZS4527,MZS,4527,MZS,HEGN-EPKT
MZS4528,MZS,4528,MZS,EPKT-HEGN
MZS4533,MZS,4533,MZS,HESH-EPKT
MZS4541,MZS,4541,MZS,HEGN-EPLL
MZS4542,MZS,4542,MZS,EPLL-HEGN
MZS4551,MZS,4551,MZS,HEGN-EPSC
MZS4552,MZS,4552,MZS,EPKK-HEGN
MZS4554,MZS,4554,MZS,EPGD-HEGN
MZS4555,MZS,4555,MZS,HEGN-EPWR
MZS4556,MZS,4556,MZS,HEGN-EPWR
MZS4558,MZS,4558,MZS,EPLL-EPBY
MZS4573,MZS,4573,MZS,HESH-EKCH
MZS4574,MZS,4574,MZS,EKCH-HESH
MZS4635,MZS,4635,MZS,HESH-EPPO
MZS4636,MZS,4636,MZS,EPPO-HESH
MZS4642,MZS,4642,MZS,EPKT-EPWA
MZS4663,MZS,4663,MZS,HEGN-EPBY
MZS4666,MZS,4666,MZS,EPRZ-HEGN
MZS4751,MZS,4751,MZS,HESH-ENGM
MZS4752,MZS,4752,MZS,ENGM-HESH
MZS4753,MZS,4753,MZS,HESH-ENTO
MZS4754,MZS,4754,MZS,ENTO-HESH
MZS4771,MZS,4771,MZS,HESH-ENGM
MZS4772,MZS,4772,MZS,ENGM-HESH
MZS4775,MZS,4775,MZS,HEGN-EKCH
MZS4822,MZS,4822,MZS,EPPO-EPWR
MZS4831,MZS,4831,MZS,HESH-EPWA
MZS4842,MZS,4842,MZS,EPRZ-HEGN
MZS4843,MZS,4843,MZS,HEGN-EPKT
MZS4844,MZS,4844,MZS,EPKT-HEGN
MZS4848,MZS,4848,MZS,EPWR-HEGN
MZS4851,MZS,4851,MZS,HEGN-EPWR
MZS4852,MZS,4852,MZS,HEGN-EPWR
MZS4854,MZS,4854,MZS,EPLL-EPRZ
MZS4857,MZS,4857,MZS,HEGN-EPWR
MZS4882,MZS,4882,MZS,EPKT-HEGN
MZS4883,MZS,4883,MZS,HEGN-EPWR
MZS4951,MZS,4951,MZS,HEGN-EDDP
MZS4952,MZS,4952,MZS,EDDP-HEGN
MZS4961,MZS,4961,MZS,HEGN-EDDL
MZS4962,MZS,4962,MZS,EDDL-HEGN
MZS4963,MZS,4963,MZS,EDDF-HEGN
MZS4964,MZS,4964,MZS,EDDF-HEGN
MZS4971,MZS,4971,MZS,HEGN-EDDM
MZS4972,MZS,4972,MZS,EDDB-HEGN
MZS4973,MZS,4973,MZS,EDDM-EDDB
MZS4974,MZS,4974,MZS,EDDB-HEGN
MZS7472,MZS,7472,MZS,HESH-ESSA
MZS7473,MZS,7473,MZS,ESSA-HESH
MZS8852,MZS,8852,MZS,LYBE-HEGN
MZS9732,MZS,9732,MZS,VGHS-OMSJ
