Callsign,Code,Number,AirlineCode,AirportCodes
NAY219R,NAY,219R,NAY,GCFV-GCLP
NAY21XK,NAY,21XK,NAY,GCRR-GCTS
NAY398H,NAY,398H,NAY,GCLP-GCFV
NAY4277,NAY,4277,NAY,ESSA-LPPT
NAY45UM,NAY,45UM,NAY,GCLA-GCLP
NAY4GV,NAY,4GV,NAY,GCRR-GCXO
NAY4KT,NAY,4KT,NAY,GCRR-GCLP
NAY514,NAY,514,NAY,GCLP-GCRR
NAY66YT,NAY,66YT,NAY,GCLP-GCRR
NAY73LU,NAY,73LU,NAY,GCTS-GCLP
NAY78PR,NAY,78PR,NAY,GCLP-GCFV
NAY79EY,NAY,79EY,NAY,GCLP-GCRR
NAY7GZ,NAY,7GZ,NAY,GCXO-GCRR
NAY7JU,NAY,7JU,NAY,GCXO-GCLA
NAY7WR,NAY,7WR,NAY,GCLP-GCRR
NAY81QY,NAY,81QY,NAY,GCFV-GCLP
NAY84ZL,NAY,84ZL,NAY,GCRR-GCLP
NAY87EZ,NAY,87EZ,NAY,GCXO-GCLP
NAY97YA,NAY,97YA,NAY,GCRR-GCLP
