Callsign,Code,Number,AirlineCode,AirportCodes
NCA101,NCA,101,NCA,KLAX-RJAA
NCA105,NCA,105,NCA,KLAX-RJAA
NCA106,NCA,106,NCA,RJAA-KLAX
NCA108,NCA,108,NCA,RJAA-KLAX
NCA109,NCA,109,NCA,KLAX-KSFO-RJAA
NCA110,NCA,110,NCA,RJAA-KLAX
NCA115,NCA,115,NCA,PANC-RJAA
NCA115D,NCA,115D,NCA,PANC-RJAA
NCA122,NCA,122,NCA,RJAA-KSFO
NCA128,NCA,128,NCA,RJAA-PANC
NCA130,NCA,130,NCA,RJAA-PANC
NCA131,NCA,131,NCA,KORD-PANC-RJAA
NCA132,NCA,132,NCA,RJAA-PANC-KORD
NCA133,NCA,133,NCA,KORD-PANC-RJAA
NCA134,NCA,134,NCA,RJAA-PANC-KORD
NCA136,NCA,136,NCA,RJAA-PANC-KORD
NCA138,NCA,138,NCA,RJAA-PANC-KORD
NCA139,NCA,139,NCA,KORD-KLAX
NCA143,NCA,143,NCA,KORD-RJAA
NCA148,NCA,148,NCA,RJAA-KLAX
NCA151,NCA,151,NCA,KSFO-RJAA
NCA156,NCA,156,NCA,KORD-EDFH
NCA159,NCA,159,NCA,KORD-KJFK-PANC-RJAA
NCA160,NCA,160,NCA,RJAA-PANC-KORD
NCA166,NCA,166,NCA,RJAA-PANC
NCA167,NCA,167,NCA,KDFW-KORD-PANC-RJAA
NCA168,NCA,168,NCA,RJAA-PANC-KDFW
NCA17,NCA,17,NCA,EHAM-LIMC-RJAA
NCA175,NCA,175,NCA,KSFO-RJAA
NCA178,NCA,178,NCA,RJAA-KLAX
NCA18,NCA,18,NCA,RJAA-EHAM-LIMC
NCA182,NCA,182,NCA,KORD-EDFH
NCA187,NCA,187,NCA,KORD-KDFW-PANC-RJAA
NCA188,NCA,188,NCA,RJAA-PANC-KORD-EDFH
NCA19,NCA,19,NCA,LIMC-RJAA
NCA190,NCA,190,NCA,KORD-EDFH
NCA192,NCA,192,NCA,RJAA-PANC-KORD-EDFH
NCA194,NCA,194,NCA,RJAA-RKSI
NCA196,NCA,196,NCA,RJAA-ZSPD-PANC-KORD
NCA201,NCA,201,NCA,RJAA-VHHH
NCA202,NCA,202,NCA,VHHH-RJAA
NCA202D,NCA,202D,NCA,VHHH-RJAA
NCA203,NCA,203,NCA,RJAA-VHHH
NCA204,NCA,204,NCA,VHHH-RJAA
NCA205,NCA,205,NCA,RJAA-VHHH
NCA206,NCA,206,NCA,VHHH-RJAA
NCA207,NCA,207,NCA,RJAA-VHHH
NCA208,NCA,208,NCA,VHHH-RJAA
NCA209,NCA,209,NCA,RJAA-VHHH
NCA211,NCA,211,NCA,RJAA-RKSI
NCA212,NCA,212,NCA,RKSI-RJAA
NCA214,NCA,214,NCA,RKSI-RJAA
NCA217,NCA,217,NCA,RJAA-RKSI
NCA223,NCA,223,NCA,RJAA-ZSPD
NCA225,NCA,225,NCA,RJAA-ZSPD
NCA226,NCA,226,NCA,ZSPD-RJAA
NCA227,NCA,227,NCA,RJAA-ZSPD
NCA228,NCA,228,NCA,ZSPD-RJAA
NCA229,NCA,229,NCA,RJAA-ZSPD
NCA235,NCA,235,NCA,RJAA-WSSS
NCA239,NCA,239,NCA,RJAA-VTBS
NCA241,NCA,241,NCA,RJAA-RCTP
NCA242,NCA,242,NCA,RCTP-RJAA
NCA250,NCA,250,NCA,RCTP-RKSI-RJAA
NCA254,NCA,254,NCA,WSSS-VTBS-RJAA
NCA256,NCA,256,NCA,VTBS-RJAA
NCA260,NCA,260,NCA,VTBS-VHHH-RJAA
NCA262,NCA,262,NCA,VTBS-RJAA
NCA263,NCA,263,NCA,RJAA-WSSS-VTBS
NCA270,NCA,270,NCA,WSSS-RJAA
NCA280,NCA,280,NCA,VHHH-RJAA
NCA283,NCA,283,NCA,RJAA-RJBB-WSSS
NCA285,NCA,285,NCA,RJAA-RJBB
NCA289,NCA,289,NCA,RJAA-RJBB
NCA30,NCA,30,NCA,RJAA-EDFH-EHAM
NCA325,NCA,325,NCA,UNKL-EHAM
NCA38,NCA,38,NCA,RJAA-PANC-EDDF
NCA39,NCA,39,NCA,ELLX-RJAA
NCA4,NCA,4,NCA,RJAA-PANC-EHAM
NCA416,NCA,416,NCA,RKSI-RJBB-RJAA
NCA47,NCA,47,NCA,EHAM-LIMC-RJAA
NCA48,NCA,48,NCA,RJAA-EHAM
