Callsign,Code,Number,AirlineCode,AirportCodes
NKS1,NKS,1,NKS,KORD-KFLL
NKS100,NKS,100,NKS,KFLL-TNCM
NKS1001,NKS,1001,NKS,KFLL-KACY
NKS1002,NKS,1002,NKS,KDTW-KMYR
NKS1003,NKS,1003,NKS,KMYR-KEWR
NKS1004,NKS,1004,NKS,KEWR-KMYR
NKS1005,NKS,1005,NKS,KMYR-KBOS
NKS1006,NKS,1006,NKS,KBOS-KMYR
NKS1007,NKS,1007,NKS,KMYR-KDTW
NKS1008,NKS,1008,NKS,KPHL-MMUN
NKS1009,NKS,1009,NKS,MMUN-KPHL
NKS101,NKS,101,NKS,TNCM-KFLL
NKS1010,NKS,1010,NKS,KMCO-KACY
NKS1011,NKS,1011,NKS,KACY-KPBI
NKS1012,NKS,1012,NKS,KPBI-KACY
NKS1013,NKS,1013,NKS,KACY-KMCO
NKS1014,NKS,1014,NKS,KDFW-KMIA
NKS1015,NKS,1015,NKS,KIAH-KBWI
NKS1016,NKS,1016,NKS,KBNA-KMIA
NKS1017,NKS,1017,NKS,KMIA-KMSY
NKS1018,NKS,1018,NKS,KMSY-KMIA
NKS1019,NKS,1019,NKS,KMIA-KDFW
NKS102,NKS,102,NKS,KMYR-KEWR
NKS1020,NKS,1020,NKS,KDFW-KLAX
NKS1021,NKS,1021,NKS,KLAX-KDFW
NKS1022,NKS,1022,NKS,KDFW-KPHX
NKS1023,NKS,1023,NKS,KPHX-KDFW
NKS1024,NKS,1024,NKS,KDFW-KRDU
NKS1025,NKS,1025,NKS,KBWI-MMUN
NKS1026,NKS,1026,NKS,KMCI-KLAX
NKS1027,NKS,1027,NKS,KLAX-KFLL
NKS1028,NKS,1028,NKS,KFLL-KLAX
NKS1029,NKS,1029,NKS,KLAX-KSDF
NKS103,NKS,103,NKS,KMCO-KBOS
NKS1030,NKS,1030,NKS,MMUN-KBWI
NKS1031,NKS,1031,NKS,KFLL-MSLP
NKS1032,NKS,1032,NKS,MSLP-KFLL
NKS1033,NKS,1033,NKS,KORD-KLAS
NKS1034,NKS,1034,NKS,KLAS-KLAX
NKS1035,NKS,1035,NKS,KLAX-KBNA
NKS1036,NKS,1036,NKS,KBNA-KLAX
NKS1037,NKS,1037,NKS,KLAX-KIND
NKS1038,NKS,1038,NKS,KIND-KLAX
NKS1039,NKS,1039,NKS,KLAX-KEWR
NKS104,NKS,104,NKS,KORD-MMUN
NKS1040,NKS,1040,NKS,KBWI-MDPC
NKS1041,NKS,1041,NKS,MDPC-KBWI
NKS1042,NKS,1042,NKS,KBWI-KFLL
NKS1043,NKS,1043,NKS,KFLL-KSDF
NKS1044,NKS,1044,NKS,KSDF-KFLL
NKS1045,NKS,1045,NKS,KIAH-KMSY
NKS1046,NKS,1046,NKS,KMSY-KIAH
NKS1047,NKS,1047,NKS,KLAX-KCLE
NKS1048,NKS,1048,NKS,KFLL-KMSY
NKS1049,NKS,1049,NKS,KMCO-TJSJ
NKS105,NKS,105,NKS,MMUN-KORD
NKS1050,NKS,1050,NKS,KDTW-KFLL
NKS1051,NKS,1051,NKS,KFLL-KDTW
NKS1052,NKS,1052,NKS,KLAX-KLAS
NKS1053,NKS,1053,NKS,KLAS-KORD
