Callsign,Code,Number,AirlineCode,AirportCodes
NMB285,NMB,285,NMB,FYWH-EDDF
NMB286,NMB,286,NMB,EDDF-FYWH
NMB3465,NMB,3465,NMB,KSEA-KMRY
NMB4512,NMB,4512,NMB,KPDX-KDEN-KIND
NMB703,NMB,703,NMB,FYWH-FACT
NMB708,NMB,708,NMB,FACT-FYWH
NMB709,NMB,709,NMB,FYWH-FACT
NMB714,NMB,714,NMB,FACT-FYWB-FYWH
NMB722,NMB,722,NMB,FAOR-FYWH
NMB723,NMB,723,NMB,FYWH-FAOR
NMB724,NMB,724,NMB,FAOR-FYWH
NMB726,NMB,726,NMB,FAOR-FYWH
NMB727,NMB,727,NMB,FYWH-FAOR
NMB728,NMB,728,NMB,FAOR-FYWH
NMB729,NMB,729,NMB,FYWH-FAOR
NMB9285,NMB,9285,NMB,FYWH-EDDF
NMB9286,NMB,9286,NMB,EDDF-FYWH
