Callsign,Code,Number,AirlineCode,AirportCodes
NOS1,NOS,1,NOS,KGSO-LIMC
NOS1020,NOS,1020,NOS,BIKF-LEAM
NOS1021,NOS,1021,NOS,LEAM-BIKF
NOS1025,NOS,1025,NOS,DTMB-LIMC
NOS104,NOS,104,NOS,LIMC-LEIB
NOS105,NOS,105,NOS,LEIB-LIMC
NOS110,NOS,110,NOS,LIMC-VRMM
NOS120,NOS,120,NOS,LIMC-FMNN
NOS121,NOS,121,NOS,FMNN-LIRF
NOS1235,NOS,1235,NOS,LLBG-LIMC
NOS124,NOS,124,NOS,LIMC-LIRF-VIAR
NOS125,NOS,125,NOS,VIAR-LIMC
NOS127,NOS,127,NOS,VTSP-LKTB-LIMC
NOS1294,NOS,1294,NOS,LIRF-GCTS
NOS130,NOS,130,NOS,LIMC-MUHA-MUHG-LIMC
NOS131,NOS,131,NOS,LIMC-ZSJN
NOS132,NOS,132,NOS,ZSJN-LIMC
NOS134,NOS,134,NOS,SBGR-LIMC
NOS1350,NOS,1350,NOS,LIPX-GCTS-GCFV-LIPX
NOS1351,NOS,1351,NOS,GCTS-LIPX
NOS138,NOS,138,NOS,LIMC-MUHA-MKJS
NOS1383,NOS,1383,NOS,LLBG-LIPX
NOS13DG,NOS,13DG,NOS,LIMC-EDDH
NOS13FB,NOS,13FB,NOS,HESH-LIPX
NOS141,NOS,141,NOS,VRMM-LIMC
NOS1421,NOS,1421,NOS,GOBD-LIMC
NOS1433,NOS,1433,NOS,DTNH-LIMC
NOS144,NOS,144,NOS,LEIB-LIPX
NOS1446,NOS,1446,NOS,LIPE-GCTS
NOS1447,NOS,1447,NOS,GCTS-LIPE
NOS1456,NOS,1456,NOS,LIMC-GCRR-GCFV-LIMC
NOS1460,NOS,1460,NOS,LIMC-GCRR-GCFV-LIMC
NOS1461,NOS,1461,NOS,GCTS-LIMC
NOS14HE,NOS,14HE,NOS,LIPE-LGIR
NOS14SM,NOS,14SM,NOS,LIPX-EIDW
NOS153,NOS,153,NOS,LIMC-ZSJN
NOS154,NOS,154,NOS,ZSJN-LIMC
NOS1572,NOS,1572,NOS,LIMC-GCFV
NOS1582,NOS,1582,NOS,LIMC-GCFV
NOS160,NOS,160,NOS,LIPE-LEIB
NOS161,NOS,161,NOS,LGIR-LIPX
NOS1610,NOS,1610,NOS,LBBG-LLBG
NOS1611,NOS,1611,NOS,LLBG-LIMC
NOS1620,NOS,1620,NOS,LIMC-GCTS-GCLP-LIMC
NOS1621,NOS,1621,NOS,GCTS-LIMC
NOS163,NOS,163,NOS,LKPR-LIRF-HTZA
NOS164,NOS,164,NOS,HTZA-LKPR-LIRF
