Callsign,Code,Number,AirlineCode,AirportCodes
NOZ1,NOZ,1,NOZ,UBBB-ENGM
NOZ1010,NOZ,1010,NOZ,ENGM-EPWR
NOZ1012,NOZ,1012,NOZ,ENGM-EPSC
NOZ1013,NOZ,1013,NOZ,EPSC-ENGM
NOZ1014,NOZ,1014,NOZ,ENGM-EPSC
NOZ1015,NOZ,1015,NOZ,EPSC-ENGM
NOZ1018,NOZ,1018,NOZ,ENGM-EPWA
NOZ1019,NOZ,1019,NOZ,EPWA-ENGM
NOZ1020,NOZ,1020,NOZ,ENGM-EPWA
NOZ1021,NOZ,1021,NOZ,EPWA-ENGM
NOZ1022,NOZ,1022,NOZ,ENGM-EPWA
NOZ1023,NOZ,1023,NOZ,EPWA-ENGM
NOZ1026,NOZ,1026,NOZ,ENBR-EPKK
NOZ1027,NOZ,1027,NOZ,EPKK-ENBR
NOZ1028,NOZ,1028,NOZ,ENBR-EPKK
NOZ1029,NOZ,1029,NOZ,EPKK-ENBR
NOZ1030,NOZ,1030,NOZ,ENZV-EPWA
NOZ1031,NOZ,1031,NOZ,EPWA-ENZV
NOZ1034,NOZ,1034,NOZ,ENBR-EPWA
NOZ1035,NOZ,1035,NOZ,EPWA-ENBR
NOZ1036,NOZ,1036,NOZ,ENZV-EPKK
NOZ1037,NOZ,1037,NOZ,EPKK-ENZV
NOZ1038,NOZ,1038,NOZ,ENZV-EPKK
NOZ1039,NOZ,1039,NOZ,EPKK-ENVA
NOZ104,NOZ,104,NOZ,ENBR-ENEV
NOZ1040,NOZ,1040,NOZ,ENGM-EPKK
NOZ1041,NOZ,1041,NOZ,EPKK-ENGM
NOZ1042,NOZ,1042,NOZ,ENGM-EPKK
NOZ1043,NOZ,1043,NOZ,EPKK-ENGM
NOZ1044,NOZ,1044,NOZ,ENGM-EPPO
NOZ1045,NOZ,1045,NOZ,EPPO-ENGM
NOZ1046,NOZ,1046,NOZ,ENGM-EPKK
NOZ1047,NOZ,1047,NOZ,EPKK-ENGM
NOZ1048,NOZ,1048,NOZ,ENGM-EPKK
NOZ1049,NOZ,1049,NOZ,EPKK-ENGM
NOZ105,NOZ,105,NOZ,ENEV-ENBR
NOZ1050,NOZ,1050,NOZ,ENGM-EPGD
NOZ1051,NOZ,1051,NOZ,EPGD-ENGM
NOZ1052,NOZ,1052,NOZ,ENGM-EPGD
NOZ1053,NOZ,1053,NOZ,EPGD-ENGM
NOZ1054,NOZ,1054,NOZ,ENGM-EPGD
NOZ1055,NOZ,1055,NOZ,EPGD-ENGM
NOZ1056,NOZ,1056,NOZ,ENGM-EPGD
NOZ1057,NOZ,1057,NOZ,EPGD-ENGM
NOZ1059,NOZ,1059,NOZ,EPWR-ENGM
NOZ106,NOZ,106,NOZ,ENBR-ENTC
NOZ1060,NOZ,1060,NOZ,ENGM-EETN
NOZ1061,NOZ,1061,NOZ,EETN-ENGM
NOZ1062,NOZ,1062,NOZ,ENGM-EETN
NOZ1063,NOZ,1063,NOZ,EETN-ENGM
NOZ1064,NOZ,1064,NOZ,ENGM-EETN
NOZ1065,NOZ,1065,NOZ,EETN-ENGM
NOZ1066,NOZ,1066,NOZ,ENGM-EETN
NOZ1067,NOZ,1067,NOZ,EETN-ENGM
NOZ107,NOZ,107,NOZ,ENTC-ENBR
NOZ1072,NOZ,1072,NOZ,ENGM-EVRA
NOZ1073,NOZ,1073,NOZ,EVRA-ENGM
