Callsign,Code,Number,AirlineCode,AirportCodes
NYT1921,NYT,1921,NYT,VNKT-VNCG
NYT421,NYT,421,NYT,VNKT-VNNG
NYT422,NYT,422,NYT,VNNG-VNKT
NYT423,NYT,423,NYT,VNKT-VNNG
NYT424,NYT,424,NYT,VNNG-VNKT
NYT531,NYT,531,NYT,VNKT-VNSI
NYT532,NYT,532,NYT,VNSI-VNKT
NYT539,NYT,539,NYT,VNKT-VNSI
NYT540,NYT,540,NYT,VNSI-VNKT
NYT571,NYT,571,NYT,VNKT-VNJP
NYT572,NYT,572,NYT,VNJP-VNKT
NYT573,NYT,573,NYT,VNKT-VNJP
NYT574,NYT,574,NYT,VNJP-VNKT
NYT575,NYT,575,NYT,VNKT-VNJP
NYT576,NYT,576,NYT,VNJP-VNKT
NYT671,NYT,671,NYT,VNKT-VNPK
NYT672,NYT,672,NYT,VNPK-VNKT
NYT673,NYT,673,NYT,VNKT-VNPK
NYT674,NYT,674,NYT,VNPK-VNKT
NYT675,NYT,675,NYT,VNKT-VNPK
NYT676,NYT,676,NYT,VNPK-VNKT
NYT677,NYT,677,NYT,VNKT-VNPK
NYT678,NYT,678,NYT,VNPK-VNKT
NYT679,NYT,679,NYT,VNKT-VNPK
NYT680,NYT,680,NYT,VNPK-VNKT
NYT681,NYT,681,NYT,VNKT-VNPK
NYT682,NYT,682,NYT,VNPK-VNKT
NYT683,NYT,683,NYT,VNKT-VNPK
NYT684,NYT,684,NYT,VNPK-VNKT
NYT689,NYT,689,NYT,VNKT-VNPK
NYT690,NYT,690,NYT,VNPK-VNKT
NYT781,NYT,781,NYT,VNKT-VNVT
NYT782,NYT,782,NYT,VNVT-VNKT
NYT783,NYT,783,NYT,VNKT-VNVT
NYT784,NYT,784,NYT,VNVT-VNKT
NYT785,NYT,785,NYT,VNKT-VNVT
NYT786,NYT,786,NYT,VNVT-VNKT
NYT787,NYT,787,NYT,VNKT-VNVT
NYT788,NYT,788,NYT,VNVT-VNKT
NYT791,NYT,791,NYT,VNKT-VNVT
NYT792,NYT,792,NYT,VNVT-VNKT
NYT793,NYT,793,NYT,VNKT-VNVT
NYT794,NYT,794,NYT,VNVT-VNKT
NYT797,NYT,797,NYT,VNKT-VNVT
NYT871,NYT,871,NYT,VNKT-VNBW
NYT873,NYT,873,NYT,VNKT-VNBW
NYT874,NYT,874,NYT,VNBW-VNKT
NYT875,NYT,875,NYT,VNKT-VNBW
NYT876,NYT,876,NYT,VNBW-VNKT
NYT877,NYT,877,NYT,VNKT-VNBW
NYT878,NYT,878,NYT,VNBW-VNKT
NYT879,NYT,879,NYT,VNKT-VNBW
NYT891,NYT,891,NYT,VNKT-VNBW
NYT893,NYT,893,NYT,VNKT-VNBW
NYT894,NYT,894,NYT,VNBW-VNKT
NYT921,NYT,921,NYT,VNKT-VNCG
NYT922,NYT,922,NYT,VNCG-VNKT
NYT923,NYT,923,NYT,VNKT-VNCG
NYT924,NYT,924,NYT,VNCG-VNKT
NYT925,NYT,925,NYT,VNKT-VNCG
NYT926,NYT,926,NYT,VNCG-VNKT
NYT927,NYT,927,NYT,VNKT-VNCG
