Callsign,Code,Number,AirlineCode,AirportCodes
OMS101,OMS,101,OMS,OOMS-OOSA
OMS102,OMS,102,OMS,OOSA-OOMS
OMS103,OMS,103,OMS,OOMS-OOSA
OMS104,OMS,104,OMS,OOSA-OOMS
OMS1043,OMS,1043,OMS,OOMS-EDDE
OMS1044,OMS,1044,OMS,EDDF-OOMS
OMS105,OMS,105,OMS,OOMS-OOSA
OMS106,OMS,106,OMS,OOSA-OOMS
OMS107,OMS,107,OMS,OOMS-OOSA
OMS1072,OMS,1072,OMS,UCFO-OOMS
OMS108,OMS,108,OMS,OOSA-OOMS
OMS1192,OMS,1192,OMS,OEJN-OOMS
OMS1195,OMS,1195,OMS,OOMS-OEJN
OMS1196,OMS,1196,OMS,OEJN-OOMS
OMS1197,OMS,1197,OMS,OOMS-OEJN
OMS12,OMS,12,OMS,OOMX-OOFD-OOMS
OMS1203,OMS,1203,OMS,OOMS-OERK
OMS1205,OMS,1205,OMS,OOMS-OERK
OMS1206,OMS,1206,OMS,OERK-OOMS
OMS1207,OMS,1207,OMS,OOMS-OERK
OMS1213,OMS,1213,OMS,OOMS-OEDF
OMS155,OMS,155,OMS,OOSA-OOSH
OMS156,OMS,156,OMS,OOSH-OOSA
OMS16,OMS,16,OMS,OOGB-OOMX-OOMS
OMS191,OMS,191,OMS,OOMS-OEJN
OMS192,OMS,192,OMS,OEJN-OOMS
OMS193,OMS,193,OMS,OOMS-OEJN
OMS203,OMS,203,OMS,OOMS-OERK
OMS205,OMS,205,OMS,OOMS-OERK
OMS206,OMS,206,OMS,OERK-OOMS
OMS211,OMS,211,OMS,OOMS-OEDF
OMS212,OMS,212,OMS,OEDF-OOMS
OMS213,OMS,213,OMS,OOMS-OEDF
OMS214,OMS,214,OMS,OEDF-OOMS
OMS215,OMS,215,OMS,OOMS-OEDF
OMS221,OMS,221,OMS,OOMS-OKKK
OMS222,OMS,222,OMS,OKKK-OOMS
OMS223,OMS,223,OMS,OOMS-OKKK
OMS224,OMS,224,OMS,OKKK-OOMS
OMS226,OMS,226,OMS,OKKK-OOMS
OMS227,OMS,227,OMS,OOMS-OKKK
OMS231,OMS,231,OMS,OOMS-OTHH
OMS232,OMS,232,OMS,OTHH-OOMS
OMS233,OMS,233,OMS,OOMS-OTHH
OMS234,OMS,234,OMS,OTHH-OOMS
OMS236,OMS,236,OMS,OTHH-OOMS
OMS237,OMS,237,OMS,OOMS-OTHH
OMS238,OMS,238,OMS,OTHH-OOMS
OMS243,OMS,243,OMS,OOMS-OMDB
OMS244,OMS,244,OMS,OMDB-OOMS
OMS246,OMS,246,OMS,OMDB-OOMS
OMS247,OMS,247,OMS,OOMS-OMDB
OMS248,OMS,248,OMS,OMDB-OOMS
OMS25,OMS,25,OMS,OOMS-OEDF
OMS251,OMS,251,OMS,OOMS-OMFJ
OMS252,OMS,252,OMS,OMFJ-OOMS
OMS253,OMS,253,OMS,OOMS-OMFJ
OMS254,OMS,254,OMS,OMFJ-OOMS
OMS257,OMS,257,OMS,OOSA-OMFJ
OMS258,OMS,258,OMS,OMFJ-OOSA
OMS26,OMS,26,OMS,OOMX-OOFD-OOMS
OMS263,OMS,263,OMS,OOMS-OBBI
OMS264,OMS,264,OMS,OBBI-OOMS
OMS266,OMS,266,OMS,OBBI-OOMS
OMS267,OMS,267,OMS,OOMS-OBBI
OMS27,OMS,27,OMS,OOMS-OOSH-OOMX
OMS283,OMS,283,OMS,OOMS-OEJN
OMS285,OMS,285,OMS,OOMS-OEJN
OMS291,OMS,291,OMS,OOMS-OPKC
OMS292,OMS,292,OMS,OPKC-OOMS
OMS301,OMS,301,OMS,OOMS-OPST
OMS302,OMS,302,OMS,OPST-OOMS
OMS311,OMS,311,OMS,OOMS-OPMT
OMS312,OMS,312,OMS,OPMT-OOMS
OMS337,OMS,337,OMS,OOMS-ORBI
OMS338,OMS,338,OMS,ORBI-OOMS
OMS3825,OMS,3825,OMS,OOMS-LTFM
OMS3892,OMS,3892,OMS,VABB-OMSJ
OMS3904,OMS,3904,OMS,OMDW-ORER
OMS394,OMS,394,OMS,VGHS-OOMS
OMS395,OMS,395,OMS,OOMS-VGHS
OMS396,OMS,396,OMS,VGHS-OOMS
OMS397,OMS,397,OMS,OOMS-VGHS
OMS398,OMS,398,OMS,VGHS-OOMS
OMS401,OMS,401,OMS,OOMS-VGEG
OMS405,OMS,405,OMS,OOMS-VGEG
OMS406,OMS,406,OMS,VGEG-OOMS
OMS407,OMS,407,OMS,OOMS-VGEG
OMS408,OMS,408,OMS,VGEG-OOMS
