Callsign,Code,Number,AirlineCode,AirportCodes
OTC7104,OTC,7104,OTC,ZPJH-ZPPP
OTC7105,OTC,7105,OTC,ZPPP-ZPMS
OTC7107,OTC,7107,OTC,ZPPP-ZSQD-ZBLA
OTC7108,OTC,7108,OTC,ZBLA-ZSQD-ZPPP
OTC7109,OTC,7109,OTC,ZPPP-ZPMS
OTC7110,OTC,7110,OTC,ZPMS-ZPPP
OTC7112,OTC,7112,OTC,ZSNJ-ZPPP
OTC7113,OTC,7113,OTC,ZPMS-ZSNJ
OTC7119,OTC,7119,OTC,ZPPP-ZGHA
OTC7120,OTC,7120,OTC,ZGHA-ZPPP
OTC7127,OTC,7127,OTC,ZPPP-ZSNJ-ZBHH
OTC7147,OTC,7147,OTC,ZPPP-ZSWX-ZYCC
OTC7148,OTC,7148,OTC,ZYCC-ZSWX-ZPPP
OTC7155,OTC,7155,OTC,ZPPP-ZSYA-ZYTX
OTC7158,OTC,7158,OTC,ZPMS-ZPPP
OTC7177,OTC,7177,OTC,ZSWX-ZYTX
OTC7178,OTC,7178,OTC,ZYTX-ZSWX
OTC7196,OTC,7196,OTC,ZSFZ-ZGBH-ZPPP
OTC7203,OTC,7203,OTC,ZSWX-ZUTR
OTC7204,OTC,7204,OTC,ZUTR-ZSWX
OTC7214,OTC,7214,OTC,ZSCN-ZPBS-ZSNJ
OTC7225,OTC,7225,OTC,ZSWX-ZUYB-ZPTC
OTC7226,OTC,7226,OTC,ZPTC-ZUYB-ZSWX
OTC7233,OTC,7233,OTC,ZSWX-ZPLJ
OTC7234,OTC,7234,OTC,ZPLJ-ZSWX
OTC7235,OTC,7235,OTC,ZSWX-ZUTF
OTC7236,OTC,7236,OTC,ZUTF-ZSWX
OTC7241,OTC,7241,OTC,ZGHA-ZSYT-ZBLA
OTC7251,OTC,7251,OTC,ZGHA-ZSWX
OTC7252,OTC,7252,OTC,ZSWX-ZGHA
OTC7254,OTC,7254,OTC,ZLXN-ZGHA
OTC7265,OTC,7265,OTC,ZGHA-ZSWX-ZYHB
OTC7266,OTC,7266,OTC,ZYHB-ZSWX-ZGHA
OTC7273,OTC,7273,OTC,ZPPP-ZPMS
OTC7294,OTC,7294,OTC,ZSYA-ZGHA
OTC7300,OTC,7300,OTC,ZSYT-ZGHA
OTC7310,OTC,7310,OTC,ZSCN-ZULB
OTC7772,OTC,7772,OTC,ZUTF-ZGHA
