Callsign,Code,Number,AirlineCode,AirportCodes
PAL100,PAL,100,PAL,RPLL-PHNL
PAL101,PAL,101,PAL,PHNL-RPLL
PAL102,PAL,102,PAL,RPLL-KLAX
PAL103,PAL,103,PAL,KLAX-RPLL
PAL104,PAL,104,PAL,RPLL-KSFO
PAL105,PAL,105,PAL,KSFO-RPLL
PAL106,PAL,106,PAL,RPLL-CYVR-KLAS
PAL107,PAL,107,PAL,KLAS-CYVR-RPLL
PAL110,PAL,110,PAL,RPLL-PGUM
PAL111,PAL,111,PAL,PGUM-RPLL
PAL112,PAL,112,PAL,RPLL-KLAX
PAL1129,PAL,1129,PAL,RPLL-RPVB
PAL113,PAL,113,PAL,KLAX-RPLL
PAL1130,PAL,1130,PAL,RPVB-RPLL
PAL1131,PAL,1131,PAL,RPLL-RPVB
PAL1132,PAL,1132,PAL,RPVB-RPLL
PAL1133,PAL,1133,PAL,RPLL-RPVB
PAL1134,PAL,1134,PAL,RPVB-RPLL
PAL1135,PAL,1135,PAL,RPLL-RPVB
PAL1137,PAL,1137,PAL,RPLL-RPVB
PAL114,PAL,114,PAL,RPLL-KSFO
PAL1144,PAL,1144,PAL,RPVI-RPLL
PAL115,PAL,115,PAL,KSFO-RPLL
PAL116,PAL,116,PAL,RPLL-CYVR
PAL117,PAL,117,PAL,CYVR-RPLL
PAL118,PAL,118,PAL,RPLL-CYYZ
PAL119,PAL,119,PAL,CYYZ-RPLL
PAL1196,PAL,1196,PAL,RPLL-RPLI
PAL122,PAL,122,PAL,RPVM-KLAX
PAL123,PAL,123,PAL,KLAX-RPVM
PAL124,PAL,124,PAL,RPLL-KSEA
PAL125,PAL,125,PAL,KSEA-RPLL
PAL126,PAL,126,PAL,RPLL-KJFK
PAL127,PAL,127,PAL,KJFK-RPLL
PAL128,PAL,128,PAL,RPLL-KSEA
PAL131,PAL,131,PAL,RPLL-RPVB
PAL132,PAL,132,PAL,RPVB-RPLL
PAL133,PAL,133,PAL,RPLL-RPVB
PAL134,PAL,134,PAL,RPVB-RPLL
PAL1342,PAL,1342,PAL,RPMD-RPVM
PAL1345,PAL,1345,PAL,RPVM-RPMD
PAL1346,PAL,1346,PAL,RPMD-RPVM
PAL135,PAL,135,PAL,RPLL-RPVB
PAL136,PAL,136,PAL,RPVB-RPLL
PAL1365,PAL,1365,PAL,RPVM-RPMD
PAL1366,PAL,1366,PAL,RPMD-RPVM
PAL139,PAL,139,PAL,RPLL-RPVI
PAL140,PAL,140,PAL,RPVI-RPLL
PAL141,PAL,141,PAL,RPLL-RPVI
PAL1411,PAL,1411,PAL,RPVM-RPMD
PAL1412,PAL,1412,PAL,RPMD-RPVM
PAL142,PAL,142,PAL,RPVI-RPLL
PAL143,PAL,143,PAL,RPLL-RPVI
PAL144,PAL,144,PAL,RPVI-RPLL
PAL146,PAL,146,PAL,RPVI-RPLL
PAL147,PAL,147,PAL,RPLL-RPVI
PAL1519,PAL,1519,PAL,RPLL-RPML
PAL152,PAL,152,PAL,RPVM-KLAX
PAL1520,PAL,1520,PAL,RPML-RPLL
PAL1521,PAL,1521,PAL,RPLL-RPML
PAL1522,PAL,1522,PAL,RPML-RPLL
PAL1525,PAL,1525,PAL,RPLL-RPML
PAL1528,PAL,1528,PAL,RPML-RPLL
PAL153,PAL,153,PAL,KLAX-RPVM
PAL1530,PAL,1530,PAL,RPML-RPLL
PAL157,PAL,157,PAL,RPLL-RPVB
PAL158,PAL,158,PAL,RPVB-RPLL
PAL167,PAL,167,PAL,RPLL-RPMG
PAL173,PAL,173,PAL,RPLL-RPVT
PAL174,PAL,174,PAL,RPVT-RPLL
PAL175,PAL,175,PAL,RPLL-RPVT
PAL176,PAL,176,PAL,RPVT-RPLL
PAL177,PAL,177,PAL,RPLL-RPVT
PAL1773,PAL,1773,PAL,RPLL-RPVT
PAL1774,PAL,1774,PAL,RPVT-RPLL
PAL1777,PAL,1777,PAL,RPLL-RPVT
PAL178,PAL,178,PAL,RPVT-RPLL
PAL1785,PAL,1785,PAL,RPLL-RPVP
PAL1801,PAL,1801,PAL,RPLL-RPMD
PAL1802,PAL,1802,PAL,RPMD-RPLL
PAL1803,PAL,1803,PAL,RPLL-RPMD
PAL1804,PAL,1804,PAL,RPMD-RPLL
PAL1805,PAL,1805,PAL,RPLL-RPMD
PAL1806,PAL,1806,PAL,RPMD-RPLL
PAL1808,PAL,1808,PAL,RPMD-RPLL
PAL1809,PAL,1809,PAL,RPLL-RPMD
PAL181,PAL,181,PAL,RPLL-RPML
PAL1810,PAL,1810,PAL,RPMD-RPLL
PAL1811,PAL,1811,PAL,RPLL-RPMD
PAL1812,PAL,1812,PAL,RPMD-RPLL
PAL1813,PAL,1813,PAL,RPLL-RPMD
PAL1814,PAL,1814,PAL,RPMD-RPLL
PAL1815,PAL,1815,PAL,RPLL-RPMD
PAL1816,PAL,1816,PAL,RPMD-RPLL
PAL1817,PAL,1817,PAL,RPLL-RPMD
PAL1818,PAL,1818,PAL,RPMD-RPLL
PAL1819,PAL,1819,PAL,RPLL-RPMD
PAL182,PAL,182,PAL,RPML-RPLL
PAL1820,PAL,1820,PAL,RPMD-RPLL
PAL1821,PAL,1821,PAL,RPLL-RPMD
PAL1822,PAL,1822,PAL,RPMD-RPLL
PAL1823,PAL,1823,PAL,RPLL-RPMD
PAL1824,PAL,1824,PAL,RPMD-RPLL
PAL1825,PAL,1825,PAL,RPLL-RPMD
PAL1827,PAL,1827,PAL,RPLL-RPMD
PAL1828,PAL,1828,PAL,RPMD-RPLL
PAL183,PAL,183,PAL,RPLL-RPML
PAL1835,PAL,1835,PAL,RPLL-RPVM
PAL1836,PAL,1836,PAL,RPVM-RPLL
PAL184,PAL,184,PAL,RPML-RPLL
PAL1841,PAL,1841,PAL,RPLL-RPVM
PAL1842,PAL,1842,PAL,RPVM-RPLL
PAL1843,PAL,1843,PAL,RPLL-RPVM
PAL1844,PAL,1844,PAL,RPVM-RPLL
PAL1845,PAL,1845,PAL,RPLL-RPVM
PAL1846,PAL,1846,PAL,RPVM-RPLL
PAL1847,PAL,1847,PAL,RPLL-RPVM
PAL1848,PAL,1848,PAL,RPVM-RPLL
PAL1849,PAL,1849,PAL,RPLL-RPVM
PAL185,PAL,185,PAL,RPLL-RPML
PAL1850,PAL,1850,PAL,RPVM-RPLL
PAL1851,PAL,1851,PAL,RPLL-RPVM
PAL1852,PAL,1852,PAL,RPVM-RPLL
PAL1853,PAL,1853,PAL,RPLL-RPVM
PAL1854,PAL,1854,PAL,RPVM-RPLL
PAL1855,PAL,1855,PAL,RPLL-RPVM
PAL1856,PAL,1856,PAL,RPVM-RPLL
PAL1857,PAL,1857,PAL,RPLL-RPVM
PAL1858,PAL,1858,PAL,RPVM-RPLL
PAL1859,PAL,1859,PAL,RPLL-RPVM
PAL186,PAL,186,PAL,RPML-RPLL
PAL1860,PAL,1860,PAL,RPVM-RPLL
PAL1861,PAL,1861,PAL,RPLL-RPVM
PAL1862,PAL,1862,PAL,RPVM-RPLL
PAL1863,PAL,1863,PAL,RPLL-RPVM
PAL1864,PAL,1864,PAL,RPVM-RPLL
PAL1865,PAL,1865,PAL,RPLL-RPVM
PAL1866,PAL,1866,PAL,RPVM-RPLL
PAL1867,PAL,1867,PAL,RPLL-RPVM
PAL1868,PAL,1868,PAL,RPVM-RPLL
PAL1869,PAL,1869,PAL,RPLL-RPVM
PAL1870,PAL,1870,PAL,RPVM-RPLL
PAL1871,PAL,1871,PAL,RPVM-RPLL
PAL1872,PAL,1872,PAL,RPVM-RPLL
PAL189,PAL,189,PAL,RPLL-RPVR
PAL190,PAL,190,PAL,RPVR-RPLL
PAL1903,PAL,1903,PAL,RPLL-RPVB
PAL1904,PAL,1904,PAL,RPVB-RPLL
PAL191,PAL,191,PAL,RPLL-RPVA
PAL192,PAL,192,PAL,RPVA-RPLL
PAL1923,PAL,1923,PAL,RPLL-RPMZ
PAL1924,PAL,1924,PAL,RPMZ-RPLL
PAL195,PAL,195,PAL,RPLL-RPVP
