Callsign,Code,Number,AirlineCode,AirportCodes
PIC1050,PIC,1050,PIC,VVCR-RCTP
PIC1051,PIC,1051,PIC,RCTP-VVCR
PIC1105,PIC,1105,PIC,VVNB-VEGY
PIC1194,PIC,1194,PIC,VVDN-RKSI
PIC1195,PIC,1195,PIC,RKSI-VVDN
PIC130,PIC,130,PIC,VTBS-VVTS
PIC140,PIC,140,PIC,VVDN-RCTP
PIC141,PIC,141,PIC,RCTP-VVDN
PIC154,PIC,154,PIC,VVTS-ZGGG
PIC155,PIC,155,PIC,ZGGG-VVTS
PIC160,PIC,160,PIC,VVNB-VHHH
PIC161,PIC,161,PIC,VHHH-VVNB
PIC164,PIC,164,PIC,VVDN-VHHH
PIC165,PIC,165,PIC,VHHH-VVDN
PIC2000,PIC,2000,PIC,DTMB-EDDG
PIC2072,PIC,2072,PIC,DTTJ-LSZH
PIC2098,PIC,2098,PIC,DTMB-EDDV
PIC214,PIC,214,PIC,DTMB-EDDS
PIC2536,PIC,2536,PIC,DTMB-LOWS
PIC257,PIC,257,PIC,VVNB-VVPQ
PIC3012,PIC,3012,PIC,DTMB-LFPG
PIC302,PIC,302,PIC,VVPQ-VVTS
PIC303,PIC,303,PIC,VVTS-VVPQ
PIC3072,PIC,3072,PIC,DTMB-LFSB
PIC310,PIC,310,PIC,VVPQ-VVTS
PIC311,PIC,311,PIC,VVTS-VVPQ
PIC312,PIC,312,PIC,VVPQ-VVTS
PIC313,PIC,313,PIC,VVTS-VVPQ
PIC320,PIC,320,PIC,VVPQ-VVTS
PIC321,PIC,321,PIC,VVTS-VVPQ
PIC326,PIC,326,PIC,VVPQ-VVTS
PIC327,PIC,327,PIC,VVTS-VVPQ
PIC3270,PIC,3270,PIC,DTTA-LFPG
PIC3271,PIC,3271,PIC,LFPG-DTTA
PIC3294,PIC,3294,PIC,LFRS-LFLL
PIC3392,PIC,3392,PIC,DTTJ-LFQQ
PIC350,PIC,350,PIC,VVTS-VVDL
PIC351,PIC,351,PIC,VVDL-VVTS
PIC354,PIC,354,PIC,VVTS-VVDL
PIC355,PIC,355,PIC,VVDL-VVTS
PIC382,PIC,382,PIC,VVTS-VVCR
PIC383,PIC,383,PIC,VVCR-VVTS
PIC3906,PIC,3906,PIC,DTTJ-LFRS
PIC434,PIC,434,PIC,VVTS-VVTH
PIC435,PIC,435,PIC,VVTH-VVTS
PIC442,PIC,442,PIC,VVTS-VVPK
PIC443,PIC,443,PIC,VVPK-VVTS
PIC452,PIC,452,PIC,VVTS-VVPC
PIC453,PIC,453,PIC,VVPC-VVTS
PIC458,PIC,458,PIC,VVTS-VVCA
PIC459,PIC,459,PIC,VVCA-VVTS
PIC510,PIC,510,PIC,VVTS-VVCI
PIC5152,PIC,5152,PIC,DTTJ-EBBR
PIC516,PIC,516,PIC,VVTS-VVDH
PIC517,PIC,517,PIC,VVDH-VVTS
PIC523,PIC,523,PIC,VVVH-VVTS
PIC542,PIC,542,PIC,VVTS-VVVH
PIC543,PIC,543,PIC,VVVH-VVTS
PIC554,PIC,554,PIC,VVTS-VVVH
PIC555,PIC,555,PIC,VVVH-VVTS
PIC570,PIC,570,PIC,VVTS-VVBM
PIC6002,PIC,6002,PIC,VVTS-VVNB
PIC6005,PIC,6005,PIC,VVNB-VVTS
PIC6009,PIC,6009,PIC,VVNB-VVTS
PIC6010,PIC,6010,PIC,VVTS-VVNB
PIC6011,PIC,6011,PIC,VVNB-VVTS
PIC6013,PIC,6013,PIC,VVNB-VVTS
PIC6014,PIC,6014,PIC,VVTS-VVNB
PIC6016,PIC,6016,PIC,VVTS-VVNB
PIC6017,PIC,6017,PIC,VVNB-VVTS
PIC6018,PIC,6018,PIC,VVTS-VVNB
PIC6019,PIC,6019,PIC,VVNB-VVTS
PIC6022,PIC,6022,PIC,VVTS-VVNB
PIC6026,PIC,6026,PIC,VVTS-VVNB
PIC6051,PIC,6051,PIC,VVDN-VVTS
PIC6056,PIC,6056,PIC,VVTS-VVDN
PIC6057,PIC,6057,PIC,VVDN-VVTS
PIC6060,PIC,6060,PIC,VVTS-VVDN
PIC6079,PIC,6079,PIC,VVNB-VVDN
PIC6093,PIC,6093,PIC,VVNB-VVDN
PIC6103,PIC,6103,PIC,VVVH-VVTS
PIC6113,PIC,6113,PIC,VVNB-VVTS
PIC6200,PIC,6200,PIC,VVTS-VVDL
PIC6203,PIC,6203,PIC,VVCR-VVTS
PIC6212,PIC,6212,PIC,VVTS-VVPB
PIC6213,PIC,6213,PIC,VVPB-VVTS
PIC6224,PIC,6224,PIC,VVTS-VVDL
PIC6226,PIC,6226,PIC,VVTS-VVDL
PIC6227,PIC,6227,PIC,VVDL-VVTS
PIC6240,PIC,6240,PIC,VVTS-VVDH
PIC6250,PIC,6250,PIC,VVTS-VVBM
PIC6260,PIC,6260,PIC,VVTS-VVPK
PIC6284,PIC,6284,PIC,VVTS-VVCA
PIC6290,PIC,6290,PIC,VVTS-VVTH
PIC6311,PIC,6311,PIC,VVNB-VVDL
PIC6325,PIC,6325,PIC,VVNB-VVCR
PIC6432,PIC,6432,PIC,VVTS-VVVH
PIC6434,PIC,6434,PIC,VVTS-VVVH
PIC6436,PIC,6436,PIC,VVTS-VVVH
PIC6449,PIC,6449,PIC,VVDH-VVTS
PIC6514,PIC,6514,PIC,VVPQ-VVTS
PIC6517,PIC,6517,PIC,VVTS-VVPQ
PIC6521,PIC,6521,PIC,VVTS-VVPQ
PIC6524,PIC,6524,PIC,VVPQ-VVTS
PIC6528,PIC,6528,PIC,VVPQ-VVTS
PIC655,PIC,655,PIC,VVTS-WSSS
PIC656,PIC,656,PIC,WSSS-VVTS
PIC6589,PIC,6589,PIC,VVVH-VVTS
PIC676,PIC,676,PIC,VVTS-VVDN
PIC677,PIC,677,PIC,VVDN-VVTS
PIC678,PIC,678,PIC,VVTS-VVDN
PIC679,PIC,679,PIC,VVDN-VVTS
PIC680,PIC,680,PIC,VVTS-VVDN
PIC681,PIC,681,PIC,VVDN-VVTS
PIC682,PIC,682,PIC,VVTS-VVDN
PIC684,PIC,684,PIC,VVTS-VVDN
PIC685,PIC,685,PIC,VVDN-VVTS
PIC691,PIC,691,PIC,VVDN-VVTS
PIC748,PIC,748,PIC,VVTS-VVNB
PIC749,PIC,749,PIC,VVNB-VVTS
PIC750,PIC,750,PIC,VVTS-VVNB
PIC751,PIC,751,PIC,VVNB-VVTS
PIC752,PIC,752,PIC,VVTS-VVNB
PIC754,PIC,754,PIC,VVTS-VVNB
PIC755,PIC,755,PIC,VVNB-VVTS
PIC756,PIC,756,PIC,VVTS-VVNB
PIC757,PIC,757,PIC,VVNB-VVTS
PIC764,PIC,764,PIC,VVTS-VVNB
PIC765,PIC,765,PIC,VVNB-VVTS
PIC768,PIC,768,PIC,VVTS-VVNB
PIC769,PIC,769,PIC,VVNB-VVTS
PIC773,PIC,773,PIC,VVNB-VVTS
PIC774,PIC,774,PIC,VVTS-VVNB
PIC775,PIC,775,PIC,VVNB-VVTS
PIC782,PIC,782,PIC,VVTS-VVNB
PIC783,PIC,783,PIC,VVNB-VVTS
PIC790,PIC,790,PIC,VVTS-VVNB
PIC799,PIC,799,PIC,VVTS-VVNB
PIC839,PIC,839,PIC,VVDN-VVPQ
PIC840,PIC,840,PIC,VVPQ-VVDN
PIC9010,PIC,9010,PIC,DTMB-ENGM
PIC9128,PIC,9128,PIC,DTMB-EKCH
