Callsign,Code,Number,AirlineCode,AirportCodes
PTR2121,PTR,2121,PTR,CYTZ-KEWR
PTR2122,PTR,2122,PTR,KEWR-CYTZ
PTR2123,PTR,2123,PTR,CYTZ-KEWR
PTR2124,PTR,2124,PTR,KEWR-CYTZ
PTR2125,PTR,2125,PTR,CYTZ-KEWR
PTR2128,PTR,2128,PTR,KEWR-CYTZ
PTR2131,PTR,2131,PTR,CYTZ-KEWR
PTR2135,PTR,2135,PTR,CYTZ-KEWR
PTR2136,PTR,2136,PTR,KEWR-CYTZ
PTR2137,PTR,2137,PTR,CYTZ-KEWR
PTR2138,PTR,2138,PTR,KEWR-CYTZ
PTR2140,PTR,2140,PTR,KEWR-CYTZ
PTR2142,PTR,2142,PTR,KEWR-CYTZ
PTR2143,PTR,2143,PTR,CYTZ-KEWR
PTR2145,PTR,2145,PTR,CYTZ-KEWR
PTR2202,PTR,2202,PTR,CYOW-CYTZ
PTR2205,PTR,2205,PTR,CYTZ-CYOW
PTR2206,PTR,2206,PTR,CYOW-CYTZ
PTR2208,PTR,2208,PTR,CYOW-CYTZ
PTR2210,PTR,2210,PTR,CYOW-CYTZ
PTR2212,PTR,2212,PTR,CYOW-CYTZ
PTR2217,PTR,2217,PTR,CYTZ-CYOW
PTR2231,PTR,2231,PTR,CYOW-CYHZ
PTR2232,PTR,2232,PTR,CYHZ-CYOW
PTR2233,PTR,2233,PTR,CYOW-CYHZ
PTR2234,PTR,2234,PTR,CYHZ-CYOW
PTR2236,PTR,2236,PTR,CYHZ-CYOW
PTR2237,PTR,2237,PTR,CYOW-CYHZ
PTR2238,PTR,2238,PTR,CYHZ-CYOW
PTR2258,PTR,2258,PTR,CYYG-CYOW-CYTZ
PTR2259,PTR,2259,PTR,CYTZ-CYOW
PTR2262,PTR,2262,PTR,CYOW-CYTZ
PTR2265,PTR,2265,PTR,CYTZ-CYOW
PTR2266,PTR,2266,PTR,CYOW-CYTZ
PTR2267,PTR,2267,PTR,CYTZ-CYOW
PTR2268,PTR,2268,PTR,CYOW-CYTZ
PTR2269,PTR,2269,PTR,CYTZ-CYOW
PTR2275,PTR,2275,PTR,CYTZ-CYOW
PTR2280,PTR,2280,PTR,CYYT-CYHZ-CYTZ
